index,DateTime
0,2013-01-13 00:00:00
1,2013-01-29 00:00:00
2,2013-03-04 00:00:00
3,2013-03-11 00:00:00
4,2013-03-29 00:00:00
5,2013-04-09 00:00:00
6,2013-04-16 00:00:00
7,2013-06-07 00:00:00
8,2013-09-17 00:00:00
9,2013-09-30 00:00:00
10,2013-11-11 00:00:00
11,2013-11-25 00:00:00
12,2013-12-22 00:00:00
13,2014-01-21 00:00:00
14,2014-02-06 00:00:00
15,2014-03-08 00:00:00
16,2014-03-29 00:00:00
17,2014-04-20 00:00:00
18,2014-05-21 00:00:00
19,2014-09-23 00:00:00
20,2014-10-22 00:00:00
21,2014-11-23 00:00:00
22,2014-12-13 00:00:00
23,2014-12-27 00:00:00
24,2015-01-09 00:00:00
25,2015-01-19 00:00:00
26,2015-02-21 00:00:00
27,2015-03-07 00:00:00
28,2015-04-10 00:00:00
29,2015-05-04 00:00:00
30,2015-05-30 00:00:00
31,2015-09-28 00:00:00
32,2015-10-11 00:00:00
33,2015-11-07 00:00:00
34,2015-11-21 00:00:00
35,2015-12-17 00:00:00
36,2015-12-31 00:00:00
37,2016-01-18 00:00:00
38,2016-01-25 00:00:00
39,2016-03-26 00:00:00
40,2016-05-05 00:00:00
41,2016-05-21 00:00:00
42,2016-10-04 00:00:00
43,2016-11-03 00:00:00
44,2016-11-28 00:00:00
45,2016-12-08 00:00:00
46,2017-01-01 00:00:00
47,2017-02-03 00:00:00
48,2017-02-17 00:00:00
49,2017-03-28 00:00:00
50,2017-04-17 00:00:00
51,2017-04-30 00:00:00
52,2017-05-13 00:00:00
53,2017-09-14 00:00:00
54,2017-10-30 00:00:00
55,2017-11-27 00:00:00
56,2018-02-05 00:00:00
57,2018-02-24 00:00:00
58,2018-03-07 00:00:00
59,2018-03-17 00:00:00
60,2018-03-24 00:00:00
61,2018-04-03 00:00:00
62,2018-04-19 00:00:00
63,2018-09-25 00:00:00
64,2018-10-22 00:00:00
65,2018-11-16 00:00:00
66,2018-12-22 00:00:00
67,2019-01-02 00:00:00
68,2019-02-09 00:00:00
69,2019-02-26 00:00:00
70,2019-03-29 00:00:00
71,2019-04-18 00:00:00
72,2019-05-25 00:00:00
73,2019-09-18 00:00:00
74,2019-10-03 00:00:00
75,2019-10-29 00:00:00
76,2019-11-30 00:00:00
77,2019-12-29 00:00:00
78,2020-01-31 00:00:00
79,2020-03-11 00:00:00
80,2020-04-06 00:00:00
81,2020-06-01 00:00:00
82,2020-09-26 00:00:00
83,2020-10-10 00:00:00
84,2020-11-05 00:00:00
85,2020-11-24 00:00:00
86,2020-12-05 00:00:00
