index,DateTime
0,2013-04-11 00:00:00
1,2013-06-01 00:00:00
2,2013-09-18 00:00:00
3,2013-11-11 00:00:00
4,2014-03-08 00:00:00
5,2014-05-20 00:00:00
6,2014-10-22 00:00:00
7,2014-11-23 00:00:00
8,2015-03-07 00:00:00
9,2015-04-10 00:00:00
10,2015-05-04 00:00:00
11,2015-10-09 00:00:00
12,2015-11-21 00:00:00
13,2016-01-03 00:00:00
14,2016-01-26 00:00:00
15,2016-03-26 00:00:00
16,2016-05-06 00:00:00
17,2016-10-04 00:00:00
18,2016-11-07 00:00:00
19,2016-12-30 00:00:00
20,2017-02-16 00:00:00
21,2017-03-25 00:00:00
22,2017-05-12 00:00:00
23,2017-09-14 00:00:00
24,2017-10-30 00:00:00
25,2018-02-05 00:00:00
26,2018-03-08 00:00:00
27,2018-04-04 00:00:00
28,2018-09-25 00:00:00
29,2018-11-16 00:00:00
30,2019-02-14 00:00:00
31,2019-03-30 00:00:00
32,2019-05-24 00:00:00
33,2019-09-19 00:00:00
34,2019-10-29 00:00:00
35,2020-04-04 00:00:00
36,2020-06-01 00:00:00
37,2020-09-28 00:00:00
38,2020-11-06 00:00:00
