index,DateTime
0,2013-01-13 00:00:00
1,2013-01-29 00:00:00
2,2013-04-09 00:00:00
3,2013-04-16 00:00:00
4,2013-06-07 00:00:00
5,2013-09-18 00:00:00
6,2013-11-11 00:00:00
7,2014-01-22 00:00:00
8,2014-02-06 00:00:00
9,2014-03-08 00:00:00
10,2014-03-30 00:00:00
11,2014-05-20 00:00:00
12,2014-09-23 00:00:00
13,2014-10-22 00:00:00
14,2014-11-19 00:00:00
15,2014-12-27 00:00:00
16,2015-03-07 00:00:00
17,2015-04-10 00:00:00
18,2015-05-05 00:00:00
19,2015-09-28 00:00:00
20,2015-10-11 00:00:00
21,2015-11-21 00:00:00
22,2015-12-31 00:00:00
23,2016-01-18 00:00:00
24,2016-01-25 00:00:00
25,2016-03-26 00:00:00
26,2016-05-06 00:00:00
27,2016-10-04 00:00:00
28,2016-11-03 00:00:00
29,2016-11-28 00:00:00
30,2017-01-01 00:00:00
31,2017-02-03 00:00:00
32,2017-02-17 00:00:00
33,2017-03-25 00:00:00
34,2017-05-12 00:00:00
35,2017-09-14 00:00:00
36,2017-10-30 00:00:00
37,2017-11-27 00:00:00
38,2018-02-05 00:00:00
39,2018-02-24 00:00:00
40,2018-03-07 00:00:00
41,2018-03-30 00:00:00
42,2018-04-11 00:00:00
43,2018-09-25 00:00:00
44,2018-10-22 00:00:00
45,2018-11-16 00:00:00
46,2019-01-02 00:00:00
47,2019-02-09 00:00:00
48,2019-02-26 00:00:00
49,2019-03-30 00:00:00
50,2019-05-24 00:00:00
51,2019-09-19 00:00:00
52,2019-10-29 00:00:00
53,2019-12-01 00:00:00
54,2020-01-31 00:00:00
55,2020-04-05 00:00:00
56,2020-06-01 00:00:00
57,2020-09-28 00:00:00
58,2020-11-05 00:00:00
59,2020-11-23 00:00:00
