index,Datetime
0,2012-12-21
1,2013-01-14
2,2013-02-01
3,2013-02-12
4,2013-03-02
5,2013-03-12
6,2013-04-05
7,2013-07-13
8,2013-08-01
9,2013-11-10
10,2013-12-04
11,2013-12-11
12,2013-12-21
13,2014-01-14
14,2014-02-01
15,2014-02-12
16,2014-03-02
17,2014-03-12
18,2014-04-05
19,2014-07-13
20,2014-08-01
21,2014-11-10
22,2014-12-04
23,2014-12-11
24,2014-12-21
25,2015-01-14
26,2015-02-01
27,2015-02-12
28,2015-03-02
29,2015-03-12
30,2015-04-05
31,2015-07-13
32,2015-08-01
33,2015-11-10
34,2015-12-04
35,2015-12-11
36,2015-12-21
37,2016-01-14
38,2016-02-01
39,2016-02-12
40,2016-03-02
41,2016-03-12
42,2016-04-05
43,2016-07-13
44,2016-08-01
45,2016-11-10
46,2016-12-04
47,2016-12-11
48,2016-12-21
49,2017-01-14
50,2017-02-01
51,2017-02-12
52,2017-03-02
53,2017-03-12
54,2017-04-05
55,2017-07-13
56,2017-08-01
57,2017-11-10
58,2017-12-04
59,2017-12-11
60,2017-12-21
61,2018-01-14
62,2018-02-01
63,2018-02-12
64,2018-03-02
65,2018-03-12
66,2018-04-05
67,2018-07-13
68,2018-08-01
69,2018-11-10
70,2018-12-04
71,2018-12-11
72,2018-12-21
73,2019-01-14
74,2019-02-01
75,2019-02-12
76,2019-03-02
77,2019-03-12
78,2019-04-05
79,2019-07-13
80,2019-08-01
81,2019-11-10
82,2019-12-04
83,2019-12-11
84,2019-12-21
85,2020-01-14
86,2020-02-01
87,2020-02-12
88,2020-03-02
89,2020-03-12
90,2020-04-05
91,2020-07-13
92,2020-08-01
93,2020-11-10
94,2020-12-04
95,2020-12-11
96,2020-12-21
