index,Datetime
0,2012-12-21
1,2013-01-14
2,2013-01-31
3,2013-04-05
4,2013-10-29
5,2013-12-21
6,2014-01-14
7,2014-01-31
8,2014-04-05
9,2014-10-29
10,2014-12-21
11,2015-01-14
12,2015-01-31
13,2015-04-05
14,2015-10-29
15,2015-12-21
16,2016-01-14
17,2016-01-31
18,2016-04-05
19,2016-10-29
20,2016-12-21
21,2017-01-14
22,2017-01-31
23,2017-04-05
24,2017-10-29
25,2017-12-21
26,2018-01-14
27,2018-01-31
28,2018-04-05
29,2018-10-29
30,2018-12-21
31,2019-01-14
32,2019-01-31
33,2019-04-05
34,2019-10-29
35,2019-12-21
36,2020-01-14
37,2020-01-31
38,2020-04-05
39,2020-10-29
40,2020-12-21
