index,Datetime
0,2012-12-21
1,2013-01-14
2,2013-02-01
3,2013-02-12
4,2013-04-05
5,2013-10-29
6,2013-12-21
7,2014-01-14
8,2014-02-01
9,2014-02-12
10,2014-04-05
11,2014-10-29
12,2014-12-21
13,2015-01-14
14,2015-02-01
15,2015-02-12
16,2015-04-05
17,2015-10-29
18,2015-12-21
19,2016-01-14
20,2016-02-01
21,2016-02-12
22,2016-04-05
23,2016-10-29
24,2016-12-21
25,2017-01-14
26,2017-02-01
27,2017-02-12
28,2017-04-05
29,2017-10-29
30,2017-12-21
31,2018-01-14
32,2018-02-01
33,2018-02-12
34,2018-04-05
35,2018-10-29
36,2018-12-21
37,2019-01-14
38,2019-02-01
39,2019-02-12
40,2019-04-05
41,2019-10-29
42,2019-12-21
43,2020-01-14
44,2020-02-01
45,2020-02-12
46,2020-04-05
47,2020-10-29
48,2020-12-21
