,y_pred,y_true
2013-01-05 01:00:00,7006.8086,5521.0
2013-01-05 02:00:00,6801.636,5494.0
2013-01-05 03:00:00,6059.399,5532.0
2013-01-05 04:00:00,6638.3887,5499.0
2013-01-05 05:00:00,5967.1104,5304.0
2013-01-05 06:00:00,6230.7544,5352.0
2013-01-05 07:00:00,6718.0073,5656.0
2013-01-05 08:00:00,8120.536,6019.0
2013-01-05 09:00:00,7159.495,6459.0
2013-01-05 10:00:00,8776.757,6708.0
2013-01-05 11:00:00,7672.696,6851.0
2013-01-05 12:00:00,7709.787,6697.0
2013-01-05 13:00:00,7968.2773,6603.0
2013-01-05 14:00:00,8541.135,6494.0
2013-01-05 15:00:00,8135.5776,6453.0
2013-01-05 16:00:00,8556.495,6357.0
2013-01-05 17:00:00,8471.3545,6302.0
2013-01-05 18:00:00,8000.673,6311.0
2013-01-05 19:00:00,7231.6504,6405.0
2013-01-05 20:00:00,6741.2354,6578.0
2013-01-05 21:00:00,6865.9785,6479.0
2013-01-05 22:00:00,7744.6597,6315.0
2013-01-05 23:00:00,6676.463,5938.0
2013-01-06 00:00:00,6760.217,5809.0
2013-01-06 01:00:00,6601.6187,5647.0
2013-01-06 02:00:00,6658.0747,5631.0
2013-01-06 03:00:00,6283.865,5607.0
2013-01-06 04:00:00,6369.6187,5491.0
2013-01-06 05:00:00,6210.64,5277.0
2013-01-06 06:00:00,6208.1206,5528.0
2013-01-06 07:00:00,6964.3823,5902.0
2013-01-06 08:00:00,7612.6387,6300.0
2013-01-06 09:00:00,7542.478,6699.0
2013-01-06 10:00:00,7337.852,6997.0
2013-01-06 11:00:00,7428.898,7163.0
2013-01-06 12:00:00,7592.94,7032.0
2013-01-06 13:00:00,7559.8164,6953.0
2013-01-06 14:00:00,7840.1865,6849.0
2013-01-06 15:00:00,7508.6426,6775.0
2013-01-06 16:00:00,8287.874,6764.0
2013-01-06 17:00:00,7541.4473,6653.0
2013-01-06 18:00:00,7571.776,6532.0
2013-01-06 19:00:00,6988.7104,6458.0
2013-01-06 20:00:00,6861.528,6299.0
2013-01-06 21:00:00,6539.9062,6226.0
2013-01-06 22:00:00,7492.082,6035.0
2013-01-06 23:00:00,6750.021,5728.0
2013-01-07 00:00:00,6932.861,5627.0
2013-01-07 01:00:00,6428.667,5652.0
2013-01-07 02:00:00,6392.625,5532.0
2013-01-07 03:00:00,6202.917,5427.0
2013-01-07 04:00:00,6317.833,5376.0
2013-01-07 05:00:00,6397.728,5576.0
2013-01-07 06:00:00,6330.296,6499.0
2013-01-07 07:00:00,7260.017,7060.0
2013-01-07 08:00:00,7425.833,7355.0
2013-01-07 09:00:00,7425.4204,7524.0
2013-01-07 10:00:00,6923.18,7518.0
2013-01-07 11:00:00,7397.6235,7659.0
2013-01-07 12:00:00,7514.3726,7718.0
2013-01-07 13:00:00,7390.1123,7615.0
2013-01-07 14:00:00,7319.988,7502.0
2013-01-07 15:00:00,7296.7554,7522.0
2013-01-07 16:00:00,7974.915,7426.0
2013-01-07 17:00:00,7506.8364,7201.0
2013-01-07 18:00:00,7441.108,6937.0
2013-01-07 19:00:00,6813.622,6958.0
2013-01-07 20:00:00,6737.471,6894.0
2013-01-07 21:00:00,6312.6133,6804.0
2013-01-07 22:00:00,7205.999,6684.0
2013-01-07 23:00:00,6715.764,6259.0
2013-01-08 00:00:00,6831.6045,5768.0
2013-01-08 01:00:00,6382.4355,5675.0
2013-01-08 02:00:00,6172.025,5529.0
2013-01-08 03:00:00,5817.307,5362.0
2013-01-08 04:00:00,6122.1265,5370.0
2013-01-08 05:00:00,6141.5347,5473.0
2013-01-08 06:00:00,6488.633,6193.0
2013-01-08 07:00:00,7229.7505,6684.0
2013-01-08 08:00:00,7532.867,6979.0
2013-01-08 09:00:00,7293.0835,7247.0
2013-01-08 10:00:00,7053.3794,7363.0
2013-01-08 11:00:00,7301.328,7517.0
2013-01-08 12:00:00,7862.321,7562.0
2013-01-08 13:00:00,7621.7144,7522.0
2013-01-08 14:00:00,7338.636,7388.0
2013-01-08 15:00:00,7184.0557,7382.0
2013-01-08 16:00:00,7960.499,7275.0
2013-01-08 17:00:00,7328.645,7072.0
2013-01-08 18:00:00,7332.9526,6842.0
2013-01-08 19:00:00,6646.121,6805.0
2013-01-08 20:00:00,6494.299,6720.0
2013-01-08 21:00:00,6268.511,6786.0
2013-01-08 22:00:00,6864.37,6475.0
2013-01-08 23:00:00,6580.4277,6089.0
2013-01-09 00:00:00,6690.657,5090.0
2013-01-09 01:00:00,6430.7476,4950.0
2013-01-09 02:00:00,5935.659,4946.0
2013-01-09 03:00:00,5507.8164,4895.0
2013-01-09 04:00:00,5931.111,4874.0
2013-01-09 05:00:00,5957.7036,4778.0
2013-01-09 06:00:00,6385.9185,4775.0
2013-01-09 07:00:00,7189.105,5067.0
2013-01-09 08:00:00,7579.0874,5530.0
2013-01-09 09:00:00,7047.926,6027.0
2013-01-09 10:00:00,7130.8955,6426.0
2013-01-09 11:00:00,7319.9365,6548.0
2013-01-09 12:00:00,7833.8936,6326.0
2013-01-09 13:00:00,7628.84,6216.0
2013-01-09 14:00:00,7316.3926,6151.0
2013-01-09 15:00:00,7213.893,6157.0
2013-01-09 16:00:00,7903.373,6032.0
2013-01-09 17:00:00,7143.169,5918.0
2013-01-09 18:00:00,7398.3,5946.0
2013-01-09 19:00:00,6451.7515,6259.0
2013-01-09 20:00:00,6442.005,6578.0
2013-01-09 21:00:00,6268.8525,6280.0
2013-01-09 22:00:00,6610.9004,6043.0
2013-01-09 23:00:00,6380.7144,5728.0
2013-01-10 00:00:00,6646.7173,6424.0
2013-01-10 01:00:00,6496.3887,6476.0
2013-01-10 02:00:00,5868.4214,6345.0
2013-01-10 03:00:00,5317.146,6221.0
2013-01-10 04:00:00,5906.3154,6311.0
2013-01-10 05:00:00,5774.66,6759.0
2013-01-10 06:00:00,6432.784,7954.0
2013-01-10 07:00:00,6993.7324,8301.0
2013-01-10 08:00:00,7466.2363,8325.0
2013-01-10 09:00:00,6949.06,8352.0
2013-01-10 10:00:00,7069.869,8177.0
2013-01-10 11:00:00,7511.6875,8152.0
2013-01-10 12:00:00,7804.222,8224.0
2013-01-10 13:00:00,7730.425,8163.0
2013-01-10 14:00:00,7179.364,8061.0
2013-01-10 15:00:00,7138.2363,8129.0
2013-01-10 16:00:00,7878.073,8027.0
2013-01-10 17:00:00,7190.0024,7967.0
2013-01-10 18:00:00,7256.961,8061.0
2013-01-10 19:00:00,6247.588,8550.0
2013-01-10 20:00:00,6474.4893,8241.0
2013-01-10 21:00:00,6207.825,7648.0
2013-01-10 22:00:00,6477.4893,7168.0
2013-01-10 23:00:00,6172.5815,6746.0
2013-01-11 00:00:00,6413.635,6875.0
2013-01-11 01:00:00,6362.7153,6898.0
2013-01-11 02:00:00,5836.6157,6730.0
2013-01-11 03:00:00,5271.933,6553.0
2013-01-11 04:00:00,5747.4165,6610.0
2013-01-11 05:00:00,5738.9937,7122.0
2013-01-11 06:00:00,6326.527,8109.0
2013-01-11 07:00:00,7039.6904,8362.0
2013-01-11 08:00:00,7628.4995,8415.0
2013-01-11 09:00:00,6972.8076,8468.0
2013-01-11 10:00:00,7083.3,8433.0
2013-01-11 11:00:00,7531.4946,8458.0
2013-01-11 12:00:00,7805.111,8483.0
2013-01-11 13:00:00,7614.5776,8463.0
2013-01-11 14:00:00,7043.303,8408.0
2013-01-11 15:00:00,7287.147,8465.0
2013-01-11 16:00:00,7715.2363,8548.0
2013-01-11 17:00:00,7056.2197,8881.0
2013-01-11 18:00:00,7234.6587,8697.0
2013-01-11 19:00:00,6316.8228,8568.0
2013-01-11 20:00:00,6531.278,8240.0
2013-01-11 21:00:00,6248.9883,7715.0
2013-01-11 22:00:00,6294.8804,7124.0
2013-01-11 23:00:00,6208.174,6704.0
2013-01-12 00:00:00,6363.2964,6524.0
2013-01-12 01:00:00,6331.4414,6375.0
2013-01-12 02:00:00,5762.035,6415.0
2013-01-12 03:00:00,5286.866,6406.0
2013-01-12 04:00:00,5736.425,6412.0
2013-01-12 05:00:00,5795.7603,6372.0
2013-01-12 06:00:00,6482.784,6593.0
2013-01-12 07:00:00,6969.74,6820.0
2013-01-12 08:00:00,7604.3506,7119.0
2013-01-12 09:00:00,6966.115,7644.0
2013-01-12 10:00:00,7149.3813,8030.0
2013-01-12 11:00:00,7907.9385,8090.0
2013-01-12 12:00:00,7863.795,7952.0
2013-01-12 13:00:00,7585.708,7934.0
2013-01-12 14:00:00,7083.9834,7966.0
2013-01-12 15:00:00,7348.7173,7991.0
2013-01-12 16:00:00,7557.3174,8200.0
2013-01-12 17:00:00,6994.67,8229.0
2013-01-12 18:00:00,7376.956,8252.0
2013-01-12 19:00:00,6333.742,8182.0
2013-01-12 20:00:00,6545.428,8040.0
2013-01-12 21:00:00,6276.5938,7630.0
2013-01-12 22:00:00,6335.158,7455.0
2013-01-12 23:00:00,6119.145,7154.0
2013-01-13 00:00:00,6283.8315,6859.0
2013-01-13 01:00:00,6161.8027,6811.0
2013-01-13 02:00:00,5973.3315,6859.0
2013-01-13 03:00:00,5555.32,6743.0
2013-01-13 04:00:00,5740.424,6783.0
2013-01-13 05:00:00,5818.161,6708.0
2013-01-13 06:00:00,6633.15,6801.0
2013-01-13 07:00:00,7336.8433,7024.0
2013-01-13 08:00:00,7432.934,7272.0
2013-01-13 09:00:00,6920.979,7862.0
2013-01-13 10:00:00,7086.123,8216.0
2013-01-13 11:00:00,7867.708,8171.0
2013-01-13 12:00:00,7675.535,8100.0
2013-01-13 13:00:00,7438.7397,8142.0
2013-01-13 14:00:00,7292.9233,8177.0
2013-01-13 15:00:00,7489.882,8219.0
2013-01-13 16:00:00,7507.4453,8254.0
2013-01-13 17:00:00,7051.438,8505.0
2013-01-13 18:00:00,7539.1353,8510.0
2013-01-13 19:00:00,6409.732,8450.0
2013-01-13 20:00:00,6783.766,8243.0
2013-01-13 21:00:00,6272.9824,7873.0
2013-01-13 22:00:00,6604.5884,7769.0
2013-01-13 23:00:00,6115.8516,7492.0
2013-01-14 00:00:00,6317.1196,7389.0
2013-01-14 01:00:00,6225.245,7472.0
2013-01-14 02:00:00,6028.519,7408.0
2013-01-14 03:00:00,5618.1626,7339.0
2013-01-14 04:00:00,5800.78,7394.0
2013-01-14 05:00:00,5938.495,7874.0
2013-01-14 06:00:00,6562.2534,8984.0
2013-01-14 07:00:00,7146.054,9594.0
2013-01-14 08:00:00,7392.335,9714.0
2013-01-14 09:00:00,7192.6797,9877.0
2013-01-14 10:00:00,7316.8613,9962.0
2013-01-14 11:00:00,7869.1406,9914.0
2013-01-14 12:00:00,7649.889,10090.0
2013-01-14 13:00:00,7392.413,10063.0
2013-01-14 14:00:00,7403.232,9958.0
2013-01-14 15:00:00,7578.1523,9900.0
2013-01-14 16:00:00,7483.914,9806.0
2013-01-14 17:00:00,7171.2734,10003.0
2013-01-14 18:00:00,7656.1006,9783.0
2013-01-14 19:00:00,6756.36,9757.0
2013-01-14 20:00:00,6979.98,9469.0
2013-01-14 21:00:00,6461.071,8949.0
2013-01-14 22:00:00,6656.3086,8384.0
2013-01-14 23:00:00,6261.963,7986.0
2013-01-15 00:00:00,6448.561,7812.0
2013-01-15 01:00:00,6113.2744,7855.0
2013-01-15 02:00:00,6157.133,7758.0
2013-01-15 03:00:00,5802.8267,7712.0
2013-01-15 04:00:00,5792.3066,7809.0
2013-01-15 05:00:00,5908.206,8211.0
2013-01-15 06:00:00,6476.6274,9295.0
2013-01-15 07:00:00,7062.6294,9788.0
2013-01-15 08:00:00,7563.6978,9854.0
2013-01-15 09:00:00,7471.2285,9920.0
2013-01-15 10:00:00,7635.275,9903.0
2013-01-15 11:00:00,7827.943,9813.0
2013-01-15 12:00:00,7525.3687,9894.0
2013-01-15 13:00:00,7426.5547,9907.0
2013-01-15 14:00:00,7389.9946,9897.0
2013-01-15 15:00:00,7536.142,9948.0
2013-01-15 16:00:00,7600.1807,9877.0
2013-01-15 17:00:00,7304.2734,10045.0
2013-01-15 18:00:00,7648.3516,9812.0
2013-01-15 19:00:00,7072.798,9712.0
2013-01-15 20:00:00,7345.55,9433.0
2013-01-15 21:00:00,6672.834,8893.0
2013-01-15 22:00:00,6835.4062,8398.0
2013-01-15 23:00:00,6440.0107,8030.0
2013-01-16 00:00:00,6464.3594,7798.0
2013-01-16 01:00:00,6006.6626,7813.0
2013-01-16 02:00:00,6281.913,7731.0
2013-01-16 03:00:00,5858.3315,7632.0
2013-01-16 04:00:00,5797.4146,7747.0
2013-01-16 05:00:00,5985.4775,8114.0
2013-01-16 06:00:00,6362.104,9192.0
2013-01-16 07:00:00,7122.6753,9713.0
2013-01-16 08:00:00,7658.2573,9819.0
2013-01-16 09:00:00,7668.622,9940.0
2013-01-16 10:00:00,7758.309,9993.0
2013-01-16 11:00:00,7877.0117,9923.0
2013-01-16 12:00:00,7589.649,10065.0
2013-01-16 13:00:00,7566.2275,10124.0
2013-01-16 14:00:00,7386.1475,10069.0
2013-01-16 15:00:00,7422.1724,10109.0
2013-01-16 16:00:00,7622.1357,10026.0
2013-01-16 17:00:00,7324.8657,10103.0
2013-01-16 18:00:00,7713.5337,9882.0
2013-01-16 19:00:00,7244.62,9772.0
2013-01-16 20:00:00,7505.9097,9468.0
2013-01-16 21:00:00,6750.0474,8971.0
2013-01-16 22:00:00,6859.2666,8408.0
2013-01-16 23:00:00,6531.778,8022.0
2013-01-17 00:00:00,6503.7603,7789.0
2013-01-17 01:00:00,5999.0747,7857.0
2013-01-17 02:00:00,6420.3374,7766.0
2013-01-17 03:00:00,5836.665,7701.0
2013-01-17 04:00:00,5863.006,7752.0
2013-01-17 05:00:00,6057.864,8119.0
2013-01-17 06:00:00,6424.3496,9221.0
2013-01-17 07:00:00,7276.248,9724.0
2013-01-17 08:00:00,7460.8813,9805.0
2013-01-17 09:00:00,7949.898,9968.0
2013-01-17 10:00:00,7947.7573,10029.0
2013-01-17 11:00:00,8066.3564,9947.0
2013-01-17 12:00:00,7701.0303,10051.0
2013-01-17 13:00:00,7682.99,10080.0
2013-01-17 14:00:00,7640.0938,10023.0
2013-01-17 15:00:00,7308.6733,10034.0
2013-01-17 16:00:00,7719.958,9941.0
2013-01-17 17:00:00,7400.1113,10095.0
2013-01-17 18:00:00,7898.6904,9891.0
2013-01-17 19:00:00,7481.172,9806.0
2013-01-17 20:00:00,7816.689,9528.0
2013-01-17 21:00:00,7102.2837,9024.0
2013-01-17 22:00:00,7086.7803,8525.0
2013-01-17 23:00:00,6763.192,8148.0
2013-01-18 00:00:00,6482.0303,7913.0
2013-01-18 01:00:00,6027.876,7942.0
2013-01-18 02:00:00,6511.888,7911.0
2013-01-18 03:00:00,5879.8364,7808.0
2013-01-18 04:00:00,5957.6816,7871.0
2013-01-18 05:00:00,6190.353,8254.0
2013-01-18 06:00:00,6536.859,9287.0
2013-01-18 07:00:00,7365.624,9798.0
2013-01-18 08:00:00,7566.7466,9899.0
2013-01-18 09:00:00,8242.461,10089.0
2013-01-18 10:00:00,8243.023,10145.0
2013-01-18 11:00:00,8143.569,10070.0
2013-01-18 12:00:00,7817.4116,10136.0
2013-01-18 13:00:00,7683.122,10124.0
2013-01-18 14:00:00,7702.696,10032.0
2013-01-18 15:00:00,7364.3877,10040.0
2013-01-18 16:00:00,7867.424,9907.0
2013-01-18 17:00:00,7633.663,10053.0
2013-01-18 18:00:00,8029.6235,9826.0
2013-01-18 19:00:00,7755.134,9693.0
2013-01-18 20:00:00,7917.3564,9345.0
2013-01-18 21:00:00,7309.209,8823.0
2013-01-18 22:00:00,7128.8516,8321.0
2013-01-18 23:00:00,6846.408,8000.0
2013-01-19 00:00:00,6500.419,7558.0
2013-01-19 01:00:00,6084.5684,7447.0
2013-01-19 02:00:00,6591.986,7516.0
2013-01-19 03:00:00,5923.6694,7450.0
2013-01-19 04:00:00,6146.862,7492.0
2013-01-19 05:00:00,6399.9907,7428.0
2013-01-19 06:00:00,6692.023,7634.0
2013-01-19 07:00:00,7206.233,7905.0
2013-01-19 08:00:00,7632.3613,8056.0
2013-01-19 09:00:00,8332.65,8631.0
2013-01-19 10:00:00,8387.866,8910.0
2013-01-19 11:00:00,8401.814,8854.0
2013-01-19 12:00:00,7915.6987,8793.0
2013-01-19 13:00:00,7717.3823,8848.0
2013-01-19 14:00:00,7983.587,8723.0
2013-01-19 15:00:00,7410.339,8665.0
2013-01-19 16:00:00,7921.0166,8621.0
2013-01-19 17:00:00,7764.2905,8859.0
2013-01-19 18:00:00,8191.0776,8722.0
2013-01-19 19:00:00,7967.8394,8497.0
2013-01-19 20:00:00,7890.7134,8242.0
2013-01-19 21:00:00,7572.8667,7851.0
2013-01-19 22:00:00,7125.6157,7605.0
2013-01-19 23:00:00,6896.8613,7338.0
2013-01-20 00:00:00,6487.3066,7082.0
2013-01-20 01:00:00,6158.2456,7063.0
2013-01-20 02:00:00,6712.116,7149.0
2013-01-20 03:00:00,6076.3906,7057.0
2013-01-20 04:00:00,6169.8916,7075.0
2013-01-20 05:00:00,6560.0415,6994.0
2013-01-20 06:00:00,6728.8237,7070.0
2013-01-20 07:00:00,7370.814,7259.0
