,y_pred,y_true
2013-01-05 01:00:00,6525.2705,5521.0
2013-01-05 02:00:00,6274.5815,5494.0
2013-01-05 03:00:00,6550.1313,5532.0
2013-01-05 04:00:00,6400.7524,5499.0
2013-01-05 05:00:00,6460.6216,5304.0
2013-01-05 06:00:00,7525.7183,5352.0
2013-01-05 07:00:00,7324.1514,5656.0
2013-01-05 08:00:00,8260.184,6019.0
2013-01-05 09:00:00,8261.568,6459.0
2013-01-05 10:00:00,7702.8545,6708.0
2013-01-05 11:00:00,8216.895,6851.0
2013-01-05 12:00:00,8064.3833,6697.0
2013-01-05 13:00:00,8085.989,6603.0
2013-01-05 14:00:00,7746.8086,6494.0
2013-01-05 15:00:00,7641.752,6453.0
2013-01-05 16:00:00,8388.424,6357.0
2013-01-05 17:00:00,7729.1865,6302.0
2013-01-05 18:00:00,8014.526,6311.0
2013-01-05 19:00:00,7989.4272,6405.0
2013-01-05 20:00:00,7362.7603,6578.0
2013-01-05 21:00:00,7109.3228,6479.0
2013-01-05 22:00:00,7032.3022,6315.0
2013-01-05 23:00:00,6273.395,5938.0
2013-01-06 00:00:00,6719.592,5809.0
2013-01-06 01:00:00,6226.454,5647.0
2013-01-06 02:00:00,6118.0005,5631.0
2013-01-06 03:00:00,6517.652,5607.0
2013-01-06 04:00:00,6382.8657,5491.0
2013-01-06 05:00:00,5967.3076,5277.0
2013-01-06 06:00:00,7531.813,5528.0
2013-01-06 07:00:00,6740.12,5902.0
2013-01-06 08:00:00,7815.551,6300.0
2013-01-06 09:00:00,7756.445,6699.0
2013-01-06 10:00:00,7706.282,6997.0
2013-01-06 11:00:00,7808.287,7163.0
2013-01-06 12:00:00,7872.736,7032.0
2013-01-06 13:00:00,7771.105,6953.0
2013-01-06 14:00:00,7512.748,6849.0
2013-01-06 15:00:00,7402.649,6775.0
2013-01-06 16:00:00,7991.7373,6764.0
2013-01-06 17:00:00,7568.1885,6653.0
2013-01-06 18:00:00,7608.844,6532.0
2013-01-06 19:00:00,7463.201,6458.0
2013-01-06 20:00:00,7158.322,6299.0
2013-01-06 21:00:00,7176.3306,6226.0
