,y_pred,y_true
2013-01-05 01:00:00,6903.6313,5521.0
2013-01-05 02:00:00,6788.9854,5494.0
2013-01-05 03:00:00,5630.3535,5532.0
2013-01-05 04:00:00,6211.978,5499.0
2013-01-05 05:00:00,6724.039,5304.0
2013-01-05 06:00:00,5491.3486,5352.0
2013-01-05 07:00:00,7744.0254,5656.0
2013-01-05 08:00:00,8523.156,6019.0
2013-01-05 09:00:00,8491.337,6459.0
2013-01-05 10:00:00,8246.171,6708.0
2013-01-05 11:00:00,9313.676,6851.0
2013-01-05 12:00:00,7807.7427,6697.0
2013-01-05 13:00:00,7604.0947,6603.0
2013-01-05 14:00:00,7663.034,6494.0
2013-01-05 15:00:00,7968.525,6453.0
2013-01-05 16:00:00,7200.085,6357.0
2013-01-05 17:00:00,8574.7,6302.0
2013-01-05 18:00:00,8227.557,6311.0
2013-01-05 19:00:00,7789.3657,6405.0
2013-01-05 20:00:00,6812.8823,6578.0
2013-01-05 21:00:00,7175.159,6479.0
2013-01-05 22:00:00,6488.278,6315.0
2013-01-05 23:00:00,6411.405,5938.0
2013-01-06 00:00:00,6281.7373,5809.0
2013-01-06 01:00:00,6563.539,5647.0
2013-01-06 02:00:00,6674.6035,5631.0
2013-01-06 03:00:00,5726.0684,5607.0
2013-01-06 04:00:00,6219.2607,5491.0
2013-01-06 05:00:00,6851.1475,5277.0
2013-01-06 06:00:00,5807.4985,5528.0
2013-01-06 07:00:00,7483.409,5902.0
2013-01-06 08:00:00,8611.903,6300.0
2013-01-06 09:00:00,8099.8315,6699.0
2013-01-06 10:00:00,8261.195,6997.0
2013-01-06 11:00:00,9152.589,7163.0
2013-01-06 12:00:00,7935.231,7032.0
2013-01-06 13:00:00,7711.8276,6953.0
2013-01-06 14:00:00,7481.4375,6849.0
2013-01-06 15:00:00,7920.6533,6775.0
2013-01-06 16:00:00,6976.747,6764.0
2013-01-06 17:00:00,8402.618,6653.0
2013-01-06 18:00:00,8105.5737,6532.0
2013-01-06 19:00:00,7688.034,6458.0
2013-01-06 20:00:00,6753.2783,6299.0
2013-01-06 21:00:00,7380.7324,6226.0
2013-01-06 22:00:00,6660.473,6035.0
2013-01-06 23:00:00,6344.1567,5728.0
2013-01-07 00:00:00,6282.1035,5627.0
2013-01-07 01:00:00,6385.3716,5652.0
2013-01-07 02:00:00,6459.851,5532.0
2013-01-07 03:00:00,5912.3047,5427.0
2013-01-07 04:00:00,6336.521,5376.0
2013-01-07 05:00:00,6776.385,5576.0
2013-01-07 06:00:00,6296.8745,6499.0
2013-01-07 07:00:00,7297.4326,7060.0
2013-01-07 08:00:00,8352.081,7355.0
2013-01-07 09:00:00,7732.3354,7524.0
2013-01-07 10:00:00,8147.0806,7518.0
2013-01-07 11:00:00,8803.391,7659.0
2013-01-07 12:00:00,8210.644,7718.0
2013-01-07 13:00:00,7718.1846,7615.0
2013-01-07 14:00:00,7353.8687,7502.0
2013-01-07 15:00:00,7919.0435,7522.0
2013-01-07 16:00:00,6958.2236,7426.0
2013-01-07 17:00:00,8198.487,7201.0
2013-01-07 18:00:00,7980.455,6937.0
2013-01-07 19:00:00,7664.5454,6958.0
2013-01-07 20:00:00,6999.4517,6894.0
2013-01-07 21:00:00,7511.098,6804.0
2013-01-07 22:00:00,6865.232,6684.0
2013-01-07 23:00:00,6466.653,6259.0
2013-01-08 00:00:00,6406.2007,5768.0
2013-01-08 01:00:00,6224.1235,5675.0
2013-01-08 02:00:00,6403.278,5529.0
2013-01-08 03:00:00,5983.336,5362.0
2013-01-08 04:00:00,6327.219,5370.0
2013-01-08 05:00:00,6692.9004,5473.0
2013-01-08 06:00:00,6477.436,6193.0
2013-01-08 07:00:00,7143.1445,6684.0
2013-01-08 08:00:00,8334.914,6979.0
2013-01-08 09:00:00,7547.9766,7247.0
2013-01-08 10:00:00,8039.7227,7363.0
2013-01-08 11:00:00,8568.036,7517.0
2013-01-08 12:00:00,8147.602,7562.0
2013-01-08 13:00:00,7807.034,7522.0
2013-01-08 14:00:00,7478.4536,7388.0
2013-01-08 15:00:00,7988.2144,7382.0
2013-01-08 16:00:00,7025.74,7275.0
2013-01-08 17:00:00,8034.608,7072.0
2013-01-08 18:00:00,7893.9287,6842.0
2013-01-08 19:00:00,7740.0127,6805.0
2013-01-08 20:00:00,7078.004,6720.0
2013-01-08 21:00:00,7527.66,6786.0
2013-01-08 22:00:00,7096.1597,6475.0
2013-01-08 23:00:00,6471.084,6089.0
2013-01-09 00:00:00,6503.694,5090.0
2013-01-09 01:00:00,6252.5767,4950.0
2013-01-09 02:00:00,6342.483,4946.0
2013-01-09 03:00:00,5995.449,4895.0
2013-01-09 04:00:00,6275.108,4874.0
2013-01-09 05:00:00,6801.9834,4778.0
2013-01-09 06:00:00,6543.9087,4775.0
2013-01-09 07:00:00,7139.2163,5067.0
2013-01-09 08:00:00,8225.536,5530.0
2013-01-09 09:00:00,7511.408,6027.0
2013-01-09 10:00:00,8003.721,6426.0
2013-01-09 11:00:00,8505.748,6548.0
2013-01-09 12:00:00,8249.3545,6326.0
2013-01-09 13:00:00,7860.9336,6216.0
2013-01-09 14:00:00,7489.952,6151.0
2013-01-09 15:00:00,8057.378,6157.0
2013-01-09 16:00:00,6951.4473,6032.0
2013-01-09 17:00:00,7977.748,5918.0
2013-01-09 18:00:00,7890.685,5946.0
2013-01-09 19:00:00,7702.746,6259.0
2013-01-09 20:00:00,7071.4434,6578.0
2013-01-09 21:00:00,7402.897,6280.0
2013-01-09 22:00:00,7087.8755,6043.0
2013-01-09 23:00:00,6497.4434,5728.0
2013-01-10 00:00:00,6497.2314,6424.0
2013-01-10 01:00:00,6322.081,6476.0
2013-01-10 02:00:00,6312.657,6345.0
2013-01-10 03:00:00,5981.2114,6221.0
2013-01-10 04:00:00,6308.668,6311.0
2013-01-10 05:00:00,6739.7495,6759.0
2013-01-10 06:00:00,6465.213,7954.0
2013-01-10 07:00:00,7127.9717,8301.0
2013-01-10 08:00:00,8065.485,8325.0
2013-01-10 09:00:00,7528.3154,8352.0
2013-01-10 10:00:00,7877.879,8177.0
2013-01-10 11:00:00,8480.57,8152.0
2013-01-10 12:00:00,8341.027,8224.0
2013-01-10 13:00:00,7731.3296,8163.0
2013-01-10 14:00:00,7517.5,8061.0
2013-01-10 15:00:00,8130.5767,8129.0
2013-01-10 16:00:00,6978.114,8027.0
2013-01-10 17:00:00,8082.951,7967.0
2013-01-10 18:00:00,7801.899,8061.0
2013-01-10 19:00:00,7717.5405,8550.0
2013-01-10 20:00:00,7058.0938,8241.0
2013-01-10 21:00:00,7364.023,7648.0
2013-01-10 22:00:00,7077.617,7168.0
2013-01-10 23:00:00,6476.927,6746.0
2013-01-11 00:00:00,6526.5415,6875.0
2013-01-11 01:00:00,6282.6284,6898.0
2013-01-11 02:00:00,6413.8,6730.0
2013-01-11 03:00:00,6141.7085,6553.0
2013-01-11 04:00:00,6205.9375,6610.0
2013-01-11 05:00:00,6589.7734,7122.0
2013-01-11 06:00:00,6653.645,8109.0
2013-01-11 07:00:00,7128.796,8362.0
2013-01-11 08:00:00,8076.4053,8415.0
2013-01-11 09:00:00,7609.682,8468.0
2013-01-11 10:00:00,7769.685,8433.0
2013-01-11 11:00:00,8448.795,8458.0
2013-01-11 12:00:00,8213.604,8483.0
2013-01-11 13:00:00,7449.7847,8463.0
2013-01-11 14:00:00,7596.103,8408.0
2013-01-11 15:00:00,8314.036,8465.0
2013-01-11 16:00:00,7088.7515,8548.0
2013-01-11 17:00:00,8099.6753,8881.0
2013-01-11 18:00:00,7718.105,8697.0
2013-01-11 19:00:00,7552.398,8568.0
2013-01-11 20:00:00,6990.7817,8240.0
2013-01-11 21:00:00,7331.4307,7715.0
2013-01-11 22:00:00,7018.337,7124.0
2013-01-11 23:00:00,6465.4043,6704.0
2013-01-12 00:00:00,6613.662,6524.0
2013-01-12 01:00:00,6374.4014,6375.0
2013-01-12 02:00:00,6399.9995,6415.0
2013-01-12 03:00:00,6130.6934,6406.0
2013-01-12 04:00:00,6237.3477,6412.0
2013-01-12 05:00:00,6562.2607,6372.0
2013-01-12 06:00:00,6781.935,6593.0
2013-01-12 07:00:00,7201.668,6820.0
2013-01-12 08:00:00,8039.164,7119.0
2013-01-12 09:00:00,7592.687,7644.0
2013-01-12 10:00:00,7802.073,8030.0
2013-01-12 11:00:00,8485.787,8090.0
2013-01-12 12:00:00,8212.34,7952.0
2013-01-12 13:00:00,7468.139,7934.0
2013-01-12 14:00:00,7643.3047,7966.0
2013-01-12 15:00:00,8260.503,7991.0
2013-01-12 16:00:00,7179.666,8200.0
2013-01-12 17:00:00,8015.864,8229.0
2013-01-12 18:00:00,7859.306,8252.0
2013-01-12 19:00:00,7587.7705,8182.0
2013-01-12 20:00:00,7044.821,8040.0
2013-01-12 21:00:00,7379.3965,7630.0
2013-01-12 22:00:00,6940.176,7455.0
2013-01-12 23:00:00,6472.7866,7154.0
2013-01-13 00:00:00,6503.4917,6859.0
2013-01-13 01:00:00,6339.111,6811.0
2013-01-13 02:00:00,6436.8438,6859.0
2013-01-13 03:00:00,6238.237,6743.0
2013-01-13 04:00:00,6211.0293,6783.0
2013-01-13 05:00:00,6628.2896,6708.0
2013-01-13 06:00:00,6846.9336,6801.0
2013-01-13 07:00:00,7192.245,7024.0
2013-01-13 08:00:00,8034.8247,7272.0
2013-01-13 09:00:00,7555.7173,7862.0
2013-01-13 10:00:00,7802.3647,8216.0
2013-01-13 11:00:00,8456.613,8171.0
2013-01-13 12:00:00,8033.3086,8100.0
2013-01-13 13:00:00,7480.1113,8142.0
2013-01-13 14:00:00,7642.617,8177.0
2013-01-13 15:00:00,8329.558,8219.0
2013-01-13 16:00:00,7117.903,8254.0
2013-01-13 17:00:00,7995.999,8505.0
2013-01-13 18:00:00,7819.099,8510.0
2013-01-13 19:00:00,7356.864,8450.0
2013-01-13 20:00:00,7023.492,8243.0
2013-01-13 21:00:00,7328.1143,7873.0
2013-01-13 22:00:00,7049.0815,7769.0
2013-01-13 23:00:00,6522.1836,7492.0
2013-01-14 00:00:00,6502.826,7389.0
2013-01-14 01:00:00,6338.311,7472.0
2013-01-14 02:00:00,6312.5913,7408.0
2013-01-14 03:00:00,6250.623,7339.0
2013-01-14 04:00:00,6308.0522,7394.0
2013-01-14 05:00:00,6799.5747,7874.0
2013-01-14 06:00:00,6915.663,8984.0
2013-01-14 07:00:00,7211.162,9594.0
2013-01-14 08:00:00,7950.9966,9714.0
2013-01-14 09:00:00,7609.6235,9877.0
2013-01-14 10:00:00,7834.509,9962.0
2013-01-14 11:00:00,8375.357,9914.0
2013-01-14 12:00:00,8150.5005,10090.0
2013-01-14 13:00:00,7626.672,10063.0
2013-01-14 14:00:00,7675.1846,9958.0
2013-01-14 15:00:00,8365.944,9900.0
2013-01-14 16:00:00,7176.3037,9806.0
2013-01-14 17:00:00,7950.054,10003.0
2013-01-14 18:00:00,7781.8022,9783.0
2013-01-14 19:00:00,7403.327,9757.0
2013-01-14 20:00:00,7091.131,9469.0
2013-01-14 21:00:00,7403.799,8949.0
2013-01-14 22:00:00,7128.4106,8384.0
2013-01-14 23:00:00,6567.212,7986.0
2013-01-15 00:00:00,6521.949,7812.0
2013-01-15 01:00:00,6425.102,7855.0
2013-01-15 02:00:00,6292.653,7758.0
2013-01-15 03:00:00,6257.0703,7712.0
2013-01-15 04:00:00,6282.879,7809.0
2013-01-15 05:00:00,6820.651,8211.0
2013-01-15 06:00:00,7062.5938,9295.0
2013-01-15 07:00:00,7477.39,9788.0
2013-01-15 08:00:00,7795.14,9854.0
2013-01-15 09:00:00,7751.994,9920.0
2013-01-15 10:00:00,7952.4893,9903.0
2013-01-15 11:00:00,8510.917,9813.0
2013-01-15 12:00:00,8028.28,9894.0
2013-01-15 13:00:00,7677.1035,9907.0
2013-01-15 14:00:00,7874.9556,9897.0
2013-01-15 15:00:00,8460.808,9948.0
2013-01-15 16:00:00,7388.093,9877.0
2013-01-15 17:00:00,7951.901,10045.0
2013-01-15 18:00:00,7904.38,9812.0
2013-01-15 19:00:00,7414.297,9712.0
2013-01-15 20:00:00,7086.726,9433.0
2013-01-15 21:00:00,7437.2124,8893.0
2013-01-15 22:00:00,7103.845,8398.0
2013-01-15 23:00:00,6592.6787,8030.0
2013-01-16 00:00:00,6461.072,7798.0
2013-01-16 01:00:00,6436.9297,7813.0
2013-01-16 02:00:00,6267.1455,7731.0
2013-01-16 03:00:00,6240.2466,7632.0
2013-01-16 04:00:00,6238.247,7747.0
2013-01-16 05:00:00,6828.57,8114.0
2013-01-16 06:00:00,7138.2104,9192.0
2013-01-16 07:00:00,7529.9966,9713.0
2013-01-16 08:00:00,7778.81,9819.0
