,y_pred,y_true
2013-01-05 01:00:00,6553.4634,5521.0
2013-01-05 02:00:00,6156.686,5494.0
2013-01-05 03:00:00,6566.8228,5532.0
2013-01-05 04:00:00,6973.5938,5499.0
2013-01-05 05:00:00,6969.772,5304.0
2013-01-05 06:00:00,6638.9478,5352.0
2013-01-05 07:00:00,6679.191,5656.0
2013-01-05 08:00:00,6676.93,6019.0
2013-01-05 09:00:00,5613.8877,6459.0
2013-01-05 10:00:00,6915.755,6708.0
2013-01-05 11:00:00,6921.675,6851.0
2013-01-05 12:00:00,6905.2515,6697.0
2013-01-05 13:00:00,6827.4087,6603.0
2013-01-05 14:00:00,8151.089,6494.0
2013-01-05 15:00:00,7437.9863,6453.0
2013-01-05 16:00:00,7055.7354,6357.0
2013-01-05 17:00:00,6745.1743,6302.0
2013-01-05 18:00:00,6415.168,6311.0
2013-01-05 19:00:00,6465.0913,6405.0
2013-01-05 20:00:00,6602.0283,6578.0
2013-01-05 21:00:00,7395.608,6479.0
2013-01-05 22:00:00,6460.565,6315.0
2013-01-05 23:00:00,6959.536,5938.0
2013-01-06 00:00:00,7051.076,5809.0
2013-01-06 01:00:00,5704.776,5647.0
2013-01-06 02:00:00,5495.3496,5631.0
2013-01-06 03:00:00,5574.2856,5607.0
2013-01-06 04:00:00,5976.211,5491.0
2013-01-06 05:00:00,6131.4604,5277.0
2013-01-06 06:00:00,5963.8545,5528.0
2013-01-06 07:00:00,6001.546,5902.0
2013-01-06 08:00:00,5919.2207,6300.0
2013-01-06 09:00:00,5006.402,6699.0
2013-01-06 10:00:00,6651.8096,6997.0
2013-01-06 11:00:00,6260.1,7163.0
2013-01-06 12:00:00,6818.6797,7032.0
2013-01-06 13:00:00,6015.7,6953.0
2013-01-06 14:00:00,8255.269,6849.0
2013-01-06 15:00:00,7250.1313,6775.0
2013-01-06 16:00:00,7038.3765,6764.0
2013-01-06 17:00:00,6219.4,6653.0
2013-01-06 18:00:00,5730.313,6532.0
2013-01-06 19:00:00,5879.995,6458.0
2013-01-06 20:00:00,5997.5576,6299.0
2013-01-06 21:00:00,6997.976,6226.0
2013-01-06 22:00:00,5802.802,6035.0
2013-01-06 23:00:00,6082.803,5728.0
2013-01-07 00:00:00,5892.9287,5627.0
2013-01-07 01:00:00,5634.1475,5652.0
2013-01-07 02:00:00,5447.9326,5532.0
2013-01-07 03:00:00,5304.287,5427.0
2013-01-07 04:00:00,5295.9175,5376.0
2013-01-07 05:00:00,5470.5356,5576.0
2013-01-07 06:00:00,5804.236,6499.0
2013-01-07 07:00:00,5575.7656,7060.0
2013-01-07 08:00:00,5571.7153,7355.0
2013-01-07 09:00:00,4976.582,7524.0
2013-01-07 10:00:00,6496.175,7518.0
2013-01-07 11:00:00,6234.9727,7659.0
2013-01-07 12:00:00,7277.065,7718.0
2013-01-07 13:00:00,5906.077,7615.0
2013-01-07 14:00:00,7339.4204,7502.0
2013-01-07 15:00:00,6892.896,7522.0
2013-01-07 16:00:00,7238.151,7426.0
2013-01-07 17:00:00,6304.892,7201.0
2013-01-07 18:00:00,5617.817,6937.0
2013-01-07 19:00:00,6195.304,6958.0
2013-01-07 20:00:00,5880.3867,6894.0
2013-01-07 21:00:00,6558.272,6804.0
2013-01-07 22:00:00,5479.9146,6684.0
2013-01-07 23:00:00,5703.883,6259.0
2013-01-08 00:00:00,5257.053,5768.0
2013-01-08 01:00:00,5870.365,5675.0
2013-01-08 02:00:00,5764.9824,5529.0
2013-01-08 03:00:00,5291.4746,5362.0
2013-01-08 04:00:00,5241.4326,5370.0
2013-01-08 05:00:00,5348.2227,5473.0
2013-01-08 06:00:00,6099.7886,6193.0
2013-01-08 07:00:00,5573.5327,6684.0
2013-01-08 08:00:00,5844.759,6979.0
2013-01-08 09:00:00,5215.4404,7247.0
2013-01-08 10:00:00,6713.106,7363.0
2013-01-08 11:00:00,6775.202,7517.0
2013-01-08 12:00:00,7920.806,7562.0
2013-01-08 13:00:00,6674.3804,7522.0
