,y_pred,y_true
2013-01-05 01:00:00,7063.9746,5521.0
2013-01-05 02:00:00,7390.719,5494.0
2013-01-05 03:00:00,6863.842,5532.0
2013-01-05 04:00:00,7355.231,5499.0
2013-01-05 05:00:00,7024.362,5304.0
2013-01-05 06:00:00,6953.1895,5352.0
2013-01-05 07:00:00,7086.7456,5656.0
2013-01-05 08:00:00,7221.087,6019.0
2013-01-05 09:00:00,7427.6025,6459.0
2013-01-05 10:00:00,6843.0845,6708.0
2013-01-05 11:00:00,7836.55,6851.0
2013-01-05 12:00:00,7405.7427,6697.0
2013-01-05 13:00:00,7458.3857,6603.0
2013-01-05 14:00:00,6999.7056,6494.0
2013-01-05 15:00:00,7245.0977,6453.0
2013-01-05 16:00:00,7176.5537,6357.0
2013-01-05 17:00:00,7308.352,6302.0
2013-01-05 18:00:00,7527.5713,6311.0
2013-01-05 19:00:00,7244.621,6405.0
2013-01-05 20:00:00,7387.155,6578.0
2013-01-05 21:00:00,7583.119,6479.0
2013-01-05 22:00:00,7348.6636,6315.0
2013-01-05 23:00:00,7290.3584,5938.0
2013-01-06 00:00:00,7599.898,5809.0
2013-01-06 01:00:00,6569.5186,5647.0
2013-01-06 02:00:00,7307.8306,5631.0
2013-01-06 03:00:00,6607.1714,5607.0
2013-01-06 04:00:00,7256.298,5491.0
2013-01-06 05:00:00,6831.126,5277.0
2013-01-06 06:00:00,6623.6255,5528.0
2013-01-06 07:00:00,6786.2188,5902.0
2013-01-06 08:00:00,7088.4595,6300.0
2013-01-06 09:00:00,7392.2793,6699.0
2013-01-06 10:00:00,6438.5674,6997.0
2013-01-06 11:00:00,8141.808,7163.0
2013-01-06 12:00:00,7273.085,7032.0
2013-01-06 13:00:00,7610.32,6953.0
2013-01-06 14:00:00,6770.1543,6849.0
2013-01-06 15:00:00,7041.8594,6775.0
2013-01-06 16:00:00,6886.0356,6764.0
2013-01-06 17:00:00,7014.7544,6653.0
2013-01-06 18:00:00,7493.2583,6532.0
2013-01-06 19:00:00,7246.9014,6458.0
2013-01-06 20:00:00,7354.408,6299.0
2013-01-06 21:00:00,7670.4014,6226.0
2013-01-06 22:00:00,7190.976,6035.0
2013-01-06 23:00:00,7370.4307,5728.0
2013-01-07 00:00:00,7868.847,5627.0
2013-01-07 01:00:00,6265.3906,5652.0
2013-01-07 02:00:00,7185.143,5532.0
2013-01-07 03:00:00,6334.6323,5427.0
2013-01-07 04:00:00,7200.7427,5376.0
2013-01-07 05:00:00,6505.334,5576.0
2013-01-07 06:00:00,6331.9956,6499.0
2013-01-07 07:00:00,6485.043,7060.0
2013-01-07 08:00:00,6975.968,7355.0
