,y_pred,y_true
2013-01-05 01:00:00,7124.813,5521.0
2013-01-05 02:00:00,7115.127,5494.0
2013-01-05 03:00:00,7176.2036,5532.0
2013-01-05 04:00:00,6591.775,5499.0
2013-01-05 05:00:00,6764.3906,5304.0
2013-01-05 06:00:00,7457.5566,5352.0
2013-01-05 07:00:00,7034.2153,5656.0
2013-01-05 08:00:00,7254.1685,6019.0
2013-01-05 09:00:00,7102.7476,6459.0
2013-01-05 10:00:00,7494.6855,6708.0
2013-01-05 11:00:00,7067.9062,6851.0
2013-01-05 12:00:00,7425.227,6697.0
2013-01-05 13:00:00,7331.72,6603.0
2013-01-05 14:00:00,6965.4146,6494.0
2013-01-05 15:00:00,7052.289,6453.0
2013-01-05 16:00:00,7587.7173,6357.0
2013-01-05 17:00:00,7304.23,6302.0
2013-01-05 18:00:00,7143.318,6311.0
2013-01-05 19:00:00,7134.448,6405.0
2013-01-05 20:00:00,7165.824,6578.0
2013-01-05 21:00:00,7614.2896,6479.0
2013-01-05 22:00:00,7619.7275,6315.0
2013-01-05 23:00:00,7118.414,5938.0
2013-01-06 00:00:00,7362.0835,5809.0
2013-01-06 01:00:00,6700.8413,5647.0
2013-01-06 02:00:00,6890.9263,5631.0
2013-01-06 03:00:00,7027.9585,5607.0
2013-01-06 04:00:00,5827.786,5491.0
2013-01-06 05:00:00,6272.989,5277.0
2013-01-06 06:00:00,7619.567,5528.0
2013-01-06 07:00:00,6617.637,5902.0
2013-01-06 08:00:00,7163.363,6300.0
2013-01-06 09:00:00,6665.1865,6699.0
2013-01-06 10:00:00,7110.111,6997.0
2013-01-06 11:00:00,6780.274,7163.0
2013-01-06 12:00:00,7522.754,7032.0
2013-01-06 13:00:00,7607.62,6953.0
2013-01-06 14:00:00,6353.643,6849.0
2013-01-06 15:00:00,6505.6045,6775.0
2013-01-06 16:00:00,7366.87,6764.0
2013-01-06 17:00:00,7025.7334,6653.0
2013-01-06 18:00:00,6925.465,6532.0
2013-01-06 19:00:00,6841.07,6458.0
2013-01-06 20:00:00,6828.78,6299.0
2013-01-06 21:00:00,7744.939,6226.0
2013-01-06 22:00:00,7883.6523,6035.0
2013-01-06 23:00:00,6707.8525,5728.0
2013-01-07 00:00:00,7118.2803,5627.0
2013-01-07 01:00:00,6260.2188,5652.0
2013-01-07 02:00:00,6473.229,5532.0
2013-01-07 03:00:00,6763.811,5427.0
2013-01-07 04:00:00,5394.4863,5376.0
2013-01-07 05:00:00,5793.358,5576.0
2013-01-07 06:00:00,7433.235,6499.0
2013-01-07 07:00:00,6275.0337,7060.0
2013-01-07 08:00:00,7205.655,7355.0
2013-01-07 09:00:00,6503.1284,7524.0
2013-01-07 10:00:00,6847.434,7518.0
2013-01-07 11:00:00,6573.973,7659.0
2013-01-07 12:00:00,7611.379,7718.0
2013-01-07 13:00:00,7880.492,7615.0
2013-01-07 14:00:00,5877.8887,7502.0
2013-01-07 15:00:00,6128.9136,7522.0
2013-01-07 16:00:00,7042.135,7426.0
2013-01-07 17:00:00,6635.655,7201.0
2013-01-07 18:00:00,6754.231,6937.0
2013-01-07 19:00:00,6424.1084,6958.0
2013-01-07 20:00:00,6702.186,6894.0
2013-01-07 21:00:00,7914.6387,6804.0
2013-01-07 22:00:00,7877.1104,6684.0
2013-01-07 23:00:00,6478.629,6259.0
2013-01-08 00:00:00,6672.7354,5768.0
2013-01-08 01:00:00,6149.7095,5675.0
2013-01-08 02:00:00,6217.8965,5529.0
2013-01-08 03:00:00,6587.4707,5362.0
2013-01-08 04:00:00,5316.117,5370.0
2013-01-08 05:00:00,5737.3936,5473.0
2013-01-08 06:00:00,7055.793,6193.0
2013-01-08 07:00:00,6099.793,6684.0
2013-01-08 08:00:00,7227.542,6979.0
2013-01-08 09:00:00,6503.754,7247.0
2013-01-08 10:00:00,7046.837,7363.0
2013-01-08 11:00:00,6452.5137,7517.0
2013-01-08 12:00:00,7558.6553,7562.0
2013-01-08 13:00:00,7820.4478,7522.0
2013-01-08 14:00:00,5847.4497,7388.0
2013-01-08 15:00:00,6267.259,7382.0
2013-01-08 16:00:00,7074.522,7275.0
2013-01-08 17:00:00,6781.1733,7072.0
2013-01-08 18:00:00,6853.23,6842.0
2013-01-08 19:00:00,6427.4077,6805.0
2013-01-08 20:00:00,6967.1133,6720.0
2013-01-08 21:00:00,8061.5,6786.0
2013-01-08 22:00:00,7832.873,6475.0
2013-01-08 23:00:00,6617.7476,6089.0
2013-01-09 00:00:00,6437.1733,5090.0
2013-01-09 01:00:00,6235.529,4950.0
2013-01-09 02:00:00,6093.7573,4946.0
2013-01-09 03:00:00,6558.5576,4895.0
2013-01-09 04:00:00,5442.669,4874.0
2013-01-09 05:00:00,5784.835,4778.0
2013-01-09 06:00:00,6682.2676,4775.0
2013-01-09 07:00:00,6236.4863,5067.0
2013-01-09 08:00:00,7360.781,5530.0
2013-01-09 09:00:00,6717.3857,6027.0
2013-01-09 10:00:00,7265.5796,6426.0
2013-01-09 11:00:00,6556.299,6548.0
2013-01-09 12:00:00,7496.744,6326.0
2013-01-09 13:00:00,7818.3584,6216.0
2013-01-09 14:00:00,5913.219,6151.0
2013-01-09 15:00:00,6652.656,6157.0
2013-01-09 16:00:00,7023.747,6032.0
2013-01-09 17:00:00,6978.9165,5918.0
2013-01-09 18:00:00,7006.3335,5946.0
2013-01-09 19:00:00,6522.916,6259.0
2013-01-09 20:00:00,7381.0127,6578.0
2013-01-09 21:00:00,8032.393,6280.0
2013-01-09 22:00:00,7653.573,6043.0
2013-01-09 23:00:00,6912.224,5728.0
2013-01-10 00:00:00,6371.9536,6424.0
2013-01-10 01:00:00,6017.793,6476.0
2013-01-10 02:00:00,5843.1387,6345.0
2013-01-10 03:00:00,6298.6274,6221.0
2013-01-10 04:00:00,5350.147,6311.0
2013-01-10 05:00:00,5583.112,6759.0
2013-01-10 06:00:00,6458.738,7954.0
2013-01-10 07:00:00,6161.9536,8301.0
2013-01-10 08:00:00,7331.418,8325.0
2013-01-10 09:00:00,6823.064,8352.0
2013-01-10 10:00:00,7284.6353,8177.0
2013-01-10 11:00:00,6475.5034,8152.0
2013-01-10 12:00:00,7424.9414,8224.0
2013-01-10 13:00:00,7858.945,8163.0
2013-01-10 14:00:00,5797.2812,8061.0
2013-01-10 15:00:00,6653.829,8129.0
2013-01-10 16:00:00,6916.6724,8027.0
2013-01-10 17:00:00,6924.819,7967.0
2013-01-10 18:00:00,6842.1133,8061.0
2013-01-10 19:00:00,6269.5366,8550.0
2013-01-10 20:00:00,7383.6133,8241.0
2013-01-10 21:00:00,7998.3926,7648.0
2013-01-10 22:00:00,7538.004,7168.0
2013-01-10 23:00:00,6861.878,6746.0
2013-01-11 00:00:00,6296.9834,6875.0
