,y_pred,y_true
2013-01-05 01:00:00,549571268665.19977,5521.0
2013-01-05 02:00:00,554190246977.8003,5494.0
2013-01-05 03:00:00,546346698899.80023,5532.0
2013-01-05 04:00:00,549048365460.0,5499.0
2013-01-05 05:00:00,537718796013.99994,5304.0
2013-01-05 06:00:00,531182505948.99994,5352.0
2013-01-05 07:00:00,554103096443.6,5656.0
2013-01-05 08:00:00,574496321446.4,6019.0
2013-01-05 09:00:00,599421374227.6002,6459.0
2013-01-05 10:00:00,615979975725.6001,6708.0
2013-01-05 11:00:00,613888362904.8002,6851.0
2013-01-05 12:00:00,612668255426.0,6697.0
2013-01-05 13:00:00,618333040149.0,6603.0
2013-01-05 14:00:00,617984438012.1997,6494.0
2013-01-05 15:00:00,619378846559.4,6453.0
2013-01-05 16:00:00,604563255745.4,6357.0
2013-01-05 17:00:00,600118578501.1998,6302.0
2013-01-05 18:00:00,598724169954.0,6311.0
2013-01-05 19:00:00,629401157992.3997,6405.0
2013-01-05 20:00:00,656592124662.8004,6578.0
2013-01-05 21:00:00,631841372950.0,6479.0
2013-01-05 22:00:00,618855943354.2002,6315.0
2013-01-05 23:00:00,593059385231.0001,5938.0
2013-01-06 00:00:00,492923421435.19977,5809.0
2013-01-06 01:00:00,5913.5,5647.0
2013-01-06 02:00:00,5926.5,5631.0
2013-01-06 03:00:00,5900.5,5607.0
2013-01-06 04:00:00,5899.5,5491.0
2013-01-06 05:00:00,5737.0,5277.0
2013-01-06 06:00:00,5723.5,5528.0
2013-01-06 07:00:00,6007.0,5902.0
2013-01-06 08:00:00,6305.5,6300.0
2013-01-06 09:00:00,6668.5,6699.0
2013-01-06 10:00:00,6888.0,6997.0
2013-01-06 11:00:00,6947.5,7163.0
2013-01-06 12:00:00,6863.5,7032.0
2013-01-06 13:00:00,6849.0,6953.0
2013-01-06 14:00:00,6792.5,6849.0
2013-01-06 15:00:00,6780.0,6775.0
2013-01-06 16:00:00,6647.0,6764.0
2013-01-06 17:00:00,6594.0,6653.0
2013-01-06 18:00:00,6590.5,6532.0
2013-01-06 19:00:00,6813.5,6458.0
2013-01-06 20:00:00,7056.0,6299.0
2013-01-06 21:00:00,6864.5,6226.0
2013-01-06 22:00:00,6708.0,6035.0
2013-01-06 23:00:00,6371.5,5728.0
2013-01-07 00:00:00,5732.5,5627.0
2013-01-07 01:00:00,5824.666666666667,5652.0
2013-01-07 02:00:00,5828.0,5532.0
2013-01-07 03:00:00,5802.666666666667,5427.0
2013-01-07 04:00:00,5763.333333333333,5376.0
2013-01-07 05:00:00,5583.666666666667,5576.0
2013-01-07 06:00:00,5658.333333333333,6499.0
2013-01-07 07:00:00,5972.0,7060.0
2013-01-07 08:00:00,6303.666666666667,7355.0
2013-01-07 09:00:00,6678.666666666667,7524.0
2013-01-07 10:00:00,6924.333333333333,7518.0
2013-01-07 11:00:00,7019.333333333333,7659.0
2013-01-07 12:00:00,6919.666666666667,7718.0
2013-01-07 13:00:00,6883.666666666667,7615.0
2013-01-07 14:00:00,6811.333333333333,7502.0
2013-01-07 15:00:00,6778.333333333333,7522.0
2013-01-07 16:00:00,6686.0,7426.0
2013-01-07 17:00:00,6613.666666666667,7201.0
2013-01-07 18:00:00,6571.0,6937.0
2013-01-07 19:00:00,6695.0,6958.0
2013-01-07 20:00:00,6803.666666666667,6894.0
2013-01-07 21:00:00,6651.666666666667,6804.0
