,y_pred,y_true
2013-01-05 01:00:00,0.0,5521.0
2013-01-05 02:00:00,0.0,5494.0
2013-01-05 03:00:00,0.0,5532.0
2013-01-05 04:00:00,0.0,5499.0
2013-01-05 05:00:00,0.0,5304.0
2013-01-05 06:00:00,0.0,5352.0
2013-01-05 07:00:00,0.0,5656.0
2013-01-05 08:00:00,0.0,6019.0
2013-01-05 09:00:00,0.0,6459.0
2013-01-05 10:00:00,0.0,6708.0
2013-01-05 11:00:00,0.0,6851.0
2013-01-05 12:00:00,0.0,6697.0
2013-01-05 13:00:00,0.0,6603.0
2013-01-05 14:00:00,0.0,6494.0
2013-01-05 15:00:00,0.0,6453.0
2013-01-05 16:00:00,0.0,6357.0
2013-01-05 17:00:00,0.0,6302.0
2013-01-05 18:00:00,0.0,6311.0
2013-01-05 19:00:00,0.0,6405.0
2013-01-05 20:00:00,0.0,6578.0
2013-01-05 21:00:00,0.0,6479.0
2013-01-05 22:00:00,0.0,6315.0
2013-01-05 23:00:00,0.0,5938.0
2013-01-06 00:00:00,0.0,5809.0
2013-01-06 01:00:00,456458316322.2999,5647.0
2013-01-06 02:00:00,454226044172.2001,5631.0
2013-01-06 03:00:00,457367760531.60004,5607.0
2013-01-06 04:00:00,454639427903.69995,5491.0
2013-01-06 05:00:00,438517462375.2,5277.0
2013-01-06 06:00:00,442485946197.6,5528.0
2013-01-06 07:00:00,467619677072.8,5902.0
2013-01-06 08:00:00,497631335979.7001,6300.0
2013-01-06 09:00:00,534009104351.70013,6699.0
2013-01-06 10:00:00,554595614180.4,6997.0
2013-01-06 11:00:00,566418388901.3,7163.0
2013-01-06 12:00:00,553686169971.0999,7032.0
2013-01-06 13:00:00,545914555818.90015,6953.0
2013-01-06 14:00:00,536902790472.2002,6849.0
2013-01-06 15:00:00,533513043873.90015,6775.0
2013-01-06 16:00:00,525576076229.1001,6764.0
2013-01-06 17:00:00,521028855182.6,6653.0
2013-01-06 18:00:00,521772945899.3001,6532.0
2013-01-06 19:00:00,529544560051.5,6458.0
2013-01-06 20:00:00,543847637161.40015,6299.0
2013-01-06 21:00:00,535662639277.7,6226.0
2013-01-06 22:00:00,522103652884.4998,6035.0
2013-01-06 23:00:00,490934519529.39996,5728.0
2013-01-07 00:00:00,480269219256.7001,5627.0
2013-01-07 01:00:00,5584.0,5652.0
2013-01-07 02:00:00,5562.5,5532.0
2013-01-07 03:00:00,5569.5,5427.0
2013-01-07 04:00:00,5495.0,5376.0
2013-01-07 05:00:00,5290.5,5576.0
2013-01-07 06:00:00,5440.0,6499.0
2013-01-07 07:00:00,5779.0,7060.0
2013-01-07 08:00:00,6159.5,7355.0
2013-01-07 09:00:00,6579.0,7524.0
2013-01-07 10:00:00,6852.5,7518.0
2013-01-07 11:00:00,7007.0,7659.0
2013-01-07 12:00:00,6864.5,7718.0
2013-01-07 13:00:00,6778.0,7615.0
2013-01-07 14:00:00,6671.5,7502.0
2013-01-07 15:00:00,6614.0,7522.0
2013-01-07 16:00:00,6560.5,7426.0
2013-01-07 17:00:00,6477.5,7201.0
2013-01-07 18:00:00,6421.5,6937.0
2013-01-07 19:00:00,6431.5,6958.0
2013-01-07 20:00:00,6438.5,6894.0
2013-01-07 21:00:00,6352.5,6804.0
2013-01-07 22:00:00,6175.0,6684.0
2013-01-07 23:00:00,5833.0,6259.0
2013-01-08 00:00:00,5718.0,5768.0
2013-01-08 01:00:00,5606.666666666667,5675.0
2013-01-08 02:00:00,5552.333333333333,5529.0
2013-01-08 03:00:00,5522.0,5362.0
2013-01-08 04:00:00,5455.333333333333,5370.0
2013-01-08 05:00:00,5385.666666666667,5473.0
2013-01-08 06:00:00,5793.0,6193.0
2013-01-08 07:00:00,6206.0,6684.0
2013-01-08 08:00:00,6558.0,6979.0
2013-01-08 09:00:00,6894.0,7247.0
2013-01-08 10:00:00,7074.333333333333,7363.0
2013-01-08 11:00:00,7224.333333333333,7517.0
2013-01-08 12:00:00,7149.0,7562.0
2013-01-08 13:00:00,7057.0,7522.0
2013-01-08 14:00:00,6948.333333333333,7388.0
2013-01-08 15:00:00,6916.666666666667,7382.0
2013-01-08 16:00:00,6849.0,7275.0
2013-01-08 17:00:00,6718.666666666667,7072.0
2013-01-08 18:00:00,6593.333333333333,6842.0
2013-01-08 19:00:00,6607.0,6805.0
2013-01-08 20:00:00,6590.333333333333,6720.0
2013-01-08 21:00:00,6503.0,6786.0
2013-01-08 22:00:00,6344.666666666667,6475.0
2013-01-08 23:00:00,5975.0,6089.0
2013-01-09 00:00:00,5734.666666666667,5090.0
2013-01-09 01:00:00,5623.75,4950.0
2013-01-09 02:00:00,5546.5,4946.0
2013-01-09 03:00:00,5482.0,4895.0
2013-01-09 04:00:00,5434.0,4874.0
2013-01-09 05:00:00,5407.5,4778.0
2013-01-09 06:00:00,5893.0,4775.0
2013-01-09 07:00:00,6325.5,5067.0
2013-01-09 08:00:00,6663.25,5530.0
2013-01-09 09:00:00,6982.25,6027.0
2013-01-09 10:00:00,7146.5,6426.0
2013-01-09 11:00:00,7297.5,6548.0
2013-01-09 12:00:00,7252.25,6326.0
2013-01-09 13:00:00,7173.25,6216.0
2013-01-09 14:00:00,7058.25,6151.0
2013-01-09 15:00:00,7033.0,6157.0
2013-01-09 16:00:00,6955.5,6032.0
2013-01-09 17:00:00,6807.0,5918.0
2013-01-09 18:00:00,6655.5,5946.0
2013-01-09 19:00:00,6656.5,6259.0
2013-01-09 20:00:00,6622.75,6578.0
2013-01-09 21:00:00,6573.75,6280.0
2013-01-09 22:00:00,6377.25,6043.0
2013-01-09 23:00:00,6003.5,5728.0
2013-01-10 00:00:00,5573.5,6424.0
2013-01-10 01:00:00,5489.0,6476.0
2013-01-10 02:00:00,5426.4,6345.0
2013-01-10 03:00:00,5364.6,6221.0
2013-01-10 04:00:00,5322.0,6311.0
2013-01-10 05:00:00,5281.6,6759.0
2013-01-10 06:00:00,5669.4,7954.0
2013-01-10 07:00:00,6073.8,8301.0
2013-01-10 08:00:00,6436.6,8325.0
2013-01-10 09:00:00,6791.2,8352.0
2013-01-10 10:00:00,7002.4,8177.0
2013-01-10 11:00:00,7147.6,8152.0
2013-01-10 12:00:00,7067.0,8224.0
2013-01-10 13:00:00,6981.8,8163.0
2013-01-10 14:00:00,6876.8,8061.0
2013-01-10 15:00:00,6857.8,8129.0
2013-01-10 16:00:00,6770.8,8027.0
2013-01-10 17:00:00,6629.2,7967.0
2013-01-10 18:00:00,6513.6,8061.0
2013-01-10 19:00:00,6577.0,8550.0
2013-01-10 20:00:00,6613.8,8241.0
2013-01-10 21:00:00,6515.0,7648.0
2013-01-10 22:00:00,6310.4,7168.0
2013-01-10 23:00:00,5948.4,6746.0
2013-01-11 00:00:00,5743.6,6875.0
2013-01-11 01:00:00,5653.5,6898.0
2013-01-11 02:00:00,5579.5,6730.0
2013-01-11 03:00:00,5507.333333333334,6553.0
2013-01-11 04:00:00,5486.833333333333,6610.0
2013-01-11 05:00:00,5527.833333333334,7122.0
2013-01-11 06:00:00,6050.166666666666,8109.0
2013-01-11 07:00:00,6445.0,8362.0
2013-01-11 08:00:00,6751.333333333334,8415.0
2013-01-11 09:00:00,7051.333333333333,8468.0
2013-01-11 10:00:00,7198.166666666666,8433.0
2013-01-11 11:00:00,7315.0,8458.0
2013-01-11 12:00:00,7259.833333333333,8483.0
2013-01-11 13:00:00,7178.666666666667,8463.0
2013-01-11 14:00:00,7074.166666666667,8408.0
2013-01-11 15:00:00,7069.666666666667,8465.0
2013-01-11 16:00:00,6980.166666666667,8548.0
2013-01-11 17:00:00,6852.166666666666,8881.0
2013-01-11 18:00:00,6771.5,8697.0
2013-01-11 19:00:00,6905.833333333333,8568.0
2013-01-11 20:00:00,6885.0,8240.0
2013-01-11 21:00:00,6703.833333333333,7715.0
2013-01-11 22:00:00,6453.333333333333,7124.0
2013-01-11 23:00:00,6081.333333333333,6704.0
2013-01-12 00:00:00,5932.166666666667,6524.0
2013-01-12 01:00:00,5831.285714285715,6375.0
2013-01-12 02:00:00,5743.857142857143,6415.0
2013-01-12 03:00:00,5656.714285714286,6406.0
2013-01-12 04:00:00,5647.285714285714,6412.0
2013-01-12 05:00:00,5755.571428571429,6372.0
2013-01-12 06:00:00,6344.285714285714,6593.0
2013-01-12 07:00:00,6718.857142857143,6820.0
2013-01-12 08:00:00,6989.000000000001,7119.0
2013-01-12 09:00:00,7253.714285714285,7644.0
2013-01-12 10:00:00,7374.571428571428,8030.0
