,y_pred,y_true
2013-01-05 01:00:00,6617.654,5521.0
2013-01-05 02:00:00,6466.5933,5494.0
2013-01-05 03:00:00,6446.6265,5532.0
2013-01-05 04:00:00,6788.137,5499.0
2013-01-05 05:00:00,6460.199,5304.0
2013-01-05 06:00:00,6846.841,5352.0
2013-01-05 07:00:00,6219.21,5656.0
2013-01-05 08:00:00,6231.749,6019.0
2013-01-05 09:00:00,6954.362,6459.0
2013-01-05 10:00:00,7095.326,6708.0
2013-01-05 11:00:00,6866.5654,6851.0
2013-01-05 12:00:00,6589.188,6697.0
2013-01-05 13:00:00,7597.3516,6603.0
2013-01-05 14:00:00,7284.7905,6494.0
2013-01-05 15:00:00,7094.258,6453.0
2013-01-05 16:00:00,7115.5503,6357.0
2013-01-05 17:00:00,7606.7944,6302.0
2013-01-05 18:00:00,7109.783,6311.0
2013-01-05 19:00:00,7755.441,6405.0
2013-01-05 20:00:00,7645.249,6578.0
2013-01-05 21:00:00,7883.3184,6479.0
2013-01-05 22:00:00,7644.996,6315.0
2013-01-05 23:00:00,6902.749,5938.0
2013-01-06 00:00:00,7088.644,5809.0
2013-01-06 01:00:00,5868.759,5647.0
2013-01-06 02:00:00,5554.0117,5631.0
2013-01-06 03:00:00,5907.6494,5607.0
2013-01-06 04:00:00,6026.6094,5491.0
2013-01-06 05:00:00,5738.731,5277.0
2013-01-06 06:00:00,5696.65,5528.0
2013-01-06 07:00:00,5366.7617,5902.0
2013-01-06 08:00:00,5503.3916,6300.0
2013-01-06 09:00:00,6378.73,6699.0
2013-01-06 10:00:00,6827.3022,6997.0
2013-01-06 11:00:00,6191.0117,7163.0
2013-01-06 12:00:00,6134.743,7032.0
2013-01-06 13:00:00,7581.965,6953.0
2013-01-06 14:00:00,7109.656,6849.0
2013-01-06 15:00:00,6434.7153,6775.0
2013-01-06 16:00:00,6662.568,6764.0
2013-01-06 17:00:00,7013.8906,6653.0
2013-01-06 18:00:00,6648.3003,6532.0
2013-01-06 19:00:00,7696.135,6458.0
