,y_pred,y_true
2013-01-05 01:00:00,7252.1094,5521.0
2013-01-05 02:00:00,7393.465,5494.0
2013-01-05 03:00:00,6902.525,5532.0
2013-01-05 04:00:00,7062.897,5499.0
2013-01-05 05:00:00,7317.4556,5304.0
2013-01-05 06:00:00,6979.8267,5352.0
2013-01-05 07:00:00,7391.573,5656.0
2013-01-05 08:00:00,6830.105,6019.0
2013-01-05 09:00:00,7476.153,6459.0
2013-01-05 10:00:00,7583.737,6708.0
2013-01-05 11:00:00,7422.323,6851.0
2013-01-05 12:00:00,7134.9463,6697.0
2013-01-05 13:00:00,7364.7466,6603.0
2013-01-05 14:00:00,7557.098,6494.0
2013-01-05 15:00:00,7189.4937,6453.0
2013-01-05 16:00:00,7707.6655,6357.0
2013-01-05 17:00:00,7432.369,6302.0
2013-01-05 18:00:00,7356.3716,6311.0
2013-01-05 19:00:00,6761.4653,6405.0
2013-01-05 20:00:00,7000.7783,6578.0
2013-01-05 21:00:00,7266.94,6479.0
2013-01-05 22:00:00,7348.924,6315.0
2013-01-05 23:00:00,7052.77,5938.0
2013-01-06 00:00:00,7251.3945,5809.0
2013-01-06 01:00:00,6915.825,5647.0
2013-01-06 02:00:00,7414.2383,5631.0
2013-01-06 03:00:00,6513.1895,5607.0
2013-01-06 04:00:00,6712.4834,5491.0
2013-01-06 05:00:00,7290.5396,5277.0
2013-01-06 06:00:00,6449.308,5528.0
2013-01-06 07:00:00,7321.2856,5902.0
2013-01-06 08:00:00,6422.856,6300.0
2013-01-06 09:00:00,7454.838,6699.0
2013-01-06 10:00:00,7639.5957,6997.0
2013-01-06 11:00:00,7498.504,7163.0
2013-01-06 12:00:00,6722.3945,7032.0
2013-01-06 13:00:00,7535.5215,6953.0
2013-01-06 14:00:00,7635.204,6849.0
2013-01-06 15:00:00,7119.6055,6775.0
2013-01-06 16:00:00,7936.1313,6764.0
2013-01-06 17:00:00,7514.1016,6653.0
2013-01-06 18:00:00,7333.27,6532.0
2013-01-06 19:00:00,6153.203,6458.0
2013-01-06 20:00:00,6338.393,6299.0
2013-01-06 21:00:00,7168.635,6226.0
2013-01-06 22:00:00,7302.336,6035.0
2013-01-06 23:00:00,6625.685,5728.0
2013-01-07 00:00:00,7076.403,5627.0
2013-01-07 01:00:00,6403.0127,5652.0
2013-01-07 02:00:00,7296.8223,5532.0
2013-01-07 03:00:00,6058.7505,5427.0
2013-01-07 04:00:00,6381.2383,5376.0
2013-01-07 05:00:00,7238.517,5576.0
2013-01-07 06:00:00,6064.9595,6499.0
2013-01-07 07:00:00,7183.4517,7060.0
2013-01-07 08:00:00,6160.4385,7355.0
2013-01-07 09:00:00,7496.0933,7524.0
2013-01-07 10:00:00,7596.154,7518.0
2013-01-07 11:00:00,7487.4614,7659.0
2013-01-07 12:00:00,6449.072,7718.0
2013-01-07 13:00:00,7564.5693,7615.0
2013-01-07 14:00:00,7808.351,7502.0
2013-01-07 15:00:00,7183.38,7522.0
2013-01-07 16:00:00,8232.009,7426.0
2013-01-07 17:00:00,7791.173,7201.0
2013-01-07 18:00:00,7141.695,6937.0
2013-01-07 19:00:00,5589.1743,6958.0
2013-01-07 20:00:00,5739.253,6894.0
2013-01-07 21:00:00,6888.546,6804.0
2013-01-07 22:00:00,6985.446,6684.0
2013-01-07 23:00:00,6202.678,6259.0
2013-01-08 00:00:00,6839.3535,5768.0
2013-01-08 01:00:00,6110.037,5675.0
2013-01-08 02:00:00,7078.2017,5529.0
2013-01-08 03:00:00,5920.405,5362.0
2013-01-08 04:00:00,6446.226,5370.0
2013-01-08 05:00:00,7098.2437,5473.0
2013-01-08 06:00:00,6010.151,6193.0
2013-01-08 07:00:00,6886.5176,6684.0
2013-01-08 08:00:00,6152.179,6979.0
2013-01-08 09:00:00,7515.0654,7247.0
2013-01-08 10:00:00,7558.694,7363.0
2013-01-08 11:00:00,7464.1084,7517.0
2013-01-08 12:00:00,6418.957,7562.0
2013-01-08 13:00:00,7533.0356,7522.0
2013-01-08 14:00:00,7761.6323,7388.0
2013-01-08 15:00:00,7375.129,7382.0
2013-01-08 16:00:00,8203.088,7275.0
2013-01-08 17:00:00,8061.725,7072.0
2013-01-08 18:00:00,7090.7275,6842.0
2013-01-08 19:00:00,5512.9136,6805.0
2013-01-08 20:00:00,5580.3774,6720.0
2013-01-08 21:00:00,6727.7573,6786.0
2013-01-08 22:00:00,6682.9263,6475.0
2013-01-08 23:00:00,6155.7095,6089.0
2013-01-09 00:00:00,6930.186,5090.0
2013-01-09 01:00:00,6039.1167,4950.0
2013-01-09 02:00:00,7034.7153,4946.0
2013-01-09 03:00:00,6026.492,4895.0
2013-01-09 04:00:00,6530.808,4874.0
2013-01-09 05:00:00,6992.717,4778.0
2013-01-09 06:00:00,6114.602,4775.0
2013-01-09 07:00:00,6766.416,5067.0
2013-01-09 08:00:00,6303.027,5530.0
2013-01-09 09:00:00,7390.8027,6027.0
2013-01-09 10:00:00,7469.455,6426.0
2013-01-09 11:00:00,7449.126,6548.0
2013-01-09 12:00:00,6632.9375,6326.0
2013-01-09 13:00:00,7585.597,6216.0
2013-01-09 14:00:00,7706.025,6151.0
2013-01-09 15:00:00,7504.329,6157.0
2013-01-09 16:00:00,8048.61,6032.0
2013-01-09 17:00:00,8050.111,5918.0
2013-01-09 18:00:00,6993.375,5946.0
2013-01-09 19:00:00,5517.3906,6259.0
2013-01-09 20:00:00,5606.077,6578.0
2013-01-09 21:00:00,6717.3384,6280.0
2013-01-09 22:00:00,6664.5947,6043.0
2013-01-09 23:00:00,6272.5254,5728.0
2013-01-10 00:00:00,6936.6157,6424.0
2013-01-10 01:00:00,5957.8647,6476.0
2013-01-10 02:00:00,7029.6055,6345.0
2013-01-10 03:00:00,5910.3945,6221.0
2013-01-10 04:00:00,6569.422,6311.0
2013-01-10 05:00:00,6880.7207,6759.0
2013-01-10 06:00:00,6050.9434,7954.0
2013-01-10 07:00:00,6593.6963,8301.0
2013-01-10 08:00:00,6249.652,8325.0
2013-01-10 09:00:00,7146.639,8352.0
2013-01-10 10:00:00,7468.1475,8177.0
2013-01-10 11:00:00,7393.471,8152.0
2013-01-10 12:00:00,6725.503,8224.0
2013-01-10 13:00:00,7517.369,8163.0
2013-01-10 14:00:00,7795.773,8061.0
