,y_pred,y_true
2013-01-05 01:00:00,7253.685,5521.0
2013-01-05 02:00:00,6778.666,5494.0
2013-01-05 03:00:00,7297.406,5532.0
2013-01-05 04:00:00,7099.184,5499.0
2013-01-05 05:00:00,7645.1655,5304.0
2013-01-05 06:00:00,7017.73,5352.0
2013-01-05 07:00:00,7095.1436,5656.0
2013-01-05 08:00:00,7330.92,6019.0
2013-01-05 09:00:00,7721.6553,6459.0
2013-01-05 10:00:00,7318.837,6708.0
2013-01-05 11:00:00,7384.2656,6851.0
2013-01-05 12:00:00,7771.4146,6697.0
2013-01-05 13:00:00,6977.8574,6603.0
2013-01-05 14:00:00,6923.187,6494.0
2013-01-05 15:00:00,7031.9717,6453.0
2013-01-05 16:00:00,7321.5747,6357.0
2013-01-05 17:00:00,7214.5527,6302.0
2013-01-05 18:00:00,6943.4893,6311.0
2013-01-05 19:00:00,7266.726,6405.0
2013-01-05 20:00:00,7141.5435,6578.0
2013-01-05 21:00:00,7503.409,6479.0
2013-01-05 22:00:00,7014.022,6315.0
2013-01-05 23:00:00,7417.7534,5938.0
2013-01-06 00:00:00,7295.948,5809.0
2013-01-06 01:00:00,7126.9927,5647.0
2013-01-06 02:00:00,6295.6143,5631.0
2013-01-06 03:00:00,7290.059,5607.0
2013-01-06 04:00:00,7003.9595,5491.0
2013-01-06 05:00:00,7736.7837,5277.0
2013-01-06 06:00:00,6691.1816,5528.0
2013-01-06 07:00:00,6803.471,5902.0
2013-01-06 08:00:00,7502.571,6300.0
2013-01-06 09:00:00,7872.3213,6699.0
2013-01-06 10:00:00,7228.416,6997.0
2013-01-06 11:00:00,7111.4146,7163.0
2013-01-06 12:00:00,8111.0664,7032.0
2013-01-06 13:00:00,6529.6377,6953.0
2013-01-06 14:00:00,6670.035,6849.0
2013-01-06 15:00:00,6759.1514,6775.0
2013-01-06 16:00:00,7410.474,6764.0
2013-01-06 17:00:00,6946.614,6653.0
2013-01-06 18:00:00,6501.85,6532.0
2013-01-06 19:00:00,7125.136,6458.0
2013-01-06 20:00:00,6956.4976,6299.0
2013-01-06 21:00:00,7456.593,6226.0
2013-01-06 22:00:00,6724.8584,6035.0
2013-01-06 23:00:00,7504.559,5728.0
2013-01-07 00:00:00,7158.036,5627.0
2013-01-07 01:00:00,6799.708,5652.0
2013-01-07 02:00:00,6136.797,5532.0
2013-01-07 03:00:00,7108.809,5427.0
2013-01-07 04:00:00,6907.205,5376.0
2013-01-07 05:00:00,7628.166,5576.0
2013-01-07 06:00:00,6623.781,6499.0
2013-01-07 07:00:00,6721.1377,7060.0
2013-01-07 08:00:00,7732.6343,7355.0
2013-01-07 09:00:00,7857.637,7524.0
2013-01-07 10:00:00,7170.76,7518.0
2013-01-07 11:00:00,7079.256,7659.0
2013-01-07 12:00:00,8322.221,7718.0
2013-01-07 13:00:00,6263.621,7615.0
2013-01-07 14:00:00,6414.3525,7502.0
2013-01-07 15:00:00,6516.763,7522.0
2013-01-07 16:00:00,7609.89,7426.0
2013-01-07 17:00:00,6990.637,7201.0
2013-01-07 18:00:00,6127.4604,6937.0
2013-01-07 19:00:00,6746.138,6958.0
2013-01-07 20:00:00,6843.8525,6894.0
2013-01-07 21:00:00,7333.272,6804.0
2013-01-07 22:00:00,6493.1675,6684.0
2013-01-07 23:00:00,7458.0645,6259.0
2013-01-08 00:00:00,6998.2456,5768.0
2013-01-08 01:00:00,6682.136,5675.0
2013-01-08 02:00:00,6229.186,5529.0
2013-01-08 03:00:00,7014.4634,5362.0
2013-01-08 04:00:00,6884.085,5370.0
2013-01-08 05:00:00,7331.3975,5473.0
2013-01-08 06:00:00,6678.822,6193.0
2013-01-08 07:00:00,6876.6216,6684.0
2013-01-08 08:00:00,7804.5435,6979.0
2013-01-08 09:00:00,7806.5503,7247.0
2013-01-08 10:00:00,7199.1772,7363.0
2013-01-08 11:00:00,7282.6553,7517.0
2013-01-08 12:00:00,8201.079,7562.0
2013-01-08 13:00:00,6248.325,7522.0
2013-01-08 14:00:00,6508.2505,7388.0
2013-01-08 15:00:00,6466.947,7382.0
2013-01-08 16:00:00,7917.791,7275.0
2013-01-08 17:00:00,7237.132,7072.0
2013-01-08 18:00:00,5984.758,6842.0
2013-01-08 19:00:00,6645.235,6805.0
2013-01-08 20:00:00,6992.978,6720.0
2013-01-08 21:00:00,7260.9976,6786.0
2013-01-08 22:00:00,6546.271,6475.0
2013-01-08 23:00:00,7129.6226,6089.0
2013-01-09 00:00:00,6937.916,5090.0
2013-01-09 01:00:00,6687.637,4950.0
2013-01-09 02:00:00,6408.0264,4946.0
2013-01-09 03:00:00,6836.7305,4895.0
2013-01-09 04:00:00,6930.4194,4874.0
2013-01-09 05:00:00,7226.1777,4778.0
2013-01-09 06:00:00,6868.539,4775.0
2013-01-09 07:00:00,6888.2153,5067.0
2013-01-09 08:00:00,7805.2974,5530.0
2013-01-09 09:00:00,7672.136,6027.0
2013-01-09 10:00:00,7280.818,6426.0
2013-01-09 11:00:00,7326.68,6548.0
2013-01-09 12:00:00,8044.8813,6326.0
2013-01-09 13:00:00,6364.362,6216.0
2013-01-09 14:00:00,6753.3457,6151.0
2013-01-09 15:00:00,6563.598,6157.0
2013-01-09 16:00:00,8083.449,6032.0
2013-01-09 17:00:00,7359.716,5918.0
2013-01-09 18:00:00,6107.7544,5946.0
2013-01-09 19:00:00,6721.535,6259.0
2013-01-09 20:00:00,7147.3306,6578.0
2013-01-09 21:00:00,7269.193,6280.0
2013-01-09 22:00:00,6735.5156,6043.0
2013-01-09 23:00:00,6952.5674,5728.0
2013-01-10 00:00:00,6937.678,6424.0
2013-01-10 01:00:00,6729.1665,6476.0
2013-01-10 02:00:00,6301.929,6345.0
2013-01-10 03:00:00,6644.9497,6221.0
2013-01-10 04:00:00,6908.2505,6311.0
2013-01-10 05:00:00,7278.515,6759.0
2013-01-10 06:00:00,6845.3394,7954.0
2013-01-10 07:00:00,6737.8643,8301.0
2013-01-10 08:00:00,7747.3755,8325.0
2013-01-10 09:00:00,7742.5312,8352.0
2013-01-10 10:00:00,7299.7695,8177.0
2013-01-10 11:00:00,7318.208,8152.0
2013-01-10 12:00:00,8025.402,8224.0
2013-01-10 13:00:00,6339.7827,8163.0
2013-01-10 14:00:00,6809.1294,8061.0
2013-01-10 15:00:00,6562.6245,8129.0
2013-01-10 16:00:00,8134.849,8027.0
2013-01-10 17:00:00,7218.21,7967.0
2013-01-10 18:00:00,6100.548,8061.0
2013-01-10 19:00:00,6731.371,8550.0
2013-01-10 20:00:00,7159.1914,8241.0
2013-01-10 21:00:00,7273.104,7648.0
2013-01-10 22:00:00,6717.134,7168.0
2013-01-10 23:00:00,6868.6797,6746.0
2013-01-11 00:00:00,6821.786,6875.0
2013-01-11 01:00:00,6667.099,6898.0
2013-01-11 02:00:00,6241.776,6730.0
2013-01-11 03:00:00,6434.9473,6553.0
2013-01-11 04:00:00,6867.112,6610.0
2013-01-11 05:00:00,7204.1216,7122.0
2013-01-11 06:00:00,6861.841,8109.0
2013-01-11 07:00:00,6642.9585,8362.0
2013-01-11 08:00:00,7782.4673,8415.0
2013-01-11 09:00:00,7751.157,8468.0
2013-01-11 10:00:00,7303.4644,8433.0
2013-01-11 11:00:00,7258.0156,8458.0
2013-01-11 12:00:00,8024.112,8483.0
2013-01-11 13:00:00,6248.7114,8463.0
2013-01-11 14:00:00,6881.5225,8408.0
2013-01-11 15:00:00,6536.3345,8465.0
2013-01-11 16:00:00,8323.105,8548.0
2013-01-11 17:00:00,7229.4375,8881.0
2013-01-11 18:00:00,6044.704,8697.0
2013-01-11 19:00:00,6742.1313,8568.0
2013-01-11 20:00:00,7195.8447,8240.0
2013-01-11 21:00:00,7284.988,7715.0
2013-01-11 22:00:00,6755.5537,7124.0
2013-01-11 23:00:00,6726.19,6704.0
2013-01-12 00:00:00,6752.656,6524.0
2013-01-12 01:00:00,6720.1665,6375.0
2013-01-12 02:00:00,6242.0044,6415.0
2013-01-12 03:00:00,6308.798,6406.0
2013-01-12 04:00:00,6919.407,6412.0
2013-01-12 05:00:00,7114.939,6372.0
2013-01-12 06:00:00,6867.706,6593.0
2013-01-12 07:00:00,6635.5522,6820.0
2013-01-12 08:00:00,7773.635,7119.0
2013-01-12 09:00:00,7771.4463,7644.0
2013-01-12 10:00:00,7244.3,8030.0
2013-01-12 11:00:00,7191.547,8090.0
2013-01-12 12:00:00,8005.3784,7952.0
2013-01-12 13:00:00,6234.3784,7934.0
2013-01-12 14:00:00,7047.058,7966.0
2013-01-12 15:00:00,6596.221,7991.0
2013-01-12 16:00:00,8441.851,8200.0
2013-01-12 17:00:00,7180.7153,8229.0
2013-01-12 18:00:00,6106.072,8252.0
2013-01-12 19:00:00,6877.5386,8182.0
2013-01-12 20:00:00,7253.9214,8040.0
2013-01-12 21:00:00,7305.398,7630.0
2013-01-12 22:00:00,6916.6924,7455.0
2013-01-12 23:00:00,6601.7363,7154.0
2013-01-13 00:00:00,6771.1924,6859.0
2013-01-13 01:00:00,6802.4863,6811.0
2013-01-13 02:00:00,6334.058,6859.0
2013-01-13 03:00:00,6248.066,6743.0
2013-01-13 04:00:00,6990.8013,6783.0
2013-01-13 05:00:00,7116.2876,6708.0
2013-01-13 06:00:00,6921.1484,6801.0
2013-01-13 07:00:00,6630.385,7024.0
2013-01-13 08:00:00,7691.3335,7272.0
2013-01-13 09:00:00,7767.743,7862.0
2013-01-13 10:00:00,7231.5527,8216.0
2013-01-13 11:00:00,7081.5015,8171.0
2013-01-13 12:00:00,7957.013,8100.0
2013-01-13 13:00:00,6270.6675,8142.0
2013-01-13 14:00:00,7215.0977,8177.0
2013-01-13 15:00:00,6688.8994,8219.0
2013-01-13 16:00:00,8445.09,8254.0
2013-01-13 17:00:00,7157.1655,8505.0
2013-01-13 18:00:00,6270.313,8510.0
2013-01-13 19:00:00,7009.899,8450.0
2013-01-13 20:00:00,7307.9214,8243.0
2013-01-13 21:00:00,7331.218,7873.0
2013-01-13 22:00:00,7082.4233,7769.0
2013-01-13 23:00:00,6588.6167,7492.0
2013-01-14 00:00:00,6838.617,7389.0
2013-01-14 01:00:00,6899.596,7472.0
2013-01-14 02:00:00,6468.9595,7408.0
2013-01-14 03:00:00,6211.549,7339.0
2013-01-14 04:00:00,7034.8228,7394.0
2013-01-14 05:00:00,7220.619,7874.0
2013-01-14 06:00:00,6980.0137,8984.0
2013-01-14 07:00:00,6613.663,9594.0
2013-01-14 08:00:00,7605.6436,9714.0
2013-01-14 09:00:00,7740.082,9877.0
2013-01-14 10:00:00,7212.5977,9962.0
2013-01-14 11:00:00,6933.4653,9914.0
2013-01-14 12:00:00,7922.863,10090.0
2013-01-14 13:00:00,6332.1123,10063.0
2013-01-14 14:00:00,7395.093,9958.0
2013-01-14 15:00:00,6809.4976,9900.0
2013-01-14 16:00:00,8380.91,9806.0
2013-01-14 17:00:00,7119.4688,10003.0
2013-01-14 18:00:00,6543.1597,9783.0
2013-01-14 19:00:00,7154.79,9757.0
2013-01-14 20:00:00,7302.514,9469.0
2013-01-14 21:00:00,7366.553,8949.0
2013-01-14 22:00:00,7274.2812,8384.0
2013-01-14 23:00:00,6656.3154,7986.0
2013-01-15 00:00:00,6943.993,7812.0
2013-01-15 01:00:00,7054.884,7855.0
2013-01-15 02:00:00,6653.919,7758.0
2013-01-15 03:00:00,6264.9424,7712.0
2013-01-15 04:00:00,7158.381,7809.0
2013-01-15 05:00:00,7281.1533,8211.0
2013-01-15 06:00:00,7137.322,9295.0
2013-01-15 07:00:00,6631.727,9788.0
2013-01-15 08:00:00,7472.6055,9854.0
2013-01-15 09:00:00,7674.5444,9920.0
2013-01-15 10:00:00,7240.747,9903.0
2013-01-15 11:00:00,6811.3486,9813.0
2013-01-15 12:00:00,7830.448,9894.0
2013-01-15 13:00:00,6508.1836,9907.0
2013-01-15 14:00:00,7505.655,9897.0
2013-01-15 15:00:00,6989.9253,9948.0
2013-01-15 16:00:00,8186.2466,9877.0
2013-01-15 17:00:00,7086.656,10045.0
2013-01-15 18:00:00,6868.605,9812.0
