,y_pred,y_true
2013-01-05 01:00:00,151017.865814209,108412.0
2013-01-05 02:00:00,187811.02760881186,108164.0
2013-01-05 03:00:00,134179.93610048294,108260.0
2013-01-05 04:00:00,180128.03001815078,114440.0
2013-01-05 05:00:00,141644.70431694388,128912.0
2013-01-05 06:00:00,152461.63623768094,150786.0
2013-01-05 07:00:00,113550.73042976856,156993.0
2013-01-05 08:00:00,167777.6564049721,160766.0
2013-01-05 09:00:00,174797.49367299673,162775.0
2013-01-05 10:00:00,125089.51737710834,165281.0
2013-01-05 11:00:00,138557.63706994054,167758.0
2013-01-05 12:00:00,142956.97462892532,162530.0
2013-01-05 13:00:00,170276.36317694187,160507.0
2013-01-05 14:00:00,145575.57108798623,160266.0
2013-01-05 15:00:00,117508.65343981981,162198.0
2013-01-05 16:00:00,186164.36772120002,164585.0
2013-01-05 17:00:00,181852.75658380988,166310.0
2013-01-05 18:00:00,199878.08938014507,167244.51
2013-01-05 19:00:00,124646.5939221084,167370.825
2013-01-05 20:00:00,205303.9129152298,166634.235
2013-01-05 21:00:00,172032.27052927017,167682.685
2013-01-05 22:00:00,181868.99943703413,141520.0
2013-01-05 23:00:00,159618.33096253872,127505.0
2013-01-06 00:00:00,150276.7350953221,120064.0
2013-01-06 01:00:00,124979.20600509645,117331.0
2013-01-06 02:00:00,134804.80397313833,119522.0
2013-01-06 03:00:00,116643.85384297371,116051.0
2013-01-06 04:00:00,160400.1165550351,122739.0
2013-01-06 05:00:00,136123.8360262215,139187.0
2013-01-06 06:00:00,167770.30217909816,161942.0
2013-01-06 07:00:00,142668.39741000533,164228.0
2013-01-06 08:00:00,146908.4163736105,167644.0
2013-01-06 09:00:00,161059.33681207892,171020.0
2013-01-06 10:00:00,149524.1454768479,172444.0
2013-01-06 11:00:00,155593.47785544393,171608.0
2013-01-06 12:00:00,150724.560993284,171232.0
2013-01-06 13:00:00,172933.93720841408,168644.0
2013-01-06 14:00:00,178235.64142614603,165936.0
2013-01-06 15:00:00,140542.39909249544,166680.0
2013-01-06 16:00:00,157342.55216735604,169896.0
2013-01-06 17:00:00,173355.9832299948,170469.0
2013-01-06 18:00:00,165363.39038479328,173859.0
2013-01-06 19:00:00,160313.48779529333,173173.0
2013-01-06 20:00:00,190360.7040194273,169886.0
2013-01-06 21:00:00,167204.8458468914,156259.0
2013-01-06 22:00:00,147000.84366852045,141951.0
2013-01-06 23:00:00,125677.64671081305,126530.0
2013-01-07 00:00:00,142543.28452885148,121181.0
2013-01-07 01:00:00,100490.75675010683,116661.0
2013-01-07 02:00:00,108187.93447926639,116549.0
2013-01-07 03:00:00,107973.77387362719,122029.0
2013-01-07 04:00:00,140171.05998823047,139327.0
2013-01-07 05:00:00,143395.70299333334,169273.0
2013-01-07 06:00:00,178239.74150228503,199146.0
2013-01-07 07:00:00,176242.52832722664,198007.0
2013-01-07 08:00:00,133794.33904615045,196805.0
2013-01-07 09:00:00,158714.98539614675,193587.0
2013-01-07 10:00:00,197205.68571650982,190305.0
2013-01-07 11:00:00,172012.25564503667,186066.0
2013-01-07 12:00:00,170248.6841711402,181342.0
2013-01-07 13:00:00,175932.43663465977,181518.0
2013-01-07 14:00:00,193168.99883937836,182883.0
2013-01-07 15:00:00,165084.93735349178,184793.0
2013-01-07 16:00:00,165216.42022138837,188451.0
2013-01-07 17:00:00,173914.8613251448,187596.0
2013-01-07 18:00:00,163014.13068705797,186743.0
2013-01-07 19:00:00,157216.4781576991,185466.0
2013-01-07 20:00:00,166965.47889506817,181817.0
2013-01-07 21:00:00,165951.94462060928,170502.0
2013-01-07 22:00:00,132223.26089820266,151730.0
2013-01-07 23:00:00,116544.64688020943,134933.0
2013-01-08 00:00:00,132692.07607010004,130288.0
2013-01-08 01:00:00,100542.78248023988,127306.0
2013-01-08 02:00:00,107603.96331578492,126370.0
2013-01-08 03:00:00,104210.90293961763,129511.0
2013-01-08 04:00:00,113625.41259488463,141155.0
2013-01-08 05:00:00,139338.27149680257,176000.0
2013-01-08 06:00:00,188985.00042867663,204263.0
2013-01-08 07:00:00,198400.265463233,207907.0
2013-01-08 08:00:00,161698.1948051751,206238.0
2013-01-08 09:00:00,162427.52596098182,200054.0
2013-01-08 10:00:00,202779.72735780478,193761.0
2013-01-08 11:00:00,176771.1896653175,188246.0
2013-01-08 12:00:00,195820.3726272583,183836.0
2013-01-08 13:00:00,177165.24935913086,183518.0
2013-01-08 14:00:00,199396.21848517656,181908.0
2013-01-08 15:00:00,191835.40849792957,185356.0
2013-01-08 16:00:00,174723.73719036582,185601.0
2013-01-08 17:00:00,175323.21733129027,184153.0
2013-01-08 18:00:00,154284.01699358225,182379.0
2013-01-08 19:00:00,164367.26093658805,180293.0
2013-01-08 20:00:00,161304.27406457067,175983.0
2013-01-08 21:00:00,170623.49890947342,167180.0
2013-01-08 22:00:00,147703.6037774682,139958.0
2013-01-08 23:00:00,120301.53600388764,131036.0
2013-01-09 00:00:00,131024.58258122204,124331.0
2013-01-09 01:00:00,97221.03037834169,122230.0
2013-01-09 02:00:00,121733.22701320052,121172.0
2013-01-09 03:00:00,113694.63513380289,125255.0
2013-01-09 04:00:00,117969.98073351383,137208.0
2013-01-09 05:00:00,141713.67736682296,168373.0
2013-01-09 06:00:00,194764.20206117633,200074.0
2013-01-09 07:00:00,196688.17003428936,199609.0
2013-01-09 08:00:00,190053.33374100926,196734.0
2013-01-09 09:00:00,176014.95944309232,190908.0
2013-01-09 10:00:00,203598.2281127572,186831.0
2013-01-09 11:00:00,188204.32012629506,181577.0
2013-01-09 12:00:00,196823.37673395872,183178.0
2013-01-09 13:00:00,170874.91325843334,177442.0
2013-01-09 14:00:00,194056.79221481085,173108.0
2013-01-09 15:00:00,186435.55920398235,177837.0
2013-01-09 16:00:00,176009.90152919295,182397.0
2013-01-09 17:00:00,182265.49508941176,183296.0
2013-01-09 18:00:00,161338.1954151392,182388.0
2013-01-09 19:00:00,176501.21102124453,181819.0
2013-01-09 20:00:00,170472.85262668133,178341.0
2013-01-09 21:00:00,152099.7555565834,167746.0
2013-01-09 22:00:00,159461.2264686823,151338.0
2013-01-09 23:00:00,120373.25699567793,137142.0
2013-01-10 00:00:00,122310.40623682736,130991.0
2013-01-10 01:00:00,99791.09018898012,131848.0
2013-01-10 02:00:00,136635.15712738037,134061.0
2013-01-10 03:00:00,127987.22626531123,137610.0
2013-01-10 04:00:00,120391.46163868904,147325.0
2013-01-10 05:00:00,150106.1347180009,177534.0
2013-01-10 06:00:00,192470.60844600204,212945.0
2013-01-10 07:00:00,194952.14429306984,211806.0
2013-01-10 08:00:00,203081.37225151065,208176.0
2013-01-10 09:00:00,182156.9664390683,202571.0
2013-01-10 10:00:00,198832.87768948078,200563.0
2013-01-10 11:00:00,191687.27500391004,198583.0
2013-01-10 12:00:00,205880.7550549507,196742.0
2013-01-10 13:00:00,168842.30047237873,197442.0
2013-01-10 14:00:00,188864.80958777666,193898.0
2013-01-10 15:00:00,185154.92303192616,194766.0
2013-01-10 16:00:00,178284.5950368643,196529.0
2013-01-10 17:00:00,190443.8016934395,196918.0
2013-01-10 18:00:00,169069.28153765202,197247.0
2013-01-10 19:00:00,177081.1549102068,198149.0
2013-01-10 20:00:00,177082.3482131362,190953.0
2013-01-10 21:00:00,151705.64680576324,178723.0
2013-01-10 22:00:00,160052.43834149837,162022.0
2013-01-10 23:00:00,122798.5036868453,148999.0
2013-01-11 00:00:00,119091.51297086477,143913.0
2013-01-11 01:00:00,104843.21497917177,146276.0
2013-01-11 02:00:00,134863.7946754694,143594.0
2013-01-11 03:00:00,130071.7537307143,148762.0
2013-01-11 04:00:00,133798.8449009657,165796.0
2013-01-11 05:00:00,152075.01761221886,199566.0
2013-01-11 06:00:00,191984.74028623107,231836.0
2013-01-11 07:00:00,199602.36599481106,238306.0
2013-01-11 08:00:00,206978.28377163413,239775.0
2013-01-11 09:00:00,189336.53250473735,233004.0
2013-01-11 10:00:00,197765.26724749804,237128.0
2013-01-11 11:00:00,196592.3104367256,223060.0
2013-01-11 12:00:00,198976.11521661282,217377.0
2013-01-11 13:00:00,174733.84344291687,227973.0
2013-01-11 14:00:00,194186.5139299631,227193.0
2013-01-11 15:00:00,186699.99969780445,227088.0
2013-01-11 16:00:00,187376.0361785889,230974.0
2013-01-11 17:00:00,195830.62172067168,232974.0
2013-01-11 18:00:00,172126.52142441273,230417.0
2013-01-11 19:00:00,171137.14799952507,230278.0
2013-01-11 20:00:00,175312.93764954805,225051.0
2013-01-11 21:00:00,155906.67077481747,214125.0
2013-01-11 22:00:00,157131.20280629396,195811.0
2013-01-11 23:00:00,126576.27758866549,180108.0
2013-01-12 00:00:00,119728.53031030296,170978.0
2013-01-12 01:00:00,109422.22506904604,168835.0
2013-01-12 02:00:00,130969.29048389196,168731.0
2013-01-12 03:00:00,136232.97421574593,171702.0
2013-01-12 04:00:00,136930.58834019303,179308.0
2013-01-12 05:00:00,148624.52045336366,196536.0
2013-01-12 06:00:00,193221.7405738831,222599.0
2013-01-12 07:00:00,202191.32886338234,231258.0
2013-01-12 08:00:00,216471.128277123,238786.0
2013-01-12 09:00:00,187921.6283972859,238041.0
2013-01-12 10:00:00,193019.55341511965,232865.0
2013-01-12 11:00:00,193987.93955898282,220850.0
2013-01-12 12:00:00,206814.7936965227,219966.0
2013-01-12 13:00:00,181059.8406213522,212333.0
2013-01-12 14:00:00,197576.16071611643,212093.0
2013-01-12 15:00:00,188867.585262537,217229.0
2013-01-12 16:00:00,194259.1630046368,227284.0
2013-01-12 17:00:00,196997.0794452429,231573.0
2013-01-12 18:00:00,186919.309974432,234354.0
2013-01-12 19:00:00,167617.74914208055,235487.0
2013-01-12 20:00:00,182410.92520916462,233424.0
2013-01-12 21:00:00,155661.82069182396,224293.0
2013-01-12 22:00:00,163662.46712619066,206407.0
2013-01-12 23:00:00,129728.7302057743,186897.0
2013-01-13 00:00:00,127289.59519743918,179740.0
2013-01-13 01:00:00,128333.61315345766,178333.0
2013-01-13 02:00:00,114316.16852134465,178229.0
2013-01-13 03:00:00,145079.34611201286,179312.0
2013-01-13 04:00:00,176557.99608129263,186237.0
2013-01-13 05:00:00,135450.0108140707,202470.0
2013-01-13 06:00:00,130876.75272351505,223095.0
2013-01-13 07:00:00,137101.67479354143,230563.0
2013-01-13 08:00:00,122957.59575074911,238379.0
2013-01-13 09:00:00,162658.15175923702,242000.0
2013-01-13 10:00:00,185146.41907197237,241085.0
2013-01-13 11:00:00,181250.2460365295,242824.0
2013-01-13 12:00:00,186817.49510455132,241456.0
2013-01-13 13:00:00,132843.1890104413,235299.0
2013-01-13 14:00:00,168820.64402604103,235738.0
2013-01-13 15:00:00,182120.4104422331,238851.0
2013-01-13 16:00:00,165876.179923296,241781.0
2013-01-13 17:00:00,142572.4851359129,242886.0
2013-01-13 18:00:00,216996.08347678185,245544.0
2013-01-13 19:00:00,127710.52078473567,247098.0
2013-01-13 20:00:00,150724.76648899913,243924.0
2013-01-13 21:00:00,185438.95403146744,233022.0
2013-01-13 22:00:00,145014.83557513356,214456.0
2013-01-13 23:00:00,166519.6158915758,196132.0
2013-01-14 00:00:00,141861.7315471172,187612.0
2013-01-14 01:00:00,122382.60561370851,185336.0
