,y_pred,y_true
2013-01-05 01:00:00,149817.5,108412.0
2013-01-05 02:00:00,183087.1,108164.0
2013-01-05 03:00:00,130865.13,108260.0
2013-01-05 04:00:00,88929.586,114440.0
2013-01-05 05:00:00,158116.92,128912.0
2013-01-05 06:00:00,154936.88,150786.0
2013-01-05 07:00:00,178006.16,156993.0
2013-01-05 08:00:00,147733.0,160766.0
2013-01-05 09:00:00,140522.17,162775.0
2013-01-05 10:00:00,171019.55,165281.0
2013-01-05 11:00:00,172727.31,167758.0
2013-01-05 12:00:00,151707.03,162530.0
2013-01-05 13:00:00,163227.6,160507.0
2013-01-05 14:00:00,126774.195,160266.0
2013-01-05 15:00:00,131501.14,162198.0
2013-01-05 16:00:00,182468.48,164585.0
2013-01-05 17:00:00,149645.11,166310.0
2013-01-05 18:00:00,180906.3,167244.51
2013-01-05 19:00:00,158853.53,167370.825
2013-01-05 20:00:00,148097.22,166634.235
2013-01-05 21:00:00,147778.44,167682.685
2013-01-05 22:00:00,126976.3,141520.0
2013-01-05 23:00:00,204397.53,127505.0
2013-01-06 00:00:00,188543.39,120064.0
2013-01-06 01:00:00,136627.3,117331.0
2013-01-06 02:00:00,139808.22,119522.0
2013-01-06 03:00:00,112513.77,116051.0
2013-01-06 04:00:00,119257.984,122739.0
2013-01-06 05:00:00,144338.06,139187.0
2013-01-06 06:00:00,168122.34,161942.0
2013-01-06 07:00:00,172467.31,164228.0
2013-01-06 08:00:00,152309.64,167644.0
2013-01-06 09:00:00,144412.69,171020.0
2013-01-06 10:00:00,161053.64,172444.0
2013-01-06 11:00:00,150736.61,171608.0
2013-01-06 12:00:00,166398.97,171232.0
2013-01-06 13:00:00,162111.28,168644.0
2013-01-06 14:00:00,149949.42,165936.0
2013-01-06 15:00:00,162318.3,166680.0
2013-01-06 16:00:00,149820.0,169896.0
2013-01-06 17:00:00,165099.02,170469.0
2013-01-06 18:00:00,175030.42,173859.0
2013-01-06 19:00:00,178547.56,173173.0
2013-01-06 20:00:00,176824.78,169886.0
2013-01-06 21:00:00,163460.95,156259.0
2013-01-06 22:00:00,134394.4,141951.0
2013-01-06 23:00:00,163990.17,126530.0
2013-01-07 00:00:00,165674.2,121181.0
2013-01-07 01:00:00,107997.86,116661.0
2013-01-07 02:00:00,123619.625,116549.0
2013-01-07 03:00:00,106214.24,122029.0
2013-01-07 04:00:00,124985.07,139327.0
2013-01-07 05:00:00,145051.03,169273.0
2013-01-07 06:00:00,179575.31,199146.0
2013-01-07 07:00:00,154887.16,198007.0
2013-01-07 08:00:00,168418.42,196805.0
2013-01-07 09:00:00,159782.45,193587.0
2013-01-07 10:00:00,164352.36,190305.0
2013-01-07 11:00:00,135200.88,186066.0
2013-01-07 12:00:00,187036.06,181342.0
2013-01-07 13:00:00,174345.12,181518.0
2013-01-07 14:00:00,157275.83,182883.0
2013-01-07 15:00:00,160163.84,184793.0
2013-01-07 16:00:00,171255.44,188451.0
2013-01-07 17:00:00,190343.66,187596.0
2013-01-07 18:00:00,169147.9,186743.0
2013-01-07 19:00:00,170177.83,185466.0
2013-01-07 20:00:00,175107.64,181817.0
2013-01-07 21:00:00,164437.08,170502.0
2013-01-07 22:00:00,155032.9,151730.0
2013-01-07 23:00:00,131073.4,134933.0
2013-01-08 00:00:00,142755.03,130288.0
2013-01-08 01:00:00,116079.89,127306.0
2013-01-08 02:00:00,117696.6,126370.0
2013-01-08 03:00:00,112256.29,129511.0
2013-01-08 04:00:00,126059.64,141155.0
2013-01-08 05:00:00,156239.2,176000.0
2013-01-08 06:00:00,196426.67,204263.0
2013-01-08 07:00:00,159847.45,207907.0
2013-01-08 08:00:00,191227.6,206238.0
2013-01-08 09:00:00,184151.86,200054.0
2013-01-08 10:00:00,180709.53,193761.0
2013-01-08 11:00:00,152233.75,188246.0
2013-01-08 12:00:00,180625.14,183836.0
2013-01-08 13:00:00,174055.58,183518.0
2013-01-08 14:00:00,157130.5,181908.0
2013-01-08 15:00:00,181338.44,185356.0
2013-01-08 16:00:00,163430.2,185601.0
2013-01-08 17:00:00,205423.73,184153.0
2013-01-08 18:00:00,173613.38,182379.0
2013-01-08 19:00:00,157047.64,180293.0
2013-01-08 20:00:00,173729.06,175983.0
2013-01-08 21:00:00,171507.11,167180.0
2013-01-08 22:00:00,164714.36,139958.0
2013-01-08 23:00:00,138625.47,131036.0
2013-01-09 00:00:00,134456.97,124331.0
2013-01-09 01:00:00,116811.78,122230.0
2013-01-09 02:00:00,110810.03,121172.0
2013-01-09 03:00:00,119174.37,125255.0
2013-01-09 04:00:00,136498.98,137208.0
2013-01-09 05:00:00,163698.12,168373.0
2013-01-09 06:00:00,189871.7,200074.0
2013-01-09 07:00:00,183513.94,199609.0
2013-01-09 08:00:00,198601.56,196734.0
2013-01-09 09:00:00,188174.88,190908.0
2013-01-09 10:00:00,186570.61,186831.0
2013-01-09 11:00:00,156757.23,181577.0
2013-01-09 12:00:00,186260.3,183178.0
2013-01-09 13:00:00,174555.14,177442.0
2013-01-09 14:00:00,168852.39,173108.0
2013-01-09 15:00:00,182585.39,177837.0
2013-01-09 16:00:00,172007.38,182397.0
2013-01-09 17:00:00,198313.56,183296.0
2013-01-09 18:00:00,182045.11,182388.0
2013-01-09 19:00:00,155752.97,181819.0
2013-01-09 20:00:00,166803.55,178341.0
2013-01-09 21:00:00,182839.52,167746.0
2013-01-09 22:00:00,150862.97,151338.0
2013-01-09 23:00:00,117171.664,137142.0
2013-01-10 00:00:00,138198.02,130991.0
2013-01-10 01:00:00,124894.94,131848.0
2013-01-10 02:00:00,112979.71,134061.0
2013-01-10 03:00:00,125654.984,137610.0
2013-01-10 04:00:00,142639.39,147325.0
2013-01-10 05:00:00,167549.17,177534.0
2013-01-10 06:00:00,193495.62,212945.0
2013-01-10 07:00:00,196091.45,211806.0
2013-01-10 08:00:00,199154.19,208176.0
