,y_pred,y_true
2013-01-05 01:00:00,148786.16322708133,108412.0
2013-01-05 02:00:00,134721.20669096708,108164.0
2013-01-05 03:00:00,141794.4146783352,108260.0
2013-01-05 04:00:00,146194.33372586966,114440.0
2013-01-05 05:00:00,161451.97974663973,128912.0
2013-01-05 06:00:00,197934.11935281756,150786.0
2013-01-05 07:00:00,196179.12952160835,156993.0
2013-01-05 08:00:00,151265.76107335094,160766.0
2013-01-05 09:00:00,137557.65441286564,162775.0
2013-01-05 10:00:00,141334.5747409463,165281.0
2013-01-05 11:00:00,113508.65740835665,167758.0
2013-01-05 12:00:00,169396.353677392,162530.0
2013-01-05 13:00:00,209185.55072391033,160507.0
2013-01-05 14:00:00,131492.73501861095,160266.0
2013-01-05 15:00:00,202343.58971130848,162198.0
2013-01-05 16:00:00,156877.12273180488,164585.0
2013-01-05 17:00:00,135244.0762836933,166310.0
2013-01-05 18:00:00,180642.3883945942,167244.51
2013-01-05 19:00:00,155984.9613030553,167370.825
2013-01-05 20:00:00,162680.10614740849,166634.235
2013-01-05 21:00:00,181948.54503273964,167682.685
2013-01-05 22:00:00,162647.95675998926,141520.0
2013-01-05 23:00:00,162991.28849196434,127505.0
2013-01-06 00:00:00,141092.43414759633,120064.0
2013-01-06 01:00:00,140801.1776123047,117331.0
2013-01-06 02:00:00,128855.20464479923,119522.0
2013-01-06 03:00:00,123799.78848153351,116051.0
2013-01-06 04:00:00,132418.04616841674,122739.0
2013-01-06 05:00:00,162014.27794390917,139187.0
2013-01-06 06:00:00,172339.9481751919,161942.0
2013-01-06 07:00:00,151425.6368638575,164228.0
2013-01-06 08:00:00,159421.97640767696,167644.0
2013-01-06 09:00:00,140259.03256508708,171020.0
2013-01-06 10:00:00,155433.3229406774,172444.0
2013-01-06 11:00:00,145308.1621892452,171608.0
2013-01-06 12:00:00,167853.09426409006,171232.0
2013-01-06 13:00:00,219776.89081203938,168644.0
2013-01-06 14:00:00,139138.20751199126,165936.0
2013-01-06 15:00:00,177363.78403377533,166680.0
2013-01-06 16:00:00,133430.62830644846,169896.0
2013-01-06 17:00:00,168348.33193671706,170469.0
2013-01-06 18:00:00,176528.33517622948,173859.0
2013-01-06 19:00:00,188538.7393374443,173173.0
2013-01-06 20:00:00,155253.59221678972,169886.0
2013-01-06 21:00:00,171847.19210982323,156259.0
2013-01-06 22:00:00,153000.5741108656,141951.0
2013-01-06 23:00:00,153795.28307628632,126530.0
2013-01-07 00:00:00,143974.34604710338,121181.0
2013-01-07 01:00:00,131809.63414001465,116661.0
2013-01-07 02:00:00,120666.3570265472,116549.0
2013-01-07 03:00:00,112097.53580302,122029.0
2013-01-07 04:00:00,133712.67385980487,139327.0
2013-01-07 05:00:00,153973.42322337627,169273.0
2013-01-07 06:00:00,175020.59890747073,199146.0
