,y_pred,y_true
2013-01-05 01:00:00,171503.42,108412.0
2013-01-05 02:00:00,100588.555,108164.0
2013-01-05 03:00:00,109795.37,108260.0
2013-01-05 04:00:00,109732.31,114440.0
2013-01-05 05:00:00,106312.36,128912.0
2013-01-05 06:00:00,164109.19,150786.0
2013-01-05 07:00:00,189195.81,156993.0
2013-01-05 08:00:00,226952.2,160766.0
2013-01-05 09:00:00,220159.61,162775.0
2013-01-05 10:00:00,164349.31,165281.0
2013-01-05 11:00:00,141663.58,167758.0
2013-01-05 12:00:00,179269.66,162530.0
2013-01-05 13:00:00,164790.6,160507.0
2013-01-05 14:00:00,160888.27,160266.0
2013-01-05 15:00:00,139539.66,162198.0
2013-01-05 16:00:00,198315.1,164585.0
2013-01-05 17:00:00,149433.88,166310.0
2013-01-05 18:00:00,156693.05,167244.51
2013-01-05 19:00:00,170300.31,167370.825
2013-01-05 20:00:00,157337.47,166634.235
2013-01-05 21:00:00,128589.22,167682.685
2013-01-05 22:00:00,154015.02,141520.0
2013-01-05 23:00:00,129275.83,127505.0
2013-01-06 00:00:00,77235.76,120064.0
2013-01-06 01:00:00,138411.78,117331.0
2013-01-06 02:00:00,106776.73,119522.0
2013-01-06 03:00:00,126978.53,116051.0
2013-01-06 04:00:00,120675.96,122739.0
2013-01-06 05:00:00,132389.0,139187.0
2013-01-06 06:00:00,155056.92,161942.0
2013-01-06 07:00:00,172907.11,164228.0
2013-01-06 08:00:00,224563.5,167644.0
2013-01-06 09:00:00,167162.66,171020.0
2013-01-06 10:00:00,172562.05,172444.0
2013-01-06 11:00:00,151940.52,171608.0
2013-01-06 12:00:00,162559.11,171232.0
2013-01-06 13:00:00,158044.64,168644.0
2013-01-06 14:00:00,176364.84,165936.0
2013-01-06 15:00:00,186397.52,166680.0
2013-01-06 16:00:00,183586.53,169896.0
2013-01-06 17:00:00,157839.86,170469.0
2013-01-06 18:00:00,158846.38,173859.0
2013-01-06 19:00:00,159349.64,173173.0
2013-01-06 20:00:00,177539.14,169886.0
2013-01-06 21:00:00,143291.75,156259.0
2013-01-06 22:00:00,155709.5,141951.0
2013-01-06 23:00:00,142219.95,126530.0
2013-01-07 00:00:00,97659.766,121181.0
2013-01-07 01:00:00,121577.73,116661.0
2013-01-07 02:00:00,107955.195,116549.0
2013-01-07 03:00:00,124537.74,122029.0
2013-01-07 04:00:00,135744.44,139327.0
2013-01-07 05:00:00,151616.31,169273.0
2013-01-07 06:00:00,155761.72,199146.0
2013-01-07 07:00:00,169128.22,198007.0
2013-01-07 08:00:00,204800.44,196805.0
2013-01-07 09:00:00,137748.14,193587.0
2013-01-07 10:00:00,185260.4,190305.0
2013-01-07 11:00:00,169084.12,186066.0
2013-01-07 12:00:00,157686.64,181342.0
2013-01-07 13:00:00,167287.08,181518.0
2013-01-07 14:00:00,175086.06,182883.0
2013-01-07 15:00:00,188917.64,184793.0
2013-01-07 16:00:00,202571.86,188451.0
2013-01-07 17:00:00,172569.98,187596.0
2013-01-07 18:00:00,176261.42,186743.0
2013-01-07 19:00:00,154811.1,185466.0
2013-01-07 20:00:00,194488.17,181817.0
2013-01-07 21:00:00,141206.72,170502.0
2013-01-07 22:00:00,153703.95,151730.0
2013-01-07 23:00:00,131828.7,134933.0
2013-01-08 00:00:00,100150.39,130288.0
2013-01-08 01:00:00,113650.71,127306.0
2013-01-08 02:00:00,121812.72,126370.0
2013-01-08 03:00:00,117061.82,129511.0
2013-01-08 04:00:00,133616.06,141155.0
2013-01-08 05:00:00,153750.22,176000.0
2013-01-08 06:00:00,158518.56,204263.0
2013-01-08 07:00:00,175329.36,207907.0
2013-01-08 08:00:00,191202.38,206238.0
2013-01-08 09:00:00,138218.72,200054.0
2013-01-08 10:00:00,183762.3,193761.0
2013-01-08 11:00:00,167267.92,188246.0
2013-01-08 12:00:00,158056.95,183836.0
2013-01-08 13:00:00,177008.92,183518.0
2013-01-08 14:00:00,173553.53,181908.0
2013-01-08 15:00:00,197706.73,185356.0
2013-01-08 16:00:00,183944.97,185601.0
2013-01-08 17:00:00,164144.97,184153.0
2013-01-08 18:00:00,168891.17,182379.0
2013-01-08 19:00:00,167920.9,180293.0
2013-01-08 20:00:00,188898.78,175983.0
2013-01-08 21:00:00,150393.03,167180.0
2013-01-08 22:00:00,153102.72,139958.0
2013-01-08 23:00:00,142912.4,131036.0
2013-01-09 00:00:00,101255.516,124331.0
2013-01-09 01:00:00,113972.39,122230.0
2013-01-09 02:00:00,127336.79,121172.0
2013-01-09 03:00:00,125174.98,125255.0
2013-01-09 04:00:00,135415.86,137208.0
2013-01-09 05:00:00,157824.16,168373.0
2013-01-09 06:00:00,171199.58,200074.0
2013-01-09 07:00:00,181093.66,199609.0
2013-01-09 08:00:00,183788.9,196734.0
2013-01-09 09:00:00,146380.1,190908.0
2013-01-09 10:00:00,185362.27,186831.0
2013-01-09 11:00:00,164578.02,181577.0
2013-01-09 12:00:00,149017.6,183178.0
2013-01-09 13:00:00,172814.47,177442.0
2013-01-09 14:00:00,170209.75,173108.0
2013-01-09 15:00:00,183748.66,177837.0
2013-01-09 16:00:00,187096.2,182397.0
2013-01-09 17:00:00,159555.31,183296.0
2013-01-09 18:00:00,170308.94,182388.0
2013-01-09 19:00:00,172030.14,181819.0
2013-01-09 20:00:00,185238.84,178341.0
2013-01-09 21:00:00,142573.83,167746.0
2013-01-09 22:00:00,148024.0,151338.0
2013-01-09 23:00:00,148258.64,137142.0
2013-01-10 00:00:00,106540.84,130991.0
2013-01-10 01:00:00,117157.14,131848.0
2013-01-10 02:00:00,125923.17,134061.0
2013-01-10 03:00:00,121676.28,137610.0
2013-01-10 04:00:00,142708.47,147325.0
2013-01-10 05:00:00,147618.67,177534.0
2013-01-10 06:00:00,169906.98,212945.0
2013-01-10 07:00:00,181599.81,211806.0
2013-01-10 08:00:00,182209.25,208176.0
2013-01-10 09:00:00,159478.16,202571.0
2013-01-10 10:00:00,191076.66,200563.0
2013-01-10 11:00:00,174256.12,198583.0
2013-01-10 12:00:00,149691.25,196742.0
2013-01-10 13:00:00,178881.45,197442.0
2013-01-10 14:00:00,157868.12,193898.0
2013-01-10 15:00:00,174141.89,194766.0
2013-01-10 16:00:00,177452.62,196529.0
2013-01-10 17:00:00,155988.23,196918.0
2013-01-10 18:00:00,171477.55,197247.0
2013-01-10 19:00:00,172121.61,198149.0
2013-01-10 20:00:00,179636.12,190953.0
2013-01-10 21:00:00,144434.23,178723.0
2013-01-10 22:00:00,147859.83,162022.0
2013-01-10 23:00:00,148838.23,148999.0
2013-01-11 00:00:00,123099.21,143913.0
2013-01-11 01:00:00,125488.3,146276.0
2013-01-11 02:00:00,125437.055,143594.0
2013-01-11 03:00:00,122928.09,148762.0
2013-01-11 04:00:00,147341.66,165796.0
2013-01-11 05:00:00,145532.55,199566.0
2013-01-11 06:00:00,169797.83,231836.0
2013-01-11 07:00:00,186776.31,238306.0
2013-01-11 08:00:00,181891.16,239775.0
2013-01-11 09:00:00,165399.8,233004.0
2013-01-11 10:00:00,198565.17,237128.0
2013-01-11 11:00:00,169056.62,223060.0
2013-01-11 12:00:00,152067.16,217377.0
2013-01-11 13:00:00,174228.72,227973.0
2013-01-11 14:00:00,155014.5,227193.0
2013-01-11 15:00:00,173580.1,227088.0
2013-01-11 16:00:00,179735.9,230974.0
2013-01-11 17:00:00,159166.92,232974.0
2013-01-11 18:00:00,180600.27,230417.0
2013-01-11 19:00:00,165185.84,230278.0
2013-01-11 20:00:00,185272.27,225051.0
2013-01-11 21:00:00,146576.19,214125.0
2013-01-11 22:00:00,149084.89,195811.0
2013-01-11 23:00:00,137632.11,180108.0
2013-01-12 00:00:00,130735.83,170978.0
2013-01-12 01:00:00,136126.3,168835.0
2013-01-12 02:00:00,116577.2,168731.0
2013-01-12 03:00:00,136805.16,171702.0
2013-01-12 04:00:00,153136.62,179308.0
2013-01-12 05:00:00,152094.86,196536.0
2013-01-12 06:00:00,177236.19,222599.0
2013-01-12 07:00:00,182040.55,231258.0
2013-01-12 08:00:00,186749.45,238786.0
2013-01-12 09:00:00,160899.22,238041.0
2013-01-12 10:00:00,206012.48,232865.0
2013-01-12 11:00:00,174944.86,220850.0
2013-01-12 12:00:00,157539.55,219966.0
2013-01-12 13:00:00,186820.33,212333.0
2013-01-12 14:00:00,159667.31,212093.0
2013-01-12 15:00:00,178415.97,217229.0
2013-01-12 16:00:00,192109.56,227284.0
2013-01-12 17:00:00,165322.98,231573.0
2013-01-12 18:00:00,194184.17,234354.0
2013-01-12 19:00:00,169169.89,235487.0
2013-01-12 20:00:00,187837.16,233424.0
2013-01-12 21:00:00,148628.5,224293.0
2013-01-12 22:00:00,152218.92,206407.0
2013-01-12 23:00:00,113290.734,186897.0
2013-01-13 00:00:00,126920.34,179740.0
2013-01-13 01:00:00,142197.34,178333.0
2013-01-13 02:00:00,116089.16,178229.0
2013-01-13 03:00:00,155386.84,179312.0
2013-01-13 04:00:00,154251.75,186237.0
2013-01-13 05:00:00,153481.03,202470.0
2013-01-13 06:00:00,185579.34,223095.0
2013-01-13 07:00:00,179769.62,230563.0
2013-01-13 08:00:00,185922.97,238379.0
2013-01-13 09:00:00,173701.78,242000.0
2013-01-13 10:00:00,195947.9,241085.0
2013-01-13 11:00:00,187311.6,242824.0
2013-01-13 12:00:00,153317.31,241456.0
2013-01-13 13:00:00,189081.42,235299.0
2013-01-13 14:00:00,156168.61,235738.0
2013-01-13 15:00:00,176526.55,238851.0
2013-01-13 16:00:00,198363.75,241781.0
2013-01-13 17:00:00,158612.25,242886.0
2013-01-13 18:00:00,209448.62,245544.0
2013-01-13 19:00:00,171400.72,247098.0
2013-01-13 20:00:00,186339.22,243924.0
2013-01-13 21:00:00,144650.0,233022.0
2013-01-13 22:00:00,155785.84,214456.0
2013-01-13 23:00:00,114118.26,196132.0
2013-01-14 00:00:00,128136.84,187612.0
2013-01-14 01:00:00,144211.67,185336.0
2013-01-14 02:00:00,115488.875,187528.0
2013-01-14 03:00:00,155016.97,191744.0
2013-01-14 04:00:00,154600.88,204208.0
2013-01-14 05:00:00,145883.88,230784.0
2013-01-14 06:00:00,184792.56,263556.0
2013-01-14 07:00:00,177233.03,271342.0
2013-01-14 08:00:00,191282.69,271088.0
2013-01-14 09:00:00,184275.14,268574.0
2013-01-14 10:00:00,191572.47,268458.0
2013-01-14 11:00:00,187790.88,265598.0
2013-01-14 12:00:00,157933.97,263856.0
2013-01-14 13:00:00,180580.56,255160.0
2013-01-14 14:00:00,157561.56,249458.0
2013-01-14 15:00:00,183062.31,246208.0
2013-01-14 16:00:00,199410.78,259906.0
2013-01-14 17:00:00,169691.48,261942.0
2013-01-14 18:00:00,214693.0,259554.0
2013-01-14 19:00:00,180732.86,258148.0
2013-01-14 20:00:00,192428.75,257864.0
2013-01-14 21:00:00,150668.67,243220.0
2013-01-14 22:00:00,166001.75,220694.0
2013-01-14 23:00:00,110931.4,201226.0
2013-01-15 00:00:00,135126.55,192358.0
2013-01-15 01:00:00,141791.81,192434.0
2013-01-15 02:00:00,114278.125,199154.0
2013-01-15 03:00:00,142921.6,201606.0
2013-01-15 04:00:00,161404.77,216608.0
2013-01-15 05:00:00,141399.1,250960.0
2013-01-15 06:00:00,173116.73,286832.0
2013-01-15 07:00:00,185640.45,299080.0
2013-01-15 08:00:00,194007.98,296991.0
2013-01-15 09:00:00,188068.47,278322.0
2013-01-15 10:00:00,194195.55,263964.0
2013-01-15 11:00:00,179393.36,262226.0
2013-01-15 12:00:00,170457.62,254659.0
2013-01-15 13:00:00,182536.67,257639.0
2013-01-15 14:00:00,171108.83,260635.0
2013-01-15 15:00:00,182355.92,263629.0
2013-01-15 16:00:00,201661.33,265457.0
2013-01-15 17:00:00,180983.03,262790.0
2013-01-15 18:00:00,218444.06,259658.0
2013-01-15 19:00:00,177586.78,258223.0
2013-01-15 20:00:00,188862.06,253857.0
2013-01-15 21:00:00,153333.42,241025.0
2013-01-15 22:00:00,169305.36,216146.0
2013-01-15 23:00:00,108248.18,198838.0
2013-01-16 00:00:00,137818.33,193300.0
2013-01-16 01:00:00,147848.84,187552.0
2013-01-16 02:00:00,118861.555,189052.0
2013-01-16 03:00:00,147727.66,189852.0
2013-01-16 04:00:00,167839.62,206218.0
2013-01-16 05:00:00,141818.28,236002.0
2013-01-16 06:00:00,174827.53,271764.0
2013-01-16 07:00:00,184059.48,276984.0
2013-01-16 08:00:00,201803.03,275426.0
2013-01-16 09:00:00,195140.58,269102.0
2013-01-16 10:00:00,196921.88,262476.0
2013-01-16 11:00:00,190776.38,261178.0
2013-01-16 12:00:00,162291.19,259642.0
2013-01-16 13:00:00,182371.97,256752.0
2013-01-16 14:00:00,175629.4,256012.0
2013-01-16 15:00:00,193273.34,255548.0
2013-01-16 16:00:00,207259.12,256310.0
2013-01-16 17:00:00,188294.5,256024.0
2013-01-16 18:00:00,229444.47,256242.0
2013-01-16 19:00:00,182318.61,255266.0
2013-01-16 20:00:00,197612.27,249494.0
2013-01-16 21:00:00,158340.75,236890.0
2013-01-16 22:00:00,169653.56,211050.0
2013-01-16 23:00:00,104662.46,191424.0
2013-01-17 00:00:00,140390.81,188600.0
2013-01-17 01:00:00,153859.6,186680.0
2013-01-17 02:00:00,122027.016,187676.0
2013-01-17 03:00:00,152327.2,192868.0
2013-01-17 04:00:00,171939.2,205422.0
2013-01-17 05:00:00,137489.9,237370.0
2013-01-17 06:00:00,189215.89,274280.0
2013-01-17 07:00:00,187182.48,281020.0
2013-01-17 08:00:00,207025.86,277508.0
2013-01-17 09:00:00,209404.16,271420.0
2013-01-17 10:00:00,201637.69,267640.0
2013-01-17 11:00:00,192688.17,263572.0
2013-01-17 12:00:00,163325.48,259438.0
2013-01-17 13:00:00,185634.84,255722.0
2013-01-17 14:00:00,179946.25,256364.0
2013-01-17 15:00:00,204215.94,261240.0
2013-01-17 16:00:00,212831.97,263968.0
2013-01-17 17:00:00,189376.44,266656.0
2013-01-17 18:00:00,240135.66,269684.0
2013-01-17 19:00:00,190017.17,271160.0
2013-01-17 20:00:00,201962.05,260320.0
2013-01-17 21:00:00,161028.22,248260.0
2013-01-17 22:00:00,173418.45,222320.0
2013-01-17 23:00:00,96264.24,202760.0
2013-01-18 00:00:00,145999.92,195770.0
2013-01-18 01:00:00,157398.36,194256.0
2013-01-18 02:00:00,124916.45,196240.0
2013-01-18 03:00:00,152999.3,202036.0
2013-01-18 04:00:00,178072.78,215662.0
2013-01-18 05:00:00,135172.02,250348.0
2013-01-18 06:00:00,188180.23,287490.0
2013-01-18 07:00:00,185172.98,298126.0
2013-01-18 08:00:00,216941.05,298327.0
2013-01-18 09:00:00,218212.75,294094.0
2013-01-18 10:00:00,206345.33,283540.0
2013-01-18 11:00:00,194079.73,279694.0
2013-01-18 12:00:00,167508.02,278744.0
2013-01-18 13:00:00,182383.61,277375.0
2013-01-18 14:00:00,185701.27,279518.0
2013-01-18 15:00:00,210400.12,280929.0
2013-01-18 16:00:00,214937.42,283505.0
2013-01-18 17:00:00,195382.39,280014.0
2013-01-18 18:00:00,250824.31,276379.0
2013-01-18 19:00:00,190103.12,272738.0
2013-01-18 20:00:00,209973.4,267086.0
2013-01-18 21:00:00,162248.33,253676.0
2013-01-18 22:00:00,178578.28,230965.0
2013-01-18 23:00:00,96084.43,211716.0
2013-01-19 00:00:00,149549.47,205060.0
2013-01-19 01:00:00,158375.98,203748.0
2013-01-19 02:00:00,130248.57,202944.0
2013-01-19 03:00:00,149349.69,205752.0
2013-01-19 04:00:00,185411.1,215416.0
2013-01-19 05:00:00,131066.33,235432.0
2013-01-19 06:00:00,198300.12,257400.0
2013-01-19 07:00:00,196974.17,265924.0
2013-01-19 08:00:00,220796.1,277732.0
2013-01-19 09:00:00,225833.17,278176.0
2013-01-19 10:00:00,218540.44,273496.0
2013-01-19 11:00:00,193827.38,267956.0
2013-01-19 12:00:00,175513.39,261084.0
2013-01-19 13:00:00,186833.66,255166.0
2013-01-19 14:00:00,199375.27,252604.0
2013-01-19 15:00:00,218562.05,261086.0
2013-01-19 16:00:00,233353.92,267412.0
2013-01-19 17:00:00,198923.23,267894.0
2013-01-19 18:00:00,260421.89,267048.0
2013-01-19 19:00:00,204863.38,268454.0
2013-01-19 20:00:00,215922.56,263604.0
2013-01-19 21:00:00,164907.14,253916.0
2013-01-19 22:00:00,179046.45,232196.0
2013-01-19 23:00:00,91063.42,214160.0
2013-01-20 00:00:00,152145.78,207076.0
2013-01-20 01:00:00,167782.53,205800.0
2013-01-20 02:00:00,130987.11,205948.0
2013-01-20 03:00:00,158120.61,207020.0
2013-01-20 04:00:00,193585.53,214408.0
2013-01-20 05:00:00,130269.52,229400.0
2013-01-20 06:00:00,212808.27,251404.0
2013-01-20 07:00:00,195515.36,261688.0
2013-01-20 08:00:00,226602.94,270140.0
2013-01-20 09:00:00,241476.88,273800.0
2013-01-20 10:00:00,230682.31,273060.0
2013-01-20 11:00:00,194419.2,272760.0
2013-01-20 12:00:00,173970.86,268632.0
2013-01-20 13:00:00,192339.97,260932.0
2013-01-20 14:00:00,207784.03,258292.0
2013-01-20 15:00:00,228459.92,260956.0
2013-01-20 16:00:00,236072.94,264556.0
2013-01-20 17:00:00,202229.23,267348.0
2013-01-20 18:00:00,269353.03,267012.0
2013-01-20 19:00:00,220845.06,263848.0
2013-01-20 20:00:00,219255.67,258228.0
2013-01-20 21:00:00,164020.56,245884.0
2013-01-20 22:00:00,180142.34,224724.0
2013-01-20 23:00:00,88878.0,204504.0
2013-01-21 00:00:00,157665.3,196012.0
2013-01-21 01:00:00,172661.69,194496.0
2013-01-21 02:00:00,142194.94,195232.0
2013-01-21 03:00:00,153733.06,200272.0
