,y_pred,y_true
2013-01-05 01:00:00,154541.3,108412.0
2013-01-05 02:00:00,114679.945,108164.0
2013-01-05 03:00:00,121370.42,108260.0
2013-01-05 04:00:00,120045.836,114440.0
2013-01-05 05:00:00,152924.7,128912.0
2013-01-05 06:00:00,157593.94,150786.0
2013-01-05 07:00:00,149233.34,156993.0
2013-01-05 08:00:00,182486.97,160766.0
2013-01-05 09:00:00,183265.19,162775.0
2013-01-05 10:00:00,208990.7,165281.0
2013-01-05 11:00:00,174027.94,167758.0
2013-01-05 12:00:00,172836.1,162530.0
2013-01-05 13:00:00,142760.39,160507.0
2013-01-05 14:00:00,183352.16,160266.0
2013-01-05 15:00:00,151772.5,162198.0
2013-01-05 16:00:00,194091.75,164585.0
2013-01-05 17:00:00,154238.36,166310.0
2013-01-05 18:00:00,183065.39,167244.51
2013-01-05 19:00:00,167404.05,167370.825
2013-01-05 20:00:00,154985.86,166634.235
2013-01-05 21:00:00,173221.67,167682.685
2013-01-05 22:00:00,165553.2,141520.0
2013-01-05 23:00:00,134418.1,127505.0
2013-01-06 00:00:00,134655.6,120064.0
2013-01-06 01:00:00,144097.45,117331.0
2013-01-06 02:00:00,132319.52,119522.0
2013-01-06 03:00:00,107116.55,116051.0
2013-01-06 04:00:00,110626.875,122739.0
2013-01-06 05:00:00,131391.69,139187.0
2013-01-06 06:00:00,135700.9,161942.0
2013-01-06 07:00:00,160996.27,164228.0
2013-01-06 08:00:00,188283.4,167644.0
2013-01-06 09:00:00,176504.6,171020.0
2013-01-06 10:00:00,208359.72,172444.0
2013-01-06 11:00:00,183525.03,171608.0
2013-01-06 12:00:00,173163.34,171232.0
2013-01-06 13:00:00,159473.83,168644.0
2013-01-06 14:00:00,170588.16,165936.0
2013-01-06 15:00:00,190336.19,166680.0
2013-01-06 16:00:00,188091.22,169896.0
2013-01-06 17:00:00,185664.14,170469.0
2013-01-06 18:00:00,166872.7,173859.0
2013-01-06 19:00:00,178045.34,173173.0
2013-01-06 20:00:00,145173.4,169886.0
2013-01-06 21:00:00,184072.38,156259.0
2013-01-06 22:00:00,143692.6,141951.0
2013-01-06 23:00:00,126452.984,126530.0
2013-01-07 00:00:00,130980.36,121181.0
2013-01-07 01:00:00,128441.51,116661.0
2013-01-07 02:00:00,129218.95,116549.0
2013-01-07 03:00:00,110508.44,122029.0
2013-01-07 04:00:00,116467.01,139327.0
2013-01-07 05:00:00,126437.125,169273.0
2013-01-07 06:00:00,131434.06,199146.0
2013-01-07 07:00:00,150442.75,198007.0
2013-01-07 08:00:00,190602.17,196805.0
2013-01-07 09:00:00,176659.38,193587.0
2013-01-07 10:00:00,205769.48,190305.0
2013-01-07 11:00:00,173999.02,186066.0
2013-01-07 12:00:00,173926.94,181342.0
2013-01-07 13:00:00,158987.36,181518.0
2013-01-07 14:00:00,168765.61,182883.0
2013-01-07 15:00:00,185514.89,184793.0
2013-01-07 16:00:00,184177.77,188451.0
2013-01-07 17:00:00,181155.34,187596.0
2013-01-07 18:00:00,174198.19,186743.0
2013-01-07 19:00:00,185647.14,185466.0
2013-01-07 20:00:00,153528.12,181817.0
2013-01-07 21:00:00,180247.55,170502.0
2013-01-07 22:00:00,143436.77,151730.0
2013-01-07 23:00:00,133851.9,134933.0
2013-01-08 00:00:00,134623.78,130288.0
2013-01-08 01:00:00,134421.95,127306.0
2013-01-08 02:00:00,130879.14,126370.0
2013-01-08 03:00:00,123941.54,129511.0
2013-01-08 04:00:00,131644.16,141155.0
2013-01-08 05:00:00,138518.69,176000.0
2013-01-08 06:00:00,132891.14,204263.0
2013-01-08 07:00:00,162799.02,207907.0
2013-01-08 08:00:00,185604.55,206238.0
2013-01-08 09:00:00,181082.73,200054.0
2013-01-08 10:00:00,198852.22,193761.0
2013-01-08 11:00:00,186638.58,188246.0
2013-01-08 12:00:00,186850.25,183836.0
2013-01-08 13:00:00,172305.97,183518.0
2013-01-08 14:00:00,173906.03,181908.0
2013-01-08 15:00:00,177922.56,185356.0
2013-01-08 16:00:00,174708.89,185601.0
2013-01-08 17:00:00,165423.81,184153.0
2013-01-08 18:00:00,189554.34,182379.0
2013-01-08 19:00:00,173587.73,180293.0
2013-01-08 20:00:00,164130.92,175983.0
2013-01-08 21:00:00,170043.05,167180.0
2013-01-08 22:00:00,137687.17,139958.0
2013-01-08 23:00:00,132162.42,131036.0
2013-01-09 00:00:00,136031.44,124331.0
2013-01-09 01:00:00,134342.12,122230.0
2013-01-09 02:00:00,129230.66,121172.0
2013-01-09 03:00:00,124378.25,125255.0
2013-01-09 04:00:00,129272.29,137208.0
2013-01-09 05:00:00,151383.44,168373.0
2013-01-09 06:00:00,143144.88,200074.0
2013-01-09 07:00:00,166766.92,199609.0
2013-01-09 08:00:00,184017.78,196734.0
2013-01-09 09:00:00,176865.3,190908.0
2013-01-09 10:00:00,184886.39,186831.0
2013-01-09 11:00:00,185822.55,181577.0
2013-01-09 12:00:00,182016.6,183178.0
2013-01-09 13:00:00,169887.0,177442.0
2013-01-09 14:00:00,164445.31,173108.0
2013-01-09 15:00:00,173657.17,177837.0
2013-01-09 16:00:00,175738.78,182397.0
2013-01-09 17:00:00,165651.72,183296.0
2013-01-09 18:00:00,185543.0,182388.0
2013-01-09 19:00:00,176284.95,181819.0
2013-01-09 20:00:00,163554.03,178341.0
2013-01-09 21:00:00,174684.98,167746.0
2013-01-09 22:00:00,138320.19,151338.0
2013-01-09 23:00:00,123824.85,137142.0
2013-01-10 00:00:00,131649.38,130991.0
2013-01-10 01:00:00,134379.61,131848.0
2013-01-10 02:00:00,129352.81,134061.0
2013-01-10 03:00:00,133019.81,137610.0
2013-01-10 04:00:00,134105.6,147325.0
2013-01-10 05:00:00,157705.34,177534.0
2013-01-10 06:00:00,157938.44,212945.0
2013-01-10 07:00:00,169643.8,211806.0
2013-01-10 08:00:00,178808.95,208176.0
2013-01-10 09:00:00,187979.28,202571.0
2013-01-10 10:00:00,181651.27,200563.0
2013-01-10 11:00:00,184963.5,198583.0
2013-01-10 12:00:00,185025.48,196742.0
2013-01-10 13:00:00,167499.05,197442.0
2013-01-10 14:00:00,162704.75,193898.0
2013-01-10 15:00:00,157069.25,194766.0
2013-01-10 16:00:00,167691.8,196529.0
2013-01-10 17:00:00,151361.17,196918.0
2013-01-10 18:00:00,188752.62,197247.0
2013-01-10 19:00:00,173437.6,198149.0
2013-01-10 20:00:00,178630.6,190953.0
2013-01-10 21:00:00,167208.56,178723.0
2013-01-10 22:00:00,138110.38,162022.0
2013-01-10 23:00:00,124159.98,148999.0
2013-01-11 00:00:00,126033.914,143913.0
2013-01-11 01:00:00,140874.4,146276.0
2013-01-11 02:00:00,127877.945,143594.0
2013-01-11 03:00:00,131482.03,148762.0
2013-01-11 04:00:00,137918.44,165796.0
2013-01-11 05:00:00,162573.72,199566.0
2013-01-11 06:00:00,164421.3,231836.0
2013-01-11 07:00:00,175176.44,238306.0
2013-01-11 08:00:00,175202.17,239775.0
2013-01-11 09:00:00,188746.19,233004.0
2013-01-11 10:00:00,177037.53,237128.0
2013-01-11 11:00:00,179309.2,223060.0
2013-01-11 12:00:00,180402.8,217377.0
2013-01-11 13:00:00,156091.89,227973.0
2013-01-11 14:00:00,167139.42,227193.0
2013-01-11 15:00:00,154095.47,227088.0
2013-01-11 16:00:00,164948.89,230974.0
2013-01-11 17:00:00,147733.39,232974.0
2013-01-11 18:00:00,179646.73,230417.0
2013-01-11 19:00:00,177523.67,230278.0
2013-01-11 20:00:00,181332.6,225051.0
2013-01-11 21:00:00,164154.44,214125.0
2013-01-11 22:00:00,143585.8,195811.0
2013-01-11 23:00:00,128665.85,180108.0
2013-01-12 00:00:00,122490.164,170978.0
2013-01-12 01:00:00,138569.61,168835.0
2013-01-12 02:00:00,128082.625,168731.0
2013-01-12 03:00:00,125538.71,171702.0
2013-01-12 04:00:00,135772.52,179308.0
2013-01-12 05:00:00,165627.55,196536.0
2013-01-12 06:00:00,163814.31,222599.0
2013-01-12 07:00:00,186098.61,231258.0
2013-01-12 08:00:00,185390.42,238786.0
2013-01-12 09:00:00,177726.48,238041.0
2013-01-12 10:00:00,172289.52,232865.0
2013-01-12 11:00:00,177996.08,220850.0
2013-01-12 12:00:00,184993.73,219966.0
2013-01-12 13:00:00,152245.69,212333.0
2013-01-12 14:00:00,171579.77,212093.0
2013-01-12 15:00:00,160579.86,217229.0
2013-01-12 16:00:00,162423.77,227284.0
2013-01-12 17:00:00,156191.77,231573.0
2013-01-12 18:00:00,172879.58,234354.0
2013-01-12 19:00:00,181569.16,235487.0
2013-01-12 20:00:00,172894.73,233424.0
2013-01-12 21:00:00,167825.19,224293.0
2013-01-12 22:00:00,143817.08,206407.0
2013-01-12 23:00:00,123106.445,186897.0
2013-01-13 00:00:00,130526.88,179740.0
2013-01-13 01:00:00,138250.6,178333.0
2013-01-13 02:00:00,127858.164,178229.0
2013-01-13 03:00:00,130433.15,179312.0
2013-01-13 04:00:00,140332.1,186237.0
2013-01-13 05:00:00,164825.58,202470.0
2013-01-13 06:00:00,165284.1,223095.0
2013-01-13 07:00:00,190096.03,230563.0
2013-01-13 08:00:00,182914.62,238379.0
2013-01-13 09:00:00,184209.72,242000.0
2013-01-13 10:00:00,178331.97,241085.0
2013-01-13 11:00:00,178915.12,242824.0
2013-01-13 12:00:00,193825.4,241456.0
2013-01-13 13:00:00,154297.86,235299.0
2013-01-13 14:00:00,175667.2,235738.0
2013-01-13 15:00:00,157829.66,238851.0
2013-01-13 16:00:00,157102.25,241781.0
2013-01-13 17:00:00,150801.28,242886.0
2013-01-13 18:00:00,181526.89,245544.0
2013-01-13 19:00:00,178357.66,247098.0
