,y_pred,y_true
2013-01-05 01:00:00,174628.2,108412.0
2013-01-05 02:00:00,164023.67,108164.0
2013-01-05 03:00:00,168033.31,108260.0
2013-01-05 04:00:00,163450.9,114440.0
2013-01-05 05:00:00,163629.48,128912.0
2013-01-05 06:00:00,172479.7,150786.0
2013-01-05 07:00:00,154945.48,156993.0
2013-01-05 08:00:00,170488.88,160766.0
2013-01-05 09:00:00,172696.86,162775.0
2013-01-05 10:00:00,165695.64,165281.0
2013-01-05 11:00:00,163708.47,167758.0
2013-01-05 12:00:00,169281.77,162530.0
2013-01-05 13:00:00,175768.1,160507.0
2013-01-05 14:00:00,173161.22,160266.0
2013-01-05 15:00:00,170508.53,162198.0
2013-01-05 16:00:00,160728.25,164585.0
2013-01-05 17:00:00,166493.72,166310.0
2013-01-05 18:00:00,169894.08,167244.51
2013-01-05 19:00:00,166823.69,167370.825
2013-01-05 20:00:00,180399.06,166634.235
2013-01-05 21:00:00,176680.97,167682.685
2013-01-05 22:00:00,166845.97,141520.0
2013-01-05 23:00:00,177021.06,127505.0
2013-01-06 00:00:00,174922.61,120064.0
2013-01-06 01:00:00,99299.11,117331.0
2013-01-06 02:00:00,101566.87,119522.0
2013-01-06 03:00:00,78575.68,116051.0
2013-01-06 04:00:00,94189.625,122739.0
2013-01-06 05:00:00,117872.22,139187.0
2013-01-06 06:00:00,116862.586,161942.0
2013-01-06 07:00:00,124011.445,164228.0
2013-01-06 08:00:00,189610.08,167644.0
2013-01-06 09:00:00,175451.64,171020.0
2013-01-06 10:00:00,172861.73,172444.0
2013-01-06 11:00:00,105321.11,171608.0
2013-01-06 12:00:00,192315.53,171232.0
2013-01-06 13:00:00,182361.02,168644.0
2013-01-06 14:00:00,202923.95,165936.0
2013-01-06 15:00:00,213037.58,166680.0
2013-01-06 16:00:00,161572.02,169896.0
2013-01-06 17:00:00,166924.8,170469.0
2013-01-06 18:00:00,186792.17,173859.0
2013-01-06 19:00:00,161906.45,173173.0
2013-01-06 20:00:00,178752.64,169886.0
2013-01-06 21:00:00,201288.2,156259.0
2013-01-06 22:00:00,178802.39,141951.0
2013-01-06 23:00:00,165938.89,126530.0
2013-01-07 00:00:00,107395.875,121181.0
2013-01-07 01:00:00,100707.234,116661.0
2013-01-07 02:00:00,98139.234,116549.0
2013-01-07 03:00:00,101508.95,122029.0
2013-01-07 04:00:00,92816.56,139327.0
2013-01-07 05:00:00,132528.75,169273.0
2013-01-07 06:00:00,105013.02,199146.0
2013-01-07 07:00:00,141193.31,198007.0
2013-01-07 08:00:00,175675.69,196805.0
2013-01-07 09:00:00,137119.47,193587.0
2013-01-07 10:00:00,167977.69,190305.0
2013-01-07 11:00:00,122092.06,186066.0
2013-01-07 12:00:00,163267.92,181342.0
2013-01-07 13:00:00,173216.38,181518.0
2013-01-07 14:00:00,179686.56,182883.0
2013-01-07 15:00:00,169584.89,184793.0
2013-01-07 16:00:00,165702.9,188451.0
2013-01-07 17:00:00,178076.62,187596.0
2013-01-07 18:00:00,208731.56,186743.0
2013-01-07 19:00:00,154262.34,185466.0
2013-01-07 20:00:00,147219.22,181817.0
2013-01-07 21:00:00,173836.72,170502.0
2013-01-07 22:00:00,184568.72,151730.0
2013-01-07 23:00:00,153844.06,134933.0
2013-01-08 00:00:00,91459.02,130288.0
2013-01-08 01:00:00,120116.4,127306.0
2013-01-08 02:00:00,118457.01,126370.0
2013-01-08 03:00:00,120955.12,129511.0
2013-01-08 04:00:00,103803.3,141155.0
2013-01-08 05:00:00,150419.94,176000.0
2013-01-08 06:00:00,132255.22,204263.0
2013-01-08 07:00:00,173181.97,207907.0
2013-01-08 08:00:00,172480.73,206238.0
2013-01-08 09:00:00,145736.56,200054.0
2013-01-08 10:00:00,177071.67,193761.0
2013-01-08 11:00:00,146839.27,188246.0
2013-01-08 12:00:00,158041.08,183836.0
2013-01-08 13:00:00,174150.44,183518.0
2013-01-08 14:00:00,177970.6,181908.0
2013-01-08 15:00:00,156088.94,185356.0
2013-01-08 16:00:00,166101.45,185601.0
2013-01-08 17:00:00,174090.03,184153.0
2013-01-08 18:00:00,198658.98,182379.0
2013-01-08 19:00:00,181874.5,180293.0
2013-01-08 20:00:00,150073.52,175983.0
2013-01-08 21:00:00,179365.28,167180.0
2013-01-08 22:00:00,170441.48,139958.0
2013-01-08 23:00:00,148084.4,131036.0
2013-01-09 00:00:00,116775.93,124331.0
2013-01-09 01:00:00,137079.45,122230.0
2013-01-09 02:00:00,130510.52,121172.0
2013-01-09 03:00:00,135985.83,125255.0
2013-01-09 04:00:00,115462.84,137208.0
2013-01-09 05:00:00,158007.58,168373.0
2013-01-09 06:00:00,156316.12,200074.0
2013-01-09 07:00:00,183862.81,199609.0
2013-01-09 08:00:00,179188.64,196734.0
2013-01-09 09:00:00,169630.44,190908.0
2013-01-09 10:00:00,178504.06,186831.0
2013-01-09 11:00:00,163260.84,181577.0
2013-01-09 12:00:00,165214.77,183178.0
2013-01-09 13:00:00,180619.27,177442.0
2013-01-09 14:00:00,185560.02,173108.0
2013-01-09 15:00:00,157079.88,177837.0
2013-01-09 16:00:00,171875.11,182397.0
2013-01-09 17:00:00,175703.27,183296.0
2013-01-09 18:00:00,182430.77,182388.0
2013-01-09 19:00:00,197876.78,181819.0
2013-01-09 20:00:00,160867.31,178341.0
2013-01-09 21:00:00,178593.62,167746.0
2013-01-09 22:00:00,156090.69,151338.0
2013-01-09 23:00:00,143221.55,137142.0
2013-01-10 00:00:00,134691.23,130991.0
2013-01-10 01:00:00,140146.34,131848.0
2013-01-10 02:00:00,134668.98,134061.0
2013-01-10 03:00:00,137722.78,137610.0
2013-01-10 04:00:00,115903.11,147325.0
2013-01-10 05:00:00,158049.12,177534.0
2013-01-10 06:00:00,166191.12,212945.0
2013-01-10 07:00:00,186013.98,211806.0
2013-01-10 08:00:00,190045.77,208176.0
2013-01-10 09:00:00,182199.42,202571.0
2013-01-10 10:00:00,181013.12,200563.0
2013-01-10 11:00:00,167005.19,198583.0
2013-01-10 12:00:00,170552.67,196742.0
2013-01-10 13:00:00,182281.08,197442.0
2013-01-10 14:00:00,190796.98,193898.0
2013-01-10 15:00:00,165232.48,194766.0
2013-01-10 16:00:00,176733.58,196529.0
2013-01-10 17:00:00,177839.67,196918.0
2013-01-10 18:00:00,171590.05,197247.0
2013-01-10 19:00:00,201891.8,198149.0
2013-01-10 20:00:00,172253.88,190953.0
2013-01-10 21:00:00,179175.36,178723.0
2013-01-10 22:00:00,153039.95,162022.0
2013-01-10 23:00:00,142609.2,148999.0
2013-01-11 00:00:00,144220.08,143913.0
2013-01-11 01:00:00,139358.88,146276.0
2013-01-11 02:00:00,136542.8,143594.0
2013-01-11 03:00:00,139070.22,148762.0
2013-01-11 04:00:00,116545.63,165796.0
2013-01-11 05:00:00,153344.78,199566.0
2013-01-11 06:00:00,175243.75,231836.0
2013-01-11 07:00:00,187143.77,238306.0
2013-01-11 08:00:00,202428.12,239775.0
2013-01-11 09:00:00,190247.81,233004.0
2013-01-11 10:00:00,187301.97,237128.0
2013-01-11 11:00:00,169008.73,223060.0
2013-01-11 12:00:00,177491.66,217377.0
2013-01-11 13:00:00,185682.55,227973.0
2013-01-11 14:00:00,197471.45,227193.0
2013-01-11 15:00:00,170181.94,227088.0
2013-01-11 16:00:00,184874.75,230974.0
2013-01-11 17:00:00,180183.22,232974.0
2013-01-11 18:00:00,162773.06,230417.0
2013-01-11 19:00:00,207762.08,230278.0
2013-01-11 20:00:00,180406.64,225051.0
2013-01-11 21:00:00,181078.17,214125.0
2013-01-11 22:00:00,152792.94,195811.0
2013-01-11 23:00:00,144629.5,180108.0
2013-01-12 00:00:00,153941.02,170978.0
2013-01-12 01:00:00,145747.7,168835.0
2013-01-12 02:00:00,146060.4,168731.0
2013-01-12 03:00:00,136158.88,171702.0
2013-01-12 04:00:00,114068.37,179308.0
2013-01-12 05:00:00,145643.86,196536.0
2013-01-12 06:00:00,175921.47,222599.0
2013-01-12 07:00:00,181287.55,231258.0
2013-01-12 08:00:00,206716.2,238786.0
2013-01-12 09:00:00,201512.05,238041.0
2013-01-12 10:00:00,195611.45,232865.0
2013-01-12 11:00:00,170554.38,220850.0
2013-01-12 12:00:00,184449.2,219966.0
2013-01-12 13:00:00,188558.61,212333.0
2013-01-12 14:00:00,208029.75,212093.0
2013-01-12 15:00:00,174655.56,217229.0
2013-01-12 16:00:00,194361.42,227284.0
2013-01-12 17:00:00,189610.25,231573.0
2013-01-12 18:00:00,158643.92,234354.0
2013-01-12 19:00:00,220136.33,235487.0
2013-01-12 20:00:00,183957.56,233424.0
2013-01-12 21:00:00,189050.5,224293.0
2013-01-12 22:00:00,155473.75,206407.0
2013-01-12 23:00:00,148778.52,186897.0
2013-01-13 00:00:00,160447.81,179740.0
2013-01-13 01:00:00,149398.28,178333.0
2013-01-13 02:00:00,155128.28,178229.0
2013-01-13 03:00:00,133476.62,179312.0
2013-01-13 04:00:00,117160.78,186237.0
2013-01-13 05:00:00,143254.52,202470.0
2013-01-13 06:00:00,170113.08,223095.0
2013-01-13 07:00:00,181239.98,230563.0
2013-01-13 08:00:00,208978.05,238379.0
2013-01-13 09:00:00,213976.06,242000.0
2013-01-13 10:00:00,197425.64,241085.0
2013-01-13 11:00:00,170048.84,242824.0
2013-01-13 12:00:00,186930.55,241456.0
2013-01-13 13:00:00,188103.75,235299.0
2013-01-13 14:00:00,212127.28,235738.0
2013-01-13 15:00:00,178985.1,238851.0
2013-01-13 16:00:00,195535.55,241781.0
2013-01-13 17:00:00,194545.33,242886.0
2013-01-13 18:00:00,158444.56,245544.0
2013-01-13 19:00:00,222506.1,247098.0
2013-01-13 20:00:00,186600.62,243924.0
2013-01-13 21:00:00,201351.2,233022.0
2013-01-13 22:00:00,162339.25,214456.0
2013-01-13 23:00:00,151319.83,196132.0
2013-01-14 00:00:00,159901.84,187612.0
2013-01-14 01:00:00,149293.78,185336.0
2013-01-14 02:00:00,160435.03,187528.0
