,y_pred,y_true
2013-01-05 01:00:00,164942.28,108412.0
2013-01-05 02:00:00,157845.19,108164.0
2013-01-05 03:00:00,158646.6,108260.0
2013-01-05 04:00:00,176351.58,114440.0
2013-01-05 05:00:00,165710.94,128912.0
2013-01-05 06:00:00,168758.33,150786.0
2013-01-05 07:00:00,166147.17,156993.0
2013-01-05 08:00:00,179323.72,160766.0
2013-01-05 09:00:00,168615.53,162775.0
2013-01-05 10:00:00,186226.97,165281.0
2013-01-05 11:00:00,168071.1,167758.0
2013-01-05 12:00:00,156616.11,162530.0
2013-01-05 13:00:00,166885.44,160507.0
2013-01-05 14:00:00,175995.19,160266.0
2013-01-05 15:00:00,171730.48,162198.0
2013-01-05 16:00:00,157769.0,164585.0
2013-01-05 17:00:00,168465.61,166310.0
2013-01-05 18:00:00,165551.31,167244.51
2013-01-05 19:00:00,175697.36,167370.825
2013-01-05 20:00:00,157310.34,166634.235
2013-01-05 21:00:00,167054.77,167682.685
2013-01-05 22:00:00,174310.44,141520.0
2013-01-05 23:00:00,178034.67,127505.0
2013-01-06 00:00:00,161120.55,120064.0
2013-01-06 01:00:00,155304.95,117331.0
2013-01-06 02:00:00,128356.05,119522.0
2013-01-06 03:00:00,119428.72,116051.0
2013-01-06 04:00:00,153506.92,122739.0
2013-01-06 05:00:00,125805.37,139187.0
2013-01-06 06:00:00,146476.55,161942.0
2013-01-06 07:00:00,152876.14,164228.0
2013-01-06 08:00:00,175887.11,167644.0
2013-01-06 09:00:00,169294.75,171020.0
2013-01-06 10:00:00,178241.48,172444.0
2013-01-06 11:00:00,166077.95,171608.0
2013-01-06 12:00:00,137931.27,171232.0
2013-01-06 13:00:00,123208.18,168644.0
2013-01-06 14:00:00,182297.25,165936.0
2013-01-06 15:00:00,151324.7,166680.0
2013-01-06 16:00:00,164601.55,169896.0
2013-01-06 17:00:00,160008.11,170469.0
2013-01-06 18:00:00,163593.19,173859.0
2013-01-06 19:00:00,182091.19,173173.0
