,y_pred,y_true
2013-01-05 01:00:00,193137.33,108412.0
2013-01-05 02:00:00,174977.08,108164.0
2013-01-05 03:00:00,175236.2,108260.0
2013-01-05 04:00:00,163786.58,114440.0
2013-01-05 05:00:00,149148.83,128912.0
2013-01-05 06:00:00,157823.38,150786.0
2013-01-05 07:00:00,170182.3,156993.0
2013-01-05 08:00:00,175527.2,160766.0
2013-01-05 09:00:00,169106.14,162775.0
2013-01-05 10:00:00,162654.42,165281.0
2013-01-05 11:00:00,170275.62,167758.0
2013-01-05 12:00:00,159935.89,162530.0
2013-01-05 13:00:00,158455.39,160507.0
2013-01-05 14:00:00,167767.62,160266.0
2013-01-05 15:00:00,164217.39,162198.0
2013-01-05 16:00:00,169239.3,164585.0
2013-01-05 17:00:00,161844.02,166310.0
2013-01-05 18:00:00,164873.06,167244.51
2013-01-05 19:00:00,168230.28,167370.825
2013-01-05 20:00:00,166062.44,166634.235
2013-01-05 21:00:00,168812.36,167682.685
2013-01-05 22:00:00,168472.72,141520.0
2013-01-05 23:00:00,184062.45,127505.0
2013-01-06 00:00:00,174563.94,120064.0
2013-01-06 01:00:00,161376.4,117331.0
2013-01-06 02:00:00,167545.17,119522.0
2013-01-06 03:00:00,167825.34,116051.0
2013-01-06 04:00:00,153148.62,122739.0
2013-01-06 05:00:00,146884.31,139187.0
2013-01-06 06:00:00,155096.53,161942.0
2013-01-06 07:00:00,150686.6,164228.0
2013-01-06 08:00:00,182419.6,167644.0
2013-01-06 09:00:00,166037.33,171020.0
2013-01-06 10:00:00,159584.22,172444.0
2013-01-06 11:00:00,168608.86,171608.0
2013-01-06 12:00:00,154674.56,171232.0
2013-01-06 13:00:00,178232.86,168644.0
2013-01-06 14:00:00,178637.17,165936.0
2013-01-06 15:00:00,155556.42,166680.0
2013-01-06 16:00:00,173401.4,169896.0
2013-01-06 17:00:00,162721.72,170469.0
2013-01-06 18:00:00,142382.89,173859.0
2013-01-06 19:00:00,155484.42,173173.0
2013-01-06 20:00:00,176146.34,169886.0
2013-01-06 21:00:00,173031.69,156259.0
2013-01-06 22:00:00,158418.53,141951.0
2013-01-06 23:00:00,160169.25,126530.0
2013-01-07 00:00:00,170834.25,121181.0
2013-01-07 01:00:00,152214.95,116661.0
2013-01-07 02:00:00,170494.45,116549.0
2013-01-07 03:00:00,153503.33,122029.0
2013-01-07 04:00:00,150503.6,139327.0
2013-01-07 05:00:00,146761.42,169273.0
2013-01-07 06:00:00,156585.62,199146.0
2013-01-07 07:00:00,140970.5,198007.0
2013-01-07 08:00:00,181536.23,196805.0
2013-01-07 09:00:00,157733.44,193587.0
2013-01-07 10:00:00,159969.56,190305.0
2013-01-07 11:00:00,173407.53,186066.0
2013-01-07 12:00:00,157562.39,181342.0
2013-01-07 13:00:00,178672.45,181518.0
2013-01-07 14:00:00,182592.75,182883.0
2013-01-07 15:00:00,160066.6,184793.0
2013-01-07 16:00:00,170553.5,188451.0
2013-01-07 17:00:00,169311.5,187596.0
2013-01-07 18:00:00,132918.73,186743.0
2013-01-07 19:00:00,141749.88,185466.0
2013-01-07 20:00:00,174238.73,181817.0
2013-01-07 21:00:00,166289.62,170502.0
2013-01-07 22:00:00,161080.19,151730.0
2013-01-07 23:00:00,165413.06,134933.0
2013-01-08 00:00:00,155201.19,130288.0
2013-01-08 01:00:00,150820.6,127306.0
2013-01-08 02:00:00,167943.69,126370.0
2013-01-08 03:00:00,150139.81,129511.0
2013-01-08 04:00:00,155294.6,141155.0
2013-01-08 05:00:00,153335.72,176000.0
2013-01-08 06:00:00,164406.05,204263.0
2013-01-08 07:00:00,146765.8,207907.0
2013-01-08 08:00:00,181515.94,206238.0
2013-01-08 09:00:00,157938.05,200054.0
2013-01-08 10:00:00,165476.89,193761.0
2013-01-08 11:00:00,177496.42,188246.0
2013-01-08 12:00:00,167369.19,183836.0
2013-01-08 13:00:00,172978.67,183518.0
2013-01-08 14:00:00,184177.86,181908.0
2013-01-08 15:00:00,161112.28,185356.0
2013-01-08 16:00:00,167589.58,185601.0
2013-01-08 17:00:00,169972.83,184153.0
2013-01-08 18:00:00,140224.06,182379.0
2013-01-08 19:00:00,150158.97,180293.0
2013-01-08 20:00:00,170818.27,175983.0
2013-01-08 21:00:00,161814.3,167180.0
2013-01-08 22:00:00,163615.27,139958.0
2013-01-08 23:00:00,169822.28,131036.0
2013-01-09 00:00:00,154509.3,124331.0
2013-01-09 01:00:00,150148.92,122230.0
2013-01-09 02:00:00,162666.8,121172.0
2013-01-09 03:00:00,153100.44,125255.0
2013-01-09 04:00:00,158347.61,137208.0
2013-01-09 05:00:00,157186.25,168373.0
2013-01-09 06:00:00,177225.39,200074.0
2013-01-09 07:00:00,155272.17,199609.0
2013-01-09 08:00:00,184690.77,196734.0
2013-01-09 09:00:00,165670.64,190908.0
2013-01-09 10:00:00,169427.16,186831.0
2013-01-09 11:00:00,180534.62,181577.0
2013-01-09 12:00:00,170591.75,183178.0
2013-01-09 13:00:00,162877.52,177442.0
2013-01-09 14:00:00,183842.92,173108.0
2013-01-09 15:00:00,161425.39,177837.0
2013-01-09 16:00:00,170482.61,182397.0
2013-01-09 17:00:00,168152.66,183296.0
2013-01-09 18:00:00,149622.34,182388.0
2013-01-09 19:00:00,157558.73,181819.0
2013-01-09 20:00:00,167832.88,178341.0
2013-01-09 21:00:00,160441.08,167746.0
2013-01-09 22:00:00,168578.45,151338.0
2013-01-09 23:00:00,168570.78,137142.0
2013-01-10 00:00:00,155834.06,130991.0
2013-01-10 01:00:00,144269.06,131848.0
2013-01-10 02:00:00,159575.05,134061.0
2013-01-10 03:00:00,151208.72,137610.0
2013-01-10 04:00:00,158031.53,147325.0
2013-01-10 05:00:00,164454.27,177534.0
2013-01-10 06:00:00,183273.25,212945.0
2013-01-10 07:00:00,158597.64,211806.0
2013-01-10 08:00:00,192814.95,208176.0
2013-01-10 09:00:00,174300.66,202571.0
2013-01-10 10:00:00,173332.5,200563.0
2013-01-10 11:00:00,180624.27,198583.0
2013-01-10 12:00:00,178246.55,196742.0
2013-01-10 13:00:00,156218.52,197442.0
2013-01-10 14:00:00,188924.55,193898.0
2013-01-10 15:00:00,162776.28,194766.0
2013-01-10 16:00:00,169432.28,196529.0
2013-01-10 17:00:00,166384.23,196918.0
2013-01-10 18:00:00,155022.53,197247.0
2013-01-10 19:00:00,163977.39,198149.0
2013-01-10 20:00:00,158807.77,190953.0
2013-01-10 21:00:00,158630.48,178723.0
2013-01-10 22:00:00,168280.34,162022.0
2013-01-10 23:00:00,167254.47,148999.0
2013-01-11 00:00:00,155662.06,143913.0
2013-01-11 01:00:00,143149.14,146276.0
2013-01-11 02:00:00,152981.25,143594.0
2013-01-11 03:00:00,152496.08,148762.0
2013-01-11 04:00:00,158391.3,165796.0
2013-01-11 05:00:00,166558.47,199566.0
2013-01-11 06:00:00,192575.84,231836.0
2013-01-11 07:00:00,162126.23,238306.0
2013-01-11 08:00:00,199546.14,239775.0
2013-01-11 09:00:00,179773.72,233004.0
2013-01-11 10:00:00,177751.4,237128.0
2013-01-11 11:00:00,186080.45,223060.0
2013-01-11 12:00:00,182601.4,217377.0
2013-01-11 13:00:00,149082.98,227973.0
2013-01-11 14:00:00,191874.39,227193.0
2013-01-11 15:00:00,164371.92,227088.0
2013-01-11 16:00:00,171864.83,230974.0
2013-01-11 17:00:00,160060.4,232974.0
2013-01-11 18:00:00,160736.72,230417.0
2013-01-11 19:00:00,171002.34,230278.0
2013-01-11 20:00:00,155387.05,225051.0
2013-01-11 21:00:00,159569.19,214125.0
2013-01-11 22:00:00,167728.67,195811.0
2013-01-11 23:00:00,164779.56,180108.0
2013-01-12 00:00:00,157560.69,170978.0
2013-01-12 01:00:00,145214.94,168835.0
2013-01-12 02:00:00,146103.62,168731.0
2013-01-12 03:00:00,154255.23,171702.0
2013-01-12 04:00:00,158579.84,179308.0
2013-01-12 05:00:00,168258.7,196536.0
2013-01-12 06:00:00,200613.6,222599.0
2013-01-12 07:00:00,164668.75,231258.0
2013-01-12 08:00:00,207030.7,238786.0
2013-01-12 09:00:00,185654.02,238041.0
2013-01-12 10:00:00,183368.5,232865.0
2013-01-12 11:00:00,192557.84,220850.0
2013-01-12 12:00:00,188638.3,219966.0
2013-01-12 13:00:00,142769.97,212333.0
2013-01-12 14:00:00,195261.08,212093.0
2013-01-12 15:00:00,167321.17,217229.0
2013-01-12 16:00:00,173356.39,227284.0
2013-01-12 17:00:00,152072.2,231573.0
2013-01-12 18:00:00,168279.67,234354.0
2013-01-12 19:00:00,179099.58,235487.0
2013-01-12 20:00:00,151236.86,233424.0
2013-01-12 21:00:00,162010.72,224293.0
2013-01-12 22:00:00,165090.89,206407.0
2013-01-12 23:00:00,162308.17,186897.0
2013-01-13 00:00:00,161004.61,179740.0
2013-01-13 01:00:00,149447.25,178333.0
2013-01-13 02:00:00,139476.64,178229.0
2013-01-13 03:00:00,159092.84,179312.0
2013-01-13 04:00:00,160282.4,186237.0
2013-01-13 05:00:00,170342.69,202470.0
2013-01-13 06:00:00,209064.95,223095.0
2013-01-13 07:00:00,169203.98,230563.0
2013-01-13 08:00:00,211482.48,238379.0
2013-01-13 09:00:00,190994.5,242000.0
2013-01-13 10:00:00,188421.25,241085.0
2013-01-13 11:00:00,198029.6,242824.0
2013-01-13 12:00:00,192450.47,241456.0
2013-01-13 13:00:00,136602.4,235299.0
2013-01-13 14:00:00,195897.7,235738.0
2013-01-13 15:00:00,171428.44,238851.0
2013-01-13 16:00:00,176117.55,241781.0
2013-01-13 17:00:00,144228.8,242886.0
2013-01-13 18:00:00,177840.38,245544.0
2013-01-13 19:00:00,187916.27,247098.0
2013-01-13 20:00:00,148715.44,243924.0
2013-01-13 21:00:00,165480.17,233022.0
2013-01-13 22:00:00,163665.34,214456.0
2013-01-13 23:00:00,160319.4,196132.0
2013-01-14 00:00:00,165555.97,187612.0
2013-01-14 01:00:00,155329.78,185336.0
2013-01-14 02:00:00,133453.4,187528.0
2013-01-14 03:00:00,164669.9,191744.0
2013-01-14 04:00:00,162184.66,204208.0
2013-01-14 05:00:00,172640.61,230784.0
2013-01-14 06:00:00,216898.14,263556.0
2013-01-14 07:00:00,173204.34,271342.0
2013-01-14 08:00:00,215483.88,271088.0
2013-01-14 09:00:00,196836.25,268574.0
2013-01-14 10:00:00,193469.05,268458.0
2013-01-14 11:00:00,203446.5,265598.0
2013-01-14 12:00:00,196541.12,263856.0
2013-01-14 13:00:00,130851.28,255160.0
2013-01-14 14:00:00,196036.73,249458.0
2013-01-14 15:00:00,177081.25,246208.0
2013-01-14 16:00:00,178863.89,259906.0
2013-01-14 17:00:00,136641.97,261942.0
2013-01-14 18:00:00,188508.98,259554.0
2013-01-14 19:00:00,196443.61,258148.0
2013-01-14 20:00:00,145553.72,257864.0
2013-01-14 21:00:00,169796.69,243220.0
2013-01-14 22:00:00,161983.8,220694.0
2013-01-14 23:00:00,158788.1,201226.0
2013-01-15 00:00:00,169752.23,192358.0
2013-01-15 01:00:00,157864.94,192434.0
2013-01-15 02:00:00,128190.58,199154.0
2013-01-15 03:00:00,170616.77,201606.0
2013-01-15 04:00:00,164372.16,216608.0
2013-01-15 05:00:00,172045.36,250960.0
2013-01-15 06:00:00,227222.36,286832.0
2013-01-15 07:00:00,178431.52,299080.0
2013-01-15 08:00:00,216851.88,296991.0
2013-01-15 09:00:00,199566.48,278322.0
2013-01-15 10:00:00,195232.25,263964.0
2013-01-15 11:00:00,210175.69,262226.0
2013-01-15 12:00:00,196631.42,254659.0
2013-01-15 13:00:00,125994.1,257639.0
2013-01-15 14:00:00,193468.23,260635.0
2013-01-15 15:00:00,179045.4,263629.0
2013-01-15 16:00:00,186062.8,265457.0
2013-01-15 17:00:00,131595.23,262790.0
2013-01-15 18:00:00,195338.6,259658.0
2013-01-15 19:00:00,201944.58,258223.0
2013-01-15 20:00:00,148285.3,253857.0
2013-01-15 21:00:00,173997.17,241025.0
2013-01-15 22:00:00,163882.06,216146.0
2013-01-15 23:00:00,157430.86,198838.0
2013-01-16 00:00:00,172008.4,193300.0
2013-01-16 01:00:00,154809.52,187552.0
2013-01-16 02:00:00,122030.81,189052.0
2013-01-16 03:00:00,176764.53,189852.0
2013-01-16 04:00:00,164801.73,206218.0
2013-01-16 05:00:00,174421.7,236002.0
2013-01-16 06:00:00,236183.2,271764.0
2013-01-16 07:00:00,184205.95,276984.0
2013-01-16 08:00:00,221614.58,275426.0
2013-01-16 09:00:00,205489.08,269102.0
2013-01-16 10:00:00,194845.33,262476.0
2013-01-16 11:00:00,210529.42,261178.0
2013-01-16 12:00:00,198427.89,259642.0
2013-01-16 13:00:00,121367.96,256752.0
2013-01-16 14:00:00,193768.4,256012.0
2013-01-16 15:00:00,184847.52,255548.0
2013-01-16 16:00:00,188447.39,256310.0
2013-01-16 17:00:00,129070.32,256024.0
2013-01-16 18:00:00,201321.78,256242.0
2013-01-16 19:00:00,206962.14,255266.0
2013-01-16 20:00:00,148851.94,249494.0
2013-01-16 21:00:00,174901.27,236890.0
2013-01-16 22:00:00,162989.48,211050.0
2013-01-16 23:00:00,159092.58,191424.0
2013-01-17 00:00:00,170196.56,188600.0
2013-01-17 01:00:00,152721.83,186680.0
