,y_pred,y_true
2013-01-05 01:00:00,162965.06,108412.0
2013-01-05 02:00:00,163831.86,108164.0
2013-01-05 03:00:00,166890.6,108260.0
2013-01-05 04:00:00,170611.92,114440.0
2013-01-05 05:00:00,167127.52,128912.0
2013-01-05 06:00:00,177761.06,150786.0
2013-01-05 07:00:00,166627.98,156993.0
2013-01-05 08:00:00,161254.86,160766.0
2013-01-05 09:00:00,170757.64,162775.0
2013-01-05 10:00:00,165591.17,165281.0
2013-01-05 11:00:00,168411.27,167758.0
2013-01-05 12:00:00,161962.94,162530.0
2013-01-05 13:00:00,165191.27,160507.0
2013-01-05 14:00:00,165908.33,160266.0
2013-01-05 15:00:00,174354.64,162198.0
2013-01-05 16:00:00,171181.94,164585.0
2013-01-05 17:00:00,163303.7,166310.0
2013-01-05 18:00:00,162520.67,167244.51
2013-01-05 19:00:00,165483.95,167370.825
2013-01-05 20:00:00,169681.3,166634.235
2013-01-05 21:00:00,179640.19,167682.685
2013-01-05 22:00:00,166360.44,141520.0
2013-01-05 23:00:00,165574.5,127505.0
2013-01-06 00:00:00,165831.64,120064.0
2013-01-06 01:00:00,98665.58,117331.0
2013-01-06 02:00:00,154372.1,119522.0
2013-01-06 03:00:00,121404.95,116051.0
2013-01-06 04:00:00,125565.65,122739.0
2013-01-06 05:00:00,116265.79,139187.0
2013-01-06 06:00:00,139816.11,161942.0
2013-01-06 07:00:00,146848.73,164228.0
2013-01-06 08:00:00,115483.97,167644.0
2013-01-06 09:00:00,146414.72,171020.0
2013-01-06 10:00:00,136254.14,172444.0
2013-01-06 11:00:00,172436.47,171608.0
2013-01-06 12:00:00,167250.39,171232.0
2013-01-06 13:00:00,193894.7,168644.0
2013-01-06 14:00:00,149368.28,165936.0
2013-01-06 15:00:00,183182.06,166680.0
2013-01-06 16:00:00,148086.17,169896.0
2013-01-06 17:00:00,142225.62,170469.0
2013-01-06 18:00:00,151131.94,173859.0
2013-01-06 19:00:00,155361.38,173173.0
2013-01-06 20:00:00,132557.25,169886.0
2013-01-06 21:00:00,195779.89,156259.0
2013-01-06 22:00:00,163229.4,141951.0
2013-01-06 23:00:00,139809.52,126530.0
2013-01-07 00:00:00,153851.53,121181.0
2013-01-07 01:00:00,94559.17,116661.0
2013-01-07 02:00:00,145951.94,116549.0
2013-01-07 03:00:00,116871.27,122029.0
2013-01-07 04:00:00,117956.945,139327.0
2013-01-07 05:00:00,107020.664,169273.0
2013-01-07 06:00:00,137345.4,199146.0
2013-01-07 07:00:00,155976.25,198007.0
2013-01-07 08:00:00,157284.67,196805.0
2013-01-07 09:00:00,170724.78,193587.0
2013-01-07 10:00:00,149508.3,190305.0
2013-01-07 11:00:00,171280.62,186066.0
2013-01-07 12:00:00,155757.4,181342.0
2013-01-07 13:00:00,180390.6,181518.0
2013-01-07 14:00:00,180958.08,182883.0
2013-01-07 15:00:00,190842.45,184793.0
2013-01-07 16:00:00,153048.05,188451.0
2013-01-07 17:00:00,142781.73,187596.0
2013-01-07 18:00:00,152796.31,186743.0
2013-01-07 19:00:00,160443.9,185466.0
2013-01-07 20:00:00,155460.08,181817.0
2013-01-07 21:00:00,177138.0,170502.0
2013-01-07 22:00:00,162410.27,151730.0
2013-01-07 23:00:00,142375.22,134933.0
2013-01-08 00:00:00,132449.1,130288.0
2013-01-08 01:00:00,110451.914,127306.0
2013-01-08 02:00:00,150672.6,126370.0
2013-01-08 03:00:00,111199.68,129511.0
2013-01-08 04:00:00,125057.055,141155.0
2013-01-08 05:00:00,112049.54,176000.0
2013-01-08 06:00:00,163824.5,204263.0
2013-01-08 07:00:00,170395.56,207907.0
2013-01-08 08:00:00,192741.48,206238.0
2013-01-08 09:00:00,197949.06,200054.0
2013-01-08 10:00:00,160795.83,193761.0
2013-01-08 11:00:00,180014.84,188246.0
2013-01-08 12:00:00,160806.3,183836.0
2013-01-08 13:00:00,162703.5,183518.0
2013-01-08 14:00:00,208106.75,181908.0
2013-01-08 15:00:00,182564.16,185356.0
2013-01-08 16:00:00,158409.31,185601.0
2013-01-08 17:00:00,159152.58,184153.0
2013-01-08 18:00:00,156561.77,182379.0
2013-01-08 19:00:00,163629.67,180293.0
2013-01-08 20:00:00,182818.94,175983.0
2013-01-08 21:00:00,164321.25,167180.0
2013-01-08 22:00:00,170625.8,139958.0
2013-01-08 23:00:00,153867.89,131036.0
2013-01-09 00:00:00,132777.45,124331.0
2013-01-09 01:00:00,122954.58,122230.0
2013-01-09 02:00:00,152821.2,121172.0
2013-01-09 03:00:00,113976.23,125255.0
2013-01-09 04:00:00,132937.05,137208.0
2013-01-09 05:00:00,121336.484,168373.0
2013-01-09 06:00:00,176656.25,200074.0
2013-01-09 07:00:00,176615.48,199609.0
2013-01-09 08:00:00,197431.2,196734.0
2013-01-09 09:00:00,203752.19,190908.0
2013-01-09 10:00:00,167082.55,186831.0
2013-01-09 11:00:00,180644.88,181577.0
2013-01-09 12:00:00,163377.67,183178.0
2013-01-09 13:00:00,160876.58,177442.0
2013-01-09 14:00:00,207618.69,173108.0
2013-01-09 15:00:00,176087.22,177837.0
2013-01-09 16:00:00,161834.31,182397.0
2013-01-09 17:00:00,166581.62,183296.0
2013-01-09 18:00:00,162164.69,182388.0
2013-01-09 19:00:00,164824.72,181819.0
2013-01-09 20:00:00,186777.08,178341.0
2013-01-09 21:00:00,160824.44,167746.0
2013-01-09 22:00:00,176829.39,151338.0
2013-01-09 23:00:00,156928.56,137142.0
2013-01-10 00:00:00,140653.6,130991.0
2013-01-10 01:00:00,126839.52,131848.0
2013-01-10 02:00:00,151385.02,134061.0
2013-01-10 03:00:00,117938.53,137610.0
2013-01-10 04:00:00,133998.05,147325.0
2013-01-10 05:00:00,132249.23,177534.0
2013-01-10 06:00:00,177346.6,212945.0
2013-01-10 07:00:00,180342.16,211806.0
2013-01-10 08:00:00,197180.72,208176.0
2013-01-10 09:00:00,200617.05,202571.0
2013-01-10 10:00:00,168316.72,200563.0
2013-01-10 11:00:00,182046.38,198583.0
2013-01-10 12:00:00,163767.7,196742.0
2013-01-10 13:00:00,165339.39,197442.0
2013-01-10 14:00:00,200964.06,193898.0
2013-01-10 15:00:00,171490.0,194766.0
2013-01-10 16:00:00,161113.58,196529.0
