,y_pred,y_true
2013-01-05 01:00:00,168217.94,108412.0
2013-01-05 02:00:00,174680.6,108164.0
2013-01-05 03:00:00,172433.67,108260.0
2013-01-05 04:00:00,167827.7,114440.0
2013-01-05 05:00:00,170820.69,128912.0
2013-01-05 06:00:00,164564.16,150786.0
2013-01-05 07:00:00,170185.06,156993.0
2013-01-05 08:00:00,168420.92,160766.0
2013-01-05 09:00:00,163816.19,162775.0
2013-01-05 10:00:00,160917.64,165281.0
2013-01-05 11:00:00,171386.73,167758.0
2013-01-05 12:00:00,176355.69,162530.0
2013-01-05 13:00:00,160929.55,160507.0
2013-01-05 14:00:00,168932.36,160266.0
2013-01-05 15:00:00,166073.97,162198.0
2013-01-05 16:00:00,172555.34,164585.0
2013-01-05 17:00:00,162091.97,166310.0
2013-01-05 18:00:00,173742.16,167244.51
2013-01-05 19:00:00,165439.69,167370.825
2013-01-05 20:00:00,169586.16,166634.235
2013-01-05 21:00:00,165718.8,167682.685
2013-01-05 22:00:00,168947.84,141520.0
2013-01-05 23:00:00,159802.89,127505.0
2013-01-06 00:00:00,162022.33,120064.0
2013-01-06 01:00:00,145084.69,117331.0
2013-01-06 02:00:00,161805.23,119522.0
2013-01-06 03:00:00,145684.9,116051.0
2013-01-06 04:00:00,147872.22,122739.0
2013-01-06 05:00:00,158576.81,139187.0
2013-01-06 06:00:00,139867.22,161942.0
2013-01-06 07:00:00,172274.92,164228.0
2013-01-06 08:00:00,180393.53,167644.0
2013-01-06 09:00:00,180501.48,171020.0
2013-01-06 10:00:00,159069.72,172444.0
2013-01-06 11:00:00,177551.72,171608.0
2013-01-06 12:00:00,160871.81,171232.0
2013-01-06 13:00:00,157844.81,168644.0
2013-01-06 14:00:00,184527.58,165936.0
2013-01-06 15:00:00,170340.38,166680.0
2013-01-06 16:00:00,167124.31,169896.0
2013-01-06 17:00:00,145754.56,170469.0
2013-01-06 18:00:00,184892.97,173859.0
2013-01-06 19:00:00,151096.17,173173.0
2013-01-06 20:00:00,183341.53,169886.0
2013-01-06 21:00:00,173221.11,156259.0
2013-01-06 22:00:00,177217.78,141951.0
2013-01-06 23:00:00,144388.25,126530.0
2013-01-07 00:00:00,142245.47,121181.0
2013-01-07 01:00:00,132555.5,116661.0
2013-01-07 02:00:00,147995.86,116549.0
2013-01-07 03:00:00,131289.55,122029.0
2013-01-07 04:00:00,136651.81,139327.0
2013-01-07 05:00:00,140972.92,169273.0
2013-01-07 06:00:00,131862.11,199146.0
2013-01-07 07:00:00,184019.42,198007.0
2013-01-07 08:00:00,188993.61,196805.0
2013-01-07 09:00:00,183310.28,193587.0
2013-01-07 10:00:00,169034.22,190305.0
2013-01-07 11:00:00,167100.3,186066.0
2013-01-07 12:00:00,157032.31,181342.0
2013-01-07 13:00:00,173110.58,181518.0
2013-01-07 14:00:00,187566.5,182883.0
2013-01-07 15:00:00,180428.1,184793.0
2013-01-07 16:00:00,178290.95,188451.0
2013-01-07 17:00:00,136212.27,187596.0
2013-01-07 18:00:00,183287.27,186743.0
2013-01-07 19:00:00,154728.33,185466.0
2013-01-07 20:00:00,196785.64,181817.0
2013-01-07 21:00:00,173694.94,170502.0
2013-01-07 22:00:00,174183.12,151730.0
2013-01-07 23:00:00,133909.39,134933.0
2013-01-08 00:00:00,124341.13,130288.0
2013-01-08 01:00:00,128666.72,127306.0
2013-01-08 02:00:00,140833.17,126370.0
2013-01-08 03:00:00,130362.74,129511.0
2013-01-08 04:00:00,136353.02,141155.0
2013-01-08 05:00:00,131560.61,176000.0
2013-01-08 06:00:00,138634.5,204263.0
2013-01-08 07:00:00,190097.42,207907.0
2013-01-08 08:00:00,194576.89,206238.0
2013-01-08 09:00:00,181218.19,200054.0
2013-01-08 10:00:00,174137.52,193761.0
2013-01-08 11:00:00,157338.47,188246.0
2013-01-08 12:00:00,158124.67,183836.0
2013-01-08 13:00:00,181707.2,183518.0
2013-01-08 14:00:00,179171.11,181908.0
2013-01-08 15:00:00,184515.08,185356.0
2013-01-08 16:00:00,189456.66,185601.0
2013-01-08 17:00:00,142689.22,184153.0
2013-01-08 18:00:00,175530.38,182379.0
2013-01-08 19:00:00,167377.14,180293.0
2013-01-08 20:00:00,196284.47,175983.0
2013-01-08 21:00:00,174074.69,167180.0
2013-01-08 22:00:00,165711.47,139958.0
2013-01-08 23:00:00,137815.78,131036.0
2013-01-09 00:00:00,124065.44,124331.0
2013-01-09 01:00:00,131809.42,122230.0
2013-01-09 02:00:00,134778.89,121172.0
2013-01-09 03:00:00,131530.86,125255.0
2013-01-09 04:00:00,133628.31,137208.0
2013-01-09 05:00:00,131101.44,168373.0
2013-01-09 06:00:00,145621.03,200074.0
2013-01-09 07:00:00,191284.0,199609.0
2013-01-09 08:00:00,199074.16,196734.0
2013-01-09 09:00:00,181320.9,190908.0
2013-01-09 10:00:00,169180.42,186831.0
2013-01-09 11:00:00,156887.23,181577.0
2013-01-09 12:00:00,163675.42,183178.0
2013-01-09 13:00:00,180747.4,177442.0
2013-01-09 14:00:00,170064.9,173108.0
2013-01-09 15:00:00,186271.9,177837.0
2013-01-09 16:00:00,193383.89,182397.0
2013-01-09 17:00:00,151043.44,183296.0
2013-01-09 18:00:00,175081.48,182388.0
2013-01-09 19:00:00,179729.69,181819.0
2013-01-09 20:00:00,193050.97,178341.0
2013-01-09 21:00:00,173126.4,167746.0
2013-01-09 22:00:00,161565.81,151338.0
2013-01-09 23:00:00,142886.58,137142.0
2013-01-10 00:00:00,122533.68,130991.0
2013-01-10 01:00:00,132175.56,131848.0
2013-01-10 02:00:00,131293.7,134061.0
2013-01-10 03:00:00,137598.12,137610.0
2013-01-10 04:00:00,130365.15,147325.0
2013-01-10 05:00:00,134467.84,177534.0
2013-01-10 06:00:00,155080.72,212945.0
2013-01-10 07:00:00,192673.84,211806.0
2013-01-10 08:00:00,196122.88,208176.0
2013-01-10 09:00:00,182666.2,202571.0
2013-01-10 10:00:00,162516.75,200563.0
2013-01-10 11:00:00,161641.23,198583.0
2013-01-10 12:00:00,167101.33,196742.0
2013-01-10 13:00:00,176282.84,197442.0
2013-01-10 14:00:00,164874.08,193898.0
2013-01-10 15:00:00,184784.42,194766.0
2013-01-10 16:00:00,191016.75,196529.0
2013-01-10 17:00:00,155540.1,196918.0
2013-01-10 18:00:00,177475.42,197247.0
2013-01-10 19:00:00,185433.55,198149.0
2013-01-10 20:00:00,185881.9,190953.0
2013-01-10 21:00:00,172842.53,178723.0
2013-01-10 22:00:00,161604.81,162022.0
2013-01-10 23:00:00,148738.56,148999.0
2013-01-11 00:00:00,127379.28,143913.0
2013-01-11 01:00:00,128031.51,146276.0
2013-01-11 02:00:00,122349.93,143594.0
2013-01-11 03:00:00,140201.67,148762.0
2013-01-11 04:00:00,127518.58,165796.0
2013-01-11 05:00:00,138487.64,199566.0
2013-01-11 06:00:00,162281.75,231836.0
2013-01-11 07:00:00,195479.97,238306.0
2013-01-11 08:00:00,197031.92,239775.0
2013-01-11 09:00:00,183426.38,233004.0
2013-01-11 10:00:00,161597.08,237128.0
2013-01-11 11:00:00,164351.4,223060.0
2013-01-11 12:00:00,169195.45,217377.0
2013-01-11 13:00:00,174848.27,227973.0
2013-01-11 14:00:00,159622.97,227193.0
2013-01-11 15:00:00,186040.88,227088.0
2013-01-11 16:00:00,190526.53,230974.0
2013-01-11 17:00:00,160454.47,232974.0
2013-01-11 18:00:00,179649.08,230417.0
2013-01-11 19:00:00,188583.16,230278.0
