,y_pred,y_true
2013-01-05 01:00:00,160070.62,108412.0
2013-01-05 02:00:00,170046.83,108164.0
2013-01-05 03:00:00,182781.98,108260.0
2013-01-05 04:00:00,164993.9,114440.0
2013-01-05 05:00:00,181847.61,128912.0
2013-01-05 06:00:00,167601.72,150786.0
2013-01-05 07:00:00,159356.1,156993.0
2013-01-05 08:00:00,171124.8,160766.0
2013-01-05 09:00:00,163014.62,162775.0
2013-01-05 10:00:00,173475.7,165281.0
2013-01-05 11:00:00,157677.27,167758.0
2013-01-05 12:00:00,172511.4,162530.0
2013-01-05 13:00:00,158106.88,160507.0
2013-01-05 14:00:00,172711.89,160266.0
2013-01-05 15:00:00,178585.8,162198.0
2013-01-05 16:00:00,170054.66,164585.0
2013-01-05 17:00:00,164211.39,166310.0
2013-01-05 18:00:00,180561.48,167244.51
2013-01-05 19:00:00,171188.27,167370.825
2013-01-05 20:00:00,169560.1,166634.235
2013-01-05 21:00:00,172794.75,167682.685
2013-01-05 22:00:00,176450.1,141520.0
2013-01-05 23:00:00,166152.12,127505.0
2013-01-06 00:00:00,168046.9,120064.0
2013-01-06 01:00:00,145493.42,117331.0
2013-01-06 02:00:00,169732.45,119522.0
2013-01-06 03:00:00,158391.95,116051.0
2013-01-06 04:00:00,166479.72,122739.0
2013-01-06 05:00:00,163692.84,139187.0
2013-01-06 06:00:00,162864.4,161942.0
2013-01-06 07:00:00,153930.92,164228.0
2013-01-06 08:00:00,176090.58,167644.0
2013-01-06 09:00:00,164347.97,171020.0
2013-01-06 10:00:00,178200.0,172444.0
2013-01-06 11:00:00,157515.23,171608.0
2013-01-06 12:00:00,156181.42,171232.0
2013-01-06 13:00:00,150526.97,168644.0
2013-01-06 14:00:00,159251.89,165936.0
2013-01-06 15:00:00,184149.22,166680.0
2013-01-06 16:00:00,173138.03,169896.0
2013-01-06 17:00:00,165386.1,170469.0
2013-01-06 18:00:00,177177.94,173859.0
2013-01-06 19:00:00,161932.73,173173.0
2013-01-06 20:00:00,174366.94,169886.0
2013-01-06 21:00:00,171987.72,156259.0
2013-01-06 22:00:00,175442.1,141951.0
2013-01-06 23:00:00,159957.5,126530.0
2013-01-07 00:00:00,164458.5,121181.0
2013-01-07 01:00:00,136983.5,116661.0
2013-01-07 02:00:00,165575.77,116549.0
2013-01-07 03:00:00,155448.64,122029.0
2013-01-07 04:00:00,162894.02,139327.0
2013-01-07 05:00:00,164777.1,169273.0
2013-01-07 06:00:00,157520.6,199146.0
2013-01-07 07:00:00,153264.08,198007.0
2013-01-07 08:00:00,175592.11,196805.0
2013-01-07 09:00:00,161853.58,193587.0
2013-01-07 10:00:00,177785.08,190305.0
2013-01-07 11:00:00,150867.33,186066.0
2013-01-07 12:00:00,147882.78,181342.0
2013-01-07 13:00:00,146255.17,181518.0
2013-01-07 14:00:00,157153.62,182883.0
2013-01-07 15:00:00,187739.47,184793.0
2013-01-07 16:00:00,173988.2,188451.0
2013-01-07 17:00:00,163060.39,187596.0
2013-01-07 18:00:00,179696.3,186743.0
2013-01-07 19:00:00,159250.06,185466.0
2013-01-07 20:00:00,180190.88,181817.0
2013-01-07 21:00:00,175309.1,170502.0
2013-01-07 22:00:00,179544.97,151730.0
2013-01-07 23:00:00,157559.52,134933.0
2013-01-08 00:00:00,158876.1,130288.0
2013-01-08 01:00:00,140338.0,127306.0
2013-01-08 02:00:00,164181.27,126370.0
2013-01-08 03:00:00,156420.25,129511.0
2013-01-08 04:00:00,162828.3,141155.0
2013-01-08 05:00:00,167459.98,176000.0
2013-01-08 06:00:00,154677.6,204263.0
2013-01-08 07:00:00,152412.33,207907.0
2013-01-08 08:00:00,174582.03,206238.0
2013-01-08 09:00:00,162746.22,200054.0
2013-01-08 10:00:00,179894.27,193761.0
2013-01-08 11:00:00,151161.97,188246.0
2013-01-08 12:00:00,148547.3,183836.0
2013-01-08 13:00:00,147988.8,183518.0
2013-01-08 14:00:00,156641.69,181908.0
2013-01-08 15:00:00,186335.12,185356.0
2013-01-08 16:00:00,175882.92,185601.0
2013-01-08 17:00:00,161210.48,184153.0
2013-01-08 18:00:00,173852.34,182379.0
2013-01-08 19:00:00,159284.0,180293.0
2013-01-08 20:00:00,181127.2,175983.0
2013-01-08 21:00:00,172489.89,167180.0
2013-01-08 22:00:00,176053.61,139958.0
2013-01-08 23:00:00,154262.89,131036.0
2013-01-09 00:00:00,158090.06,124331.0
2013-01-09 01:00:00,145633.22,122230.0
2013-01-09 02:00:00,161326.73,121172.0
2013-01-09 03:00:00,160807.06,125255.0
2013-01-09 04:00:00,159685.89,137208.0
2013-01-09 05:00:00,170762.7,168373.0
2013-01-09 06:00:00,157188.34,200074.0
2013-01-09 07:00:00,156769.12,199609.0
2013-01-09 08:00:00,178080.0,196734.0
2013-01-09 09:00:00,169648.39,190908.0
2013-01-09 10:00:00,175990.47,186831.0
2013-01-09 11:00:00,156262.25,181577.0
