;SMCA;QDMDC;PCPDMC (Low);PCPDMC (Medium);PCPDMC (High);MCPDMC (Low,WAVG);MCPDMC (Medium,WAVG);MCPDMC (High,WAVG);MCPDMC (Low,SWITCH);MCPDMC (Medium,SWITCH);MCPDMC (High,SWITCH);FCN-L-SMCA;FCN-M-SMCA;FCN-S-SMCA;LSTM-L-SMCA;LSTM-M-SMCA;LSTM-S-SMCA;GRU-L-SMCA;GRU-M-SMCA;GRU-S-SMCA;FCN-L-QDMDC;FCN-M-QDMDC;FCN-S-QDMDC;LSTM-L-QDMDC;LSTM-M-QDMDC;LSTM-S-QDMDC;GRU-L-QDMDC;GRU-M-QDMDC;GRU-S-QDMDC;FCN-L-PCPDMC (Low);FCN-M-PCPDMC (Low);FCN-S-PCPDMC (Low);FCN-L-PCPDMC (Medium);FCN-M-PCPDMC (Medium);FCN-S-PCPDMC (Medium);FCN-L-PCPDMC (High);FCN-M-PCPDMC (High);FCN-S-PCPDMC (High);LSTM-L-PCPDMC (Low);LSTM-M-PCPDMC (Low);LSTM-S-PCPDMC (Low);LSTM-L-PCPDMC (Medium);LSTM-M-PCPDMC (Medium);LSTM-S-PCPDMC (Medium);LSTM-L-PCPDMC (High);LSTM-M-PCPDMC (High);LSTM-S-PCPDMC (High);GRU-L-PCPDMC (Low);GRU-M-PCPDMC (Low);GRU-S-PCPDMC (Low);GRU-L-PCPDMC (Medium);GRU-M-PCPDMC (Medium);GRU-S-PCPDMC (Medium);GRU-L-PCPDMC (High);GRU-M-PCPDMC (High);GRU-S-PCPDMC (High)
SMCA;;1.6134411111979486e-05;0.7226722968279018;0.5946502821557431;0.2398688146088758;0.0040099744323281025;2.800007633452978e-05;6.783184239549131e-18;0.00010345553153797877;7.06003891808093e-07;3.2138579704085604e-19;5.130688231206153e-07;1.3439147950262075e-09;5.8118195031994516e-05;7.694500777207885e-32;7.602300859023731e-25;9.645506568687368e-56;1.9027409874854917e-28;9.097544351697296e-32;4.171445175822752e-50;4.411497663656421e-24;2.3832439291931907e-25;1.3879038250822091e-33;3.580690940029998e-44;8.757953269647754e-51;2.7512541487456946e-41;1.8186430828422116e-47;8.562439195680249e-48;1.0266399242516541e-60;4.217009235867169e-15;3.7996721866933294e-15;6.716209023102282e-20;6.734590739619996e-16;2.7750482760443403e-16;2.970013012751178e-20;3.2961574102220955e-28;1.6158321325479014e-28;2.6870836432560134e-36;5.668741008625529e-29;3.6896279697155223e-29;1.412196877115975e-39;3.756649116795436e-26;2.2408624753710393e-27;1.641953870486914e-43;1.6310020197545653e-40;1.2591263120600204e-49;4.891965481926216e-69;1.3336410725123687e-30;1.9899597248926828e-33;4.967425310589006e-35;8.15102842473205e-29;1.0195439907042264e-31;1.0890110458208773e-38;1.184996572131899e-42;1.0539449099077803e-47;1.4780528324706667e-63
QDMDC;1.6134411111979486e-05;;1.8290559520307327e-05;1.8714624662796862e-05;0.024694042000822928;0.22053134592743046;0.9083805805620238;5.149880821001215e-07;0.7611168490314648;0.5188612095749632;1.2723181595184113e-07;0.05133139356668261;0.002708555148402955;0.5007682275518333;1.3201821580153775e-19;6.812325531047108e-14;4.468240255979333e-40;3.244907242461934e-17;1.0428833263121923e-19;3.148668918259755e-35;7.55771450695828e-15;1.2629209375883373e-15;7.340202819255592e-23;2.7713338222516004e-33;1.1392376348964312e-37;5.140644996413359e-38;1.9028548838543226e-35;6.879260533899654e-36;3.0229113108052033e-50;4.0776865271504974e-07;5.871080467749319e-07;5.991118129947899e-10;1.1180653134918685e-07;4.9812444390127605e-08;2.2794390381862901e-10;5.537568601933129e-17;1.674805587220842e-17;3.2897849721127816e-24;2.5099808546312765e-16;1.2417051311481566e-17;3.448553132476013e-25;4.5666850237085735e-14;5.601362110792014e-23;2.1129891443022455e-29;3.3028853457871906e-27;3.551827859461588e-34;1.0312919777846872e-52;6.666067320923807e-18;1.3482815509353093e-20;2.8086876241925907e-22;1.008503014106329e-16;4.1594770762532955e-18;2.4263122072627245e-24;2.2650294198188356e-28;3.2683722805674436e-33;4.862308224428342e-48
PCPDMC (Low);0.7226722968279018;1.8290559520307327e-05;;0.6368004604986524;0.09601665124947141;2.4159681299009133e-07;2.7412433068082944e-10;1.3368347200047707e-18;1.324122310660785e-12;1.3467542109034552e-13;3.2293655172757746e-20;4.130893389520149e-08;1.3676144218121464e-10;2.7368566412324188e-05;6.186595416073153e-33;5.994729753889308e-26;7.013032829605456e-56;5.497569276126272e-31;2.1071567932912337e-33;1.0749776108878795e-52;1.797775540368396e-23;2.2228391126921284e-24;4.54771358324719e-32;1.7357573151765136e-45;7.856146688421252e-52;9.503295078218441e-42;1.2366096519221732e-48;1.0359764570291791e-48;1.6205250746526375e-60;1.7934109127333775e-19;1.1992150406238128e-19;2.477898092957635e-25;2.7666935326838114e-20;3.630866281929983e-21;1.943040172399629e-25;4.444226715469593e-32;1.3489118168604326e-33;1.9344529647588167e-40;3.827403547389866e-36;2.6635380786519755e-38;2.9916095764986935e-52;1.441903119397107e-32;6.381545636342017e-29;8.380064249582569e-55;1.624655990154123e-44;4.503556356686454e-56;1.4420352501458705e-76;8.70948902763268e-39;3.1281089952591485e-46;1.8505282551042854e-50;1.8097532583730113e-35;9.060519261256493e-42;6.0349681554717355e-56;1.92420592702253e-48;1.2594853810602272e-53;1.3213779415411772e-73
PCPDMC (Medium);0.5946502821557431;1.8714624662796862e-05;0.6368004604986524;;0.05836646155821004;7.658081381455974e-06;1.1435567795169107e-09;1.2666070868931124e-17;1.98188797618207e-09;7.950118190745032e-13;3.447586975658128e-19;5.3756436329346396e-08;2.5478882957836864e-10;2.3403217251600864e-05;1.5552215606798685e-32;1.1061632862860282e-25;5.3680291768270964e-55;1.8070704940854217e-30;1.178452189767721e-32;6.484136820949919e-52;5.2044720280425555e-23;8.414849390210361e-24;2.7121028993464444e-31;7.727795271869176e-44;7.184689794385133e-50;6.573144280219588e-42;6.96766015222767e-47;5.91397415529275e-47;2.0819584259159515e-59;2.8980657755109154e-19;2.455804138311417e-19;1.3230754138369207e-24;6.159376209601681e-21;5.857272695420951e-22;1.5809651878128706e-26;3.406585066078868e-32;8.737796030341978e-34;9.263464062372916e-41;1.8328075014751283e-36;9.774200633615708e-39;7.482205835717987e-52;8.324027184743014e-35;1.8079452439956159e-29;1.4046538737015104e-57;1.1557167546398979e-44;1.7375033686479956e-56;2.879514778119382e-77;2.281577193535348e-39;1.554475244595123e-46;3.1084385886524394e-50;6.6721412437326695e-37;6.255343854075355e-44;5.372434595859243e-58;1.0768871354048995e-48;3.973854514686437e-54;3.5799549048204316e-74
PCPDMC (High);0.2398688146088758;0.024694042000822928;0.09601665124947141;0.05836646155821004;;0.2184870113697021;0.030569707285477594;4.974052331511081e-13;0.037628678463306496;0.004481325282235498;1.1890327751349588e-13;0.00044273729579953034;1.1900572581456349e-05;0.01641598081614167;1.4210533647093196e-22;9.341819808309003e-17;1.4662969267726126e-41;3.7707018544789155e-20;1.6599740098197253e-22;6.449391972250604e-37;4.3108458653476124e-16;7.213159327846015e-17;5.177950726098336e-23;1.6159992245071386e-31;1.460641307716416e-36;3.68728395210558e-39;2.810012361250223e-34;3.98557945417755e-34;4.690474315028595e-45;3.9655770034087644e-11;3.9505860026055455e-11;3.218494825460346e-14;1.4814038587410834e-12;5.505394830130863e-13;1.0145486630348879e-15;1.3990796360575447e-31;1.0106989716310893e-33;3.0644242691403207e-40;6.535191642334391e-23;1.0872501746442519e-24;7.206644533054835e-33;1.5088392369799432e-20;2.2078576628194037e-25;1.3848082901946309e-38;2.391343291909612e-46;1.345010247263576e-61;8.93044243250392e-83;3.2173926175434757e-24;8.565641793101112e-29;7.655841600093922e-32;1.547403791871274e-23;7.846661220912616e-27;1.1041689491369121e-35;3.832331954162453e-47;4.765924478230426e-56;3.5650041157033536e-78
MCPDMC (Low,WAVG);0.0040099744323281025;0.22053134592743046;2.4159681299009133e-07;7.658081381455974e-06;0.2184870113697021;;0.006555983161600278;4.95917103713953e-11;0.004614115679134646;0.0005809162715620182;1.7527345645195745e-11;0.0020243081164560413;4.4881445409223575e-05;0.08881812540973118;1.304926893228155e-24;3.633061666626595e-18;3.806612179385159e-44;2.657585987341917e-22;4.5902938135854294e-24;8.185120776686145e-40;5.02268705232371e-17;1.516144606020795e-17;4.185812056082613e-24;1.1940897462256317e-35;3.962438215463538e-41;1.8167779288347147e-39;5.8344179799512894e-39;7.585726990846548e-38;5.756905062708127e-50;6.927714034676052e-10;9.1194300511599e-10;4.45292048228782e-13;1.1607936820781191e-10;2.539087922295234e-11;1.2164418038004098e-13;1.1384074410641142e-20;4.684275419706777e-21;1.916595563675683e-27;6.616983941266388e-22;2.5325101936486096e-23;1.0636925854045632e-32;3.8108435972701126e-19;4.85278768053182e-25;2.4881387623683274e-35;3.8136099509247647e-31;1.8132195817429158e-39;2.058620665528142e-56;2.1327882165659216e-23;7.706500479274732e-28;1.5468057964608731e-30;4.1478334624229253e-22;3.345812742726438e-25;2.117506788470941e-33;2.3151679207479637e-33;8.946719677881032e-38;2.9285538639826686e-53
MCPDMC (Medium,WAVG);2.800007633452978e-05;0.9083805805620238;2.7412433068082944e-10;1.1435567795169107e-09;0.030569707285477594;0.006555983161600278;;6.339491060426812e-09;0.6858271944586243;0.033731357926586186;1.6593460203983943e-09;0.03568260873799727;0.002368885806295402;0.4530260696471192;8.893901697253886e-21;5.8387778267005255e-15;1.7792943405661227e-38;1.9094256605901558e-18;3.322418788257126e-20;1.1429143457383156e-34;7.236121210566886e-14;2.490332511181777e-14;2.1742860640450965e-20;3.468202904477438e-30;1.2604808577605153e-34;2.8283893619364e-38;5.507995553207956e-33;1.2819619652480618e-31;2.7712773256158676e-44;5.0451086438276625e-08;5.8225922785041746e-08;6.071820691628218e-11;1.0895154780269227e-08;2.7063315870582314e-09;5.617523331935328e-12;6.89349737779712e-17;3.344345707084685e-17;1.3659149312466e-24;6.375334675570361e-19;3.812920103952105e-20;2.3009335621299684e-29;1.210838796003168e-16;5.945513551174696e-24;5.841125804081321e-34;9.48020274809781e-27;3.5259206776614827e-34;3.2550389411292995e-54;3.3687962589344266e-20;1.2067985605622484e-24;2.637190829423181e-27;1.5542435099613887e-19;1.4612700873691922e-22;1.1872898111181239e-30;7.898974244011698e-29;3.394153787570737e-33;1.0683915025613683e-48
MCPDMC (High,WAVG);6.783184239549131e-18;5.149880821001215e-07;1.3368347200047707e-18;1.2666070868931124e-17;4.974052331511081e-13;4.95917103713953e-11;6.339491060426812e-09;;1.2802095363056079e-08;1.1038058741201858e-06;0.1476583664047727;0.012065963759692301;0.10052979442848069;0.0001605643253450351;2.7041222772405844e-06;0.003217719247216472;9.389596974503513e-16;0.00012051397846701652;1.0209573400584726e-05;7.306852298454008e-13;0.0015199988496053275;0.001404688954063119;2.5332306328223643e-06;3.239553686299877e-11;3.5821004267584334e-13;2.4078832057892026e-31;5.305705665032045e-13;2.661745431384098e-11;1.1996586751157912e-18;0.518168129818162;0.602848812265176;0.17207690743186935;0.25176965203370927;0.2247868730955454;0.05242533172671177;6.889210004560342e-05;6.117801267324643e-05;5.721860258075638e-10;0.0002890958118540339;4.961982070120687e-05;2.4195023642508375e-08;0.0029021656199001173;2.1411637711383718e-16;2.933973210496617e-13;7.479372070444997e-10;1.1538987512898164e-13;3.1149865400428263e-31;0.00016327982749712094;2.307840129365043e-06;6.629172991389818e-08;5.439393124947467e-05;2.4687368394693294e-05;3.2593361756852803e-09;1.777811418001825e-10;2.3202325501627907e-13;2.9493507027688633e-26
MCPDMC (Low,SWITCH);0.00010345553153797877;0.7611168490314648;1.324122310660785e-12;1.98188797618207e-09;0.037628678463306496;0.004614115679134646;0.6858271944586243;1.2802095363056079e-08;;0.017517113826585974;4.672841362751682e-10;0.022769483261429278;0.0011840225971541068;0.3609407573237272;3.6373524265910234e-20;1.9427954151559616e-14;1.4121590804111797e-37;4.193710860939358e-18;1.0399574195031448e-19;1.121190586225051e-33;4.4370971937122604e-14;1.534055377593162e-14;3.340719071531747e-20;3.888030820537795e-30;1.4285822265175554e-34;3.076713612991497e-38;4.23451310774051e-33;1.0602244309662326e-31;1.9864637698089127e-42;3.672969079238341e-08;6.195361312441264e-08;8.386451076307726e-11;6.098821878893871e-09;2.3157089356480534e-09;2.4323553002859323e-11;4.9925405843101175e-18;6.410613701008476e-18;6.0236207750970335e-24;7.170365311287942e-19;4.0505673479081035e-20;2.304426216863442e-28;1.2733276678310974e-16;4.353677369847665e-24;2.7192894180437525e-32;9.30114777653191e-28;2.0236996587600766e-35;7.414925771856362e-52;2.934071618149323e-20;3.159278484607534e-24;1.3180999874378058e-26;1.1085532015747418e-19;6.508621809884484e-22;1.4442498936814796e-29;9.324961680806699e-30;1.269630976797075e-33;5.76176807194943e-48
MCPDMC (Medium,SWITCH);7.06003891808093e-07;0.5188612095749632;1.3467542109034552e-13;7.950118190745032e-13;0.004481325282235498;0.0005809162715620182;0.033731357926586186;1.1038058741201858e-06;0.017517113826585974;;2.5694536142143465e-08;0.15440977557300312;0.019067680986901633;0.9155020124646387;6.717064049707195e-17;9.72791861066664e-12;2.5900766203853726e-32;6.565537064443599e-15;2.445786618194493e-16;6.413417756186726e-29;1.894718952569134e-11;8.346600618860495e-12;8.099451456094354e-17;2.7300433191485123e-25;6.747172857166347e-29;3.937078820297902e-37;6.917672963000987e-28;2.6450141236676387e-26;7.859798726408463e-37;1.8291192786972282e-06;2.66996399690999e-06;9.823812404645343e-09;3.5059543059619846e-07;1.4979901468261202e-07;1.5063298770410999e-09;8.998785949193057e-15;1.1753174087082748e-14;3.2886213187813558e-21;6.265535541856944e-16;6.044535079520038e-17;1.7510125671408794e-24;6.259013410795625e-14;3.9183494996325993e-23;1.0251619488439517e-29;1.314458399895387e-23;2.21626693138225e-30;1.5428417599738394e-48;4.144548396065414e-17;6.77911737066769e-21;4.129314789211693e-23;8.076907175288914e-17;8.551293580491885e-19;6.128807412445879e-26;1.7059786797636715e-25;2.2590348595749938e-29;2.170614439526464e-43
